,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1533511.097690055,1828353.7804934909,91377.59264868742
1,1961-01-01,-1204737.1963592072,1939070.8795468193,439959.5151935776
2,1962-01-01,-953374.344427921,2407768.102213242,696739.3546258089
3,1963-01-01,-585892.0045673397,2690036.9434378925,973493.1549287033
4,1964-01-01,-293598.9346047436,2788410.525300213,1270067.0640686657
5,1965-01-01,-27435.81897744249,3302144.754190664,1618648.9239926478
6,1966-01-01,250395.27927753946,3428579.835219607,1875428.7009751727
7,1967-01-01,507082.3795372258,3746824.2105219704,2152478.5587605145
8,1968-01-01,825286.1117721907,4045652.9985585143,2449348.525383074
9,1969-01-01,1133013.5558376748,4321371.90814193,2798309.568214298
10,1970-01-01,1462755.2895673881,4849675.588944351,3055472.7419230025
11,1971-01-01,1640185.8615839414,4915702.7513104975,3332609.918278404
12,1972-01-01,2004769.3359495716,5297099.402270895,3630149.140487315
13,1973-01-01,2290888.0792092616,5587434.421103881,3979698.978903632
14,1974-01-01,2664819.9324504836,5833702.977833115,4237708.132393391
15,1975-01-01,2776967.896491473,6102413.3018969055,4515691.288529802
16,1976-01-01,3146796.525826192,6416189.5141233485,4814214.293122547
17,1977-01-01,3547691.159650007,6686326.444385371,5164750.609216886
18,1978-01-01,3712217.002743608,6975534.420009887,5424027.596259655
19,1979-01-01,4128721.175688698,7377056.328785312,5703278.585949012
20,1980-01-01,4297411.98220839,7677517.642544036,6003689.487782332
21,1981-01-01,4757848.469576677,7972566.140342123,6356118.873438432
22,1982-01-01,5499431.582366842,8774529.247001262,7123064.967731854
23,1983-01-01,6281012.684358317,9740829.857545935,7909985.064672221
24,1984-01-01,7105332.787873081,10458548.630257968,8717544.955635393
25,1985-01-01,7948114.744069938,11212912.932381297,9579280.420097128
26,1986-01-01,8792026.184677437,12062440.533910494,10347811.742588846
27,1987-01-01,9544951.21542218,12727852.415799873,11137194.799818205
28,1988-01-01,10290953.486180913,13653004.120209716,11946397.965884406
29,1989-01-01,11236002.518159483,14368298.257991223,12810284.682377122
30,1990-01-01,11932781.382277908,15322935.644535154,13580961.379162079
31,1991-01-01,13355864.24487164,16538329.8395988,14928457.928250978
32,1992-01-01,14677124.1407099,18014285.178615373,16295774.586177252
33,1993-01-01,16123176.725497188,19254168.378248148,17718613.959729526
34,1994-01-01,17292214.961920053,20604425.544820063,19046716.12052144
35,1995-01-01,18756214.767940603,21998086.102297172,20395755.36211114
36,1996-01-01,20086584.98886634,23440901.09872398,21764614.71253931
37,1997-01-01,22083730.464725398,25303286.974094637,23836093.283602845
38,1998-01-01,24107260.642044373,27468989.515501343,25811062.40366241
39,1999-01-01,26245382.045452382,29439587.0035886,27862561.806289822
40,2000-01-01,28435752.056321766,31572982.36558243,29934393.358353052
41,2001-01-01,30421489.574459855,33570256.64026741,32063096.60149924
42,2002-01-01,32353800.552109893,35721160.960462645,34095971.82490585
43,2003-01-01,34546963.00759421,37716338.64340985,36148821.050958425
44,2004-01-01,37713281.13496703,41039913.52166603,39348265.20149763
45,2005-01-01,40998908.31453774,44190168.09900835,42607670.39270562
46,2006-01-01,44422757.67634104,47677898.005436786,46002209.63311494
47,2007-01-01,47757571.54098186,51000607.78468203,49416722.87617251
48,2008-01-01,51183403.597451255,54453739.412372395,52851436.82036947
49,2009-01-01,54723317.299985066,57930107.54854304,56346756.38001154
50,2010-01-01,58083347.19880317,61279814.75683963,59741676.21272478
51,2011-01-01,61566752.75061679,64782986.646995425,63156570.048084095
52,2012-01-01,65133202.311929815,68328979.61712895,66591283.99228164
53,2013-01-01,68424654.40341288,71661168.81019218,70086603.55192374
54,2014-01-01,71848095.4227338,75187717.26554927,73481523.3846376
55,2015-01-01,75301791.00638396,78541015.87554498,76896417.21999721
56,2016-01-01,78641049.76038422,81938165.52270724,80331131.16419378
57,2017-01-01,82183043.48006552,85475152.69877568,83826450.72383681
58,2018-01-01,85639377.09207915,88811366.81124467,87221370.55655006
59,2019-01-01,89072121.78892341,92283576.94802941,90636264.3919112
60,2020-01-01,92475138.11499271,95793087.39492947,94070978.33610618
61,2021-01-01,95993563.02823012,99232865.74891785,97566297.8957499
62,2022-01-01,99358770.64560959,102568975.43915541,100961217.72846274
63,2023-01-01,102545132.43007025,106030133.73268096,104376111.56382234
64,2024-01-01,106043447.91003095,109584749.0229666,107810825.50802039
65,2025-01-01,109567229.20134097,113213117.82478632,111306145.06766132
66,2026-01-01,112791668.86249046,116835958.75606254,114701064.90037559
67,2027-01-01,116030404.03133456,120410693.89765064,118115958.7357365
68,2028-01-01,119169416.90237232,124198395.80799274,121550672.67993191
69,2029-01-01,122426407.95920655,127728568.8832299,125045992.23957512
70,2030-01-01,125683650.95175602,131772668.17950441,128440912.0722879
