,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-397718.706292938,335482.735138859,-51721.341484131524
1,1961-01-01,-355812.6512008678,366015.4903929708,12393.777113126824
2,1962-01-01,-332406.82455763855,383088.32109375054,26891.911491156323
3,1963-01-01,-309296.35327767825,434590.31965251226,62093.11597705621
4,1964-01-01,-247427.26776441556,503577.08883811487,117979.49996643432
5,1965-01-01,-207163.0526094646,546221.6827693918,182094.6179234984
6,1966-01-01,-173556.12904154393,563860.6630756853,196592.75166310498
7,1967-01-01,-141773.26538874343,603689.4450909189,231793.9566510605
8,1968-01-01,-78737.65635957228,656651.2478969076,287680.34114256233
9,1969-01-01,-7006.446913347252,721059.9364273291,351827.2398812113
10,1970-01-01,27943.5566174082,719042.6601895705,366502.8882277993
11,1971-01-01,43529.08586403521,774393.6681700422,401881.60712794936
12,1972-01-01,82616.9345751084,844856.9838235778,458033.3390723673
13,1973-01-01,166809.1491537403,881405.1380862216,522414.5321582863
14,1974-01-01,179930.06092752737,891027.449778596,537432.7550918914
15,1975-01-01,218562.30041604803,940478.8867393094,573154.0485790214
16,1976-01-01,276814.8703719696,1028648.8237407652,629867.615733712
17,1977-01-01,329226.92104553187,1048375.2011848554,694812.183304436
18,1978-01-01,342049.4776076458,1074947.2912703203,710188.1482935838
19,1979-01-01,379726.6688322662,1107211.3439085085,746267.1838362181
20,1980-01-01,523452.09733455675,1230164.2035600801,849774.401560281
21,1981-01-01,593340.0868447438,1331795.7171222602,961640.8214827353
22,1982-01-01,644819.7918650747,1373877.1677573684,1024055.3606909058
23,1983-01-01,715247.9681207177,1457008.4758894853,1107172.9704526828
24,1984-01-01,883830.9340356819,1632415.540168026,1257255.0627327175
25,1985-01-01,1073305.5769298084,1788316.9074779619,1416026.6422901163
26,1986-01-01,1157029.433342286,1881189.0262429558,1524922.6134182464
27,1987-01-01,1280870.5665521345,2004671.7746473313,1654541.7937165191
28,1988-01-01,1423231.470116095,2166959.022293322,1804846.1535183343
29,1989-01-01,1662391.3716663052,2398854.7577737924,2040291.6199940545
30,1990-01-01,1844655.576956559,2589036.2729318338,2225651.986546005
31,1991-01-01,2048211.1356332016,2757875.7732691513,2431809.825624679
32,1992-01-01,2327673.2031842875,3022077.588725647,2658652.8442069544
33,1993-01-01,2515965.2752215527,3268304.975766275,2894238.4310720535
34,1994-01-01,2726752.1230616,3434100.0333734527,3079738.535170908
35,1995-01-01,3085547.2588984366,3812323.0012101815,3443329.6901539653
36,1996-01-01,3457503.9500511065,4203486.685756554,3827606.024640877
37,1997-01-01,3859231.5260724486,4601774.156740751,4221263.394860943
38,1998-01-01,4198329.314266625,4934027.5902199205,4564403.39219657
39,1999-01-01,4611220.4355206685,5342404.998562888,4983471.266764393
40,2000-01-01,5144434.470275188,5844265.822515059,5506409.0114952875
41,2001-01-01,5663068.140700658,6401991.924700534,6038855.08315598
42,2002-01-01,6168871.406751319,6923966.837028557,6520648.539536536
43,2003-01-01,6660596.507994097,7417703.675569924,7023145.066470598
44,2004-01-01,7247872.436144102,7980935.945694569,7605744.530761831
45,2005-01-01,7834163.7029582085,8552508.596746955,8198015.778748935
46,2006-01-01,8596336.82355275,9318691.66313747,8952518.235641474
47,2007-01-01,9356976.812044837,10066178.12658053,9727723.763087656
48,2008-01-01,10179621.230020931,10891838.291481404,10523765.515836658
49,2009-01-01,10947304.644636413,11691449.996279232,11330063.825674312
50,2010-01-01,11724689.33045206,12430188.019232385,12084717.328366155
51,2011-01-01,12505416.422678629,13206184.932478713,12860073.901611485
52,2012-01-01,13306338.978270112,14011363.621082656,13656115.654360559
53,2013-01-01,14097802.239329174,14842962.408935428,14462413.964198293
54,2014-01-01,14835671.297895363,15577034.473093053,15217067.466890141
55,2015-01-01,15622507.351400433,16341792.609626446,15992424.040135588
56,2016-01-01,16434452.003695427,17170486.23231659,16788465.79288446
57,2017-01-01,17226980.854124255,17943229.12862695,17594764.10272234
58,2018-01-01,17993762.60218875,18722881.135233108,18349417.605414186
59,2019-01-01,18760103.914979063,19477324.379050788,19124774.178659838
60,2020-01-01,19540674.805119175,20296335.34613259,19920815.931408387
61,2021-01-01,20359262.399878982,21097682.368396565,20727114.241246317
62,2022-01-01,21121685.123469554,21847122.452584267,21481767.743938185
63,2023-01-01,21864889.76943641,22639085.65118356,22257124.317183573
64,2024-01-01,22613046.464654744,23440157.484316193,23053166.06993281
65,2025-01-01,23439339.55935831,24298539.491795026,23859464.37977033
66,2026-01-01,24177977.316045385,25025991.355976384,24614117.88246222
67,2027-01-01,24898222.324972026,25910868.63608409,25389474.455707878
68,2028-01-01,25636853.518759202,26688761.19347569,26185516.208456494
69,2029-01-01,26356604.808467824,27594391.016024828,26991814.518294334
70,2030-01-01,27052556.402268395,28395919.24556483,27746468.020986278
