,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,567164.0283182922,1240543.2511455505,922989.8107965925
1,1961-01-01,863987.9136130379,1509926.951472273,1183274.150653575
2,1962-01-01,1057445.4352707546,1718235.7128091552,1391805.2452134648
3,1963-01-01,1274566.019537456,1933287.626202842,1604964.4095745366
4,1964-01-01,1478222.6467870227,2117319.249551108,1822786.3945835507
5,1965-01-01,1744193.2283992823,2410442.393984092,2083223.0134193278
6,1966-01-01,1968113.770595568,2629270.3964660694,2291905.970895229
7,1967-01-01,2173231.4905849565,2871027.9695444233,2505648.342026436
8,1968-01-01,2402027.217732474,3051833.0973364515,2724053.5338055873
9,1969-01-01,2759775.4342911243,3424877.4995435877,3079722.85256461
10,1970-01-01,3045747.5683248253,3725503.733969898,3383909.7203117446
11,1971-01-01,3358353.5322209415,4023594.5680187643,3692724.658033908
12,1972-01-01,3821191.2556425417,4472790.274358268,4145398.2524681673
13,1973-01-01,4306043.097182545,4992274.560546013,4641177.63064295
14,1974-01-01,4746840.568711492,5416746.575152621,5085073.090220458
15,1975-01-01,5189056.536056361,5872542.024554967,5533596.619772964
16,1976-01-01,5659928.326997644,6336544.178609281,5986883.797159163
17,1977-01-01,6140336.537288186,6837049.607608849,6483278.439335067
18,1978-01-01,6606780.021004082,7262144.833813641,6927742.121312299
19,1979-01-01,7058282.484635174,7732989.341553042,7376833.8732645055
20,1980-01-01,7472652.814841494,8147025.761631638,7831083.55932977
21,1981-01-01,7985617.943385105,8681158.760189533,8328443.347194821
22,1982-01-01,8420689.722281432,9110964.735421449,8773761.085180238
23,1983-01-01,8877849.221836722,9564932.027588755,9223706.893140629
24,1984-01-01,9436922.040142389,10093908.973059496,9776790.249240253
25,1985-01-01,10050316.55434245,10694274.534196345,10373705.119611563
26,1986-01-01,10609065.796162125,11256332.787099238,10917946.989138013
27,1987-01-01,11167812.109939989,11830098.385819925,11501619.86701086
28,1988-01-01,11768198.778922208,12431198.723579224,12089955.565531699
29,1989-01-01,12358435.426235646,13042049.735925568,12722711.886983894
30,1990-01-01,12942238.398662882,13634299.34744101,13302697.28012912
31,1991-01-01,13685370.84243788,14342854.838488992,14007406.935043827
32,1992-01-01,14398859.485653983,15029324.166676061,14716779.4106065
33,1993-01-01,15126612.122210896,15789463.953689495,15470353.67055552
34,1994-01-01,15856517.445320144,16513007.92384016,16170826.898540627
35,1995-01-01,16552747.338989858,17209323.210692015,16876169.862285383
36,1996-01-01,17214555.275850642,17915011.441506397,17586175.646677982
37,1997-01-01,17989766.713657085,18668388.974962685,18340271.294670276
38,1998-01-01,18691511.814390056,19351876.763143122,19041264.48614109
39,1999-01-01,19418492.56684327,20076635.44305178,19747029.180263296
40,2000-01-01,20259165.693854176,20929236.66671971,20585934.08099332
41,2001-01-01,21106239.189561006,21798873.054086175,21469002.933426622
42,2002-01-01,21970392.642240472,22632867.902313955,22299216.109647397
43,2003-01-01,22814970.537325256,23474769.161214598,23134057.355843306
44,2004-01-01,23677346.27992529,24324438.03600528,24018087.942592353
45,2005-01-01,24629665.643763423,25265545.44755606,24946406.113060746
46,2006-01-01,25505162.72286066,26170126.377704415,25821146.50952618
47,2007-01-01,26373990.41674704,27017128.68600233,26700514.975966338
48,2008-01-01,27268750.619972892,27894536.414230287,27584546.262969848
49,2009-01-01,28202517.899620056,28859399.800930787,28512865.13561137
50,2010-01-01,29057139.910218343,29711814.04315946,29387605.531991836
51,2011-01-01,29931247.007634893,30601954.211793423,30266973.998347394
52,2012-01-01,30812034.06395051,31492525.28974456,31151005.285350837
53,2013-01-01,31728553.909713287,32406178.231306065,32079324.15799238
54,2014-01-01,32601817.80934018,33271505.273595188,32954064.5543727
55,2015-01-01,33474543.825717285,34147448.6450759,33833433.02072829
56,2016-01-01,34400074.492654234,35039038.22640577,34717464.30773183
57,2017-01-01,35343489.84306427,35977787.85427818,35645783.180373274
58,2018-01-01,36191787.99650747,36871197.872054234,36520523.576753736
59,2019-01-01,37060402.57150235,37737512.042699784,37399892.04310909
60,2020-01-01,37961649.62932162,38592113.04567463,38283923.3301128
61,2021-01-01,38869731.84499605,39543097.64575712,39212242.2027541
62,2022-01-01,39745671.18258968,40418758.098226346,40086982.59913466
63,2023-01-01,40624456.73095724,41331443.14217018,40966351.06549021
64,2024-01-01,41494183.42836583,42189802.89597251,41850382.3524936
65,2025-01-01,42392771.651932605,43170342.84524788,42778701.2251353
66,2026-01-01,43239197.3661337,44035244.45078266,43653441.62151557
67,2027-01-01,44076206.15082598,44968617.85246434,44532810.08787098
68,2028-01-01,44901098.63361858,45883301.39854427,45416841.37487466
69,2029-01-01,45751777.860589355,46846634.82949488,46345160.247516006
70,2030-01-01,46586907.487548426,47758399.3365275,47219900.643896684
