,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,30546.215125343133,67255.73870897404,49094.360200472816
1,1961-01-01,46434.093531006176,83443.71047673054,64614.828993893236
2,1962-01-01,63277.40591276642,100453.79542204434,81334.57316786851
3,1963-01-01,78330.86182990749,114565.0337727135,96722.76813210631
4,1964-01-01,90824.23440246917,129188.26160793361,110769.69709618003
5,1965-01-01,106991.27298833562,144451.85357118488,126291.04880801761
6,1966-01-01,125195.58685534784,162705.17424847904,143011.67348806822
7,1967-01-01,141695.74952991938,178303.46944716483,159530.12750187743
8,1968-01-01,156580.1174400868,192613.47776709707,174707.31551552517
9,1969-01-01,174851.09776496614,210814.74895875962,193316.70046512026
10,1970-01-01,193980.86741446535,231864.48314878414,213119.5867111241
11,1971-01-01,211519.30593641443,249427.38932630516,231590.92373622538
12,1972-01-01,229741.39102747632,266089.65529824427,248720.99476793926
13,1973-01-01,247362.06906320428,286279.9781906016,267333.0526047584
14,1974-01-01,269738.44772263913,305356.4601501728,287135.938854963
15,1975-01-01,288220.4856483622,324947.6843535722,305607.27588426776
16,1976-01-01,304307.84777213447,341373.6808313171,322728.8243493424
17,1977-01-01,323903.0874566259,360872.4767991153,341332.3362700239
18,1978-01-01,340941.70628073305,377137.902496668,358607.04008599895
19,1979-01-01,355484.9662299289,392888.5967646904,374550.19468107383
20,1980-01-01,372152.555340034,408444.3194482074,389144.14654315833
21,1981-01-01,387220.5593902137,423882.7345695794,405213.1369386526
22,1982-01-01,403468.62869161734,440668.5695436608,422479.9040156265
23,1983-01-01,420410.6582337528,457308.62729376677,438415.1218717126
24,1984-01-01,434803.3577750728,471487.9638685432,453009.07372992166
25,1985-01-01,449756.0333857079,488132.87795889576,469081.31434183184
26,1986-01-01,468420.1506832946,505026.44426725636,486351.32276101434
27,1987-01-01,482846.0052536484,521581.9255228626,502296.7154181248
28,1988-01-01,498200.4086983977,535900.9883465738,516900.8420750465
29,1989-01-01,514808.15980571776,551273.4191214807,532990.5732679408
30,1990-01-01,531413.4828965386,569026.0528349316,550278.0244796632
31,1991-01-01,560342.5448586094,597862.7955271171,578976.4492799452
32,1992-01-01,587633.5507839435,624582.476334112,606333.6080800703
33,1993-01-01,616756.1581173156,653552.1406428806,635216.3188496795
34,1994-01-01,647883.2466435496,684844.6049419714,665261.796141952
35,1995-01-01,674695.013499848,712911.2855741029,693984.3369182824
36,1996-01-01,702688.0554011737,739018.7866392692,721365.6116945036
37,1997-01-01,731366.2587293829,768082.8124526283,750269.4514862131
38,1998-01-01,762801.7097156419,799128.1217141697,780336.0000710551
39,1999-01-01,790752.3450582435,827877.870444167,809108.2227581837
40,2000-01-01,820292.6362808396,859479.6428541532,841102.553177684
41,2001-01-01,855421.7030154613,892141.1258720593,874619.5944005703
42,2002-01-01,889266.8993139673,927689.9782302871,909299.1175151645
43,2003-01-01,923203.715201011,961895.9858563555,942647.091408811
44,2004-01-01,956366.3818711755,993555.3885767277,974653.7993088001
45,2005-01-01,990234.521829111,1027038.7655225885,1008183.2519231385
46,2006-01-01,1024383.2239549543,1061818.6275860316,1042862.775033099
47,2007-01-01,1058792.6528060331,1095121.2125235065,1076210.7489222696
48,2008-01-01,1089588.7022366226,1126710.039177505,1108214.9391276545
49,2009-01-01,1123351.818326826,1161631.8370372043,1141741.8671495665
50,2010-01-01,1157454.6882108606,1194858.1221783874,1176418.8725760372
51,2011-01-01,1190688.4977908644,1229012.256490033,1209764.3287815698
52,2012-01-01,1223684.0792984623,1259995.95133085,1241768.518986991
53,2013-01-01,1256479.996309314,1293433.1609087945,1275295.447008894
54,2014-01-01,1291009.898816704,1328418.77838103,1309972.4524354131
55,2015-01-01,1324470.2214766107,1360916.0034902308,1343317.9086409505
56,2016-01-01,1355412.5241577255,1393281.3589923857,1375322.0988463229
57,2017-01-01,1390751.0660186112,1427240.9875659265,1408849.0268682784
58,2018-01-01,1425396.3720253285,1463143.0541988197,1443526.0322947488
59,2019-01-01,1458109.2139863968,1495419.9948912389,1476871.4885003779
60,2020-01-01,1491752.3486485465,1528654.3140930943,1508875.678705674
61,2021-01-01,1524410.4009257264,1560570.9687752598,1542402.6067276746
62,2022-01-01,1558784.2705517102,1595912.704747524,1577079.6121541113
63,2023-01-01,1591891.2008775754,1628724.6782429307,1610425.0683596584
64,2024-01-01,1623684.8216150133,1661513.3544714316,1642429.2585650957
65,2025-01-01,1656406.8698245457,1695270.945745493,1675956.1865869386
66,2026-01-01,1690879.2623976169,1731126.092877392,1710633.1920134835
67,2027-01-01,1722711.4030947487,1765221.7147166496,1743978.6482190914
68,2028-01-01,1753779.117440793,1796076.860332232,1775982.8384244083
69,2029-01-01,1786144.8757726476,1834038.8939096138,1809509.766446386
70,2030-01-01,1818482.761542909,1872365.307842161,1844186.7718728024
