,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,6094.958022132307,124203.21725369693,65461.06264392968
1,1961-01-01,31354.790801937874,150321.59978429947,92391.57367400873
2,1962-01-01,53466.87130424833,172467.15705684977,112163.21943835859
3,1963-01-01,68959.01758841747,188755.77562111622,130447.29762125488
4,1964-01-01,91108.37564733282,209012.8036133238,147255.2628257477
5,1965-01-01,115477.34173385319,232423.895908849,174185.77403279333
6,1966-01-01,138086.60369144037,250066.55382218413,193957.41997362138
7,1967-01-01,150098.98337019887,267615.23810285114,212290.44584628625
8,1968-01-01,169596.37015177283,290702.2492471023,229147.35874053935
9,1969-01-01,197782.25434299727,311899.9549627666,256201.8435337717
10,1970-01-01,234668.70503446457,349089.19311945693,289455.25578396395
11,1971-01-01,263799.06999158126,381458.2292069553,321221.10036511644
12,1972-01-01,294059.12304065103,412437.4116687591,351608.59741667734
13,1973-01-01,333873.48586554383,449299.50701594504,392155.8445785019
14,1974-01-01,369763.6007566203,487492.27307025087,425581.32655758515
15,1975-01-01,397744.0439264394,512634.9025017546,457519.24086762476
16,1976-01-01,458157.0504826536,576145.4893776396,518510.1616104191
17,1977-01-01,530511.4431174538,649658.4304426813,589744.6774598912
18,1978-01-01,596083.3135681318,711408.9429667039,653755.855046857
19,1979-01-01,658966.4012176769,777806.652464717,716279.4649647786
20,1980-01-01,741787.8306759916,854476.9989061439,796958.9559212019
21,1981-01-01,831426.9204344632,946596.5432281366,887935.9832725642
22,1982-01-01,935802.2020012153,1052436.3020906313,993958.6715362296
23,1983-01-01,1037623.9273687697,1163279.032304123,1098493.792130836
24,1984-01-01,1186460.329101617,1304652.4997131412,1248968.3132534823
25,1985-01-01,1352005.8536358557,1468729.6432256605,1409959.3740976267
26,1986-01-01,1504637.4606601137,1620012.1325354255,1563425.2840208043
27,1987-01-01,1654897.459978141,1776720.7110274236,1715431.8591539713
28,1988-01-01,1807839.8501270942,1922586.4814599492,1865962.3213087409
29,1989-01-01,1968526.4748649136,2085247.3630770522,2026981.6924464193
30,1990-01-01,2125237.0031020213,2238197.1058729794,2180475.83531259
31,1991-01-01,2274280.201700064,2388558.0743763847,2330292.585703502
32,1992-01-01,2419183.89488549,2538984.6214564843,2478633.2231160006
33,1993-01-01,2565078.747310982,2678000.169973579,2623753.179815112
34,1994-01-01,2704345.8183678626,2819196.669763386,2761391.349265793
35,1995-01-01,2842330.2143678227,2959937.8200904746,2897541.899788416
36,1996-01-01,2972262.0129281566,3089928.9260605257,3032216.337332559
37,1997-01-01,3118732.401241513,3237658.549057215,3177336.2425829186
38,1998-01-01,3257064.0515846023,3370846.0109598883,3314974.3607253665
39,1999-01-01,3393473.6636451473,3507986.6075553196,3451124.911269936
40,2000-01-01,3523572.2321162173,3645061.3574670535,3585803.4721008157
41,2001-01-01,3668761.1452510743,3790222.835602212,3730927.511983917
42,2002-01-01,3806745.3481407217,3929854.6139400904,3868638.7002121387
43,2003-01-01,3942104.1852884395,4065675.0415959256,4004862.3207713556
44,2004-01-01,4094752.4759611487,4208631.63625299,4148698.6392373224
45,2005-01-01,4244427.959294308,4362501.934483389,4303005.526502326
46,2006-01-01,4390920.299444094,4511978.571545939,4449845.914218089
47,2007-01-01,4535738.342269187,4655864.134733303,4595198.734264722
48,2008-01-01,4675694.876774862,4796088.463168805,4739106.856222094
49,2009-01-01,4832568.566147871,4951046.155162579,4893485.743700476
50,2010-01-01,4983042.714216873,5097534.899852029,5040357.546305289
51,2011-01-01,5129287.495230958,5246953.515882148,5185741.781241086
52,2012-01-01,5271678.93036641,5386848.4203108605,5329649.903198433
53,2013-01-01,5423262.3716240525,5546041.640887053,5484028.79067681
54,2014-01-01,5573132.260573772,5690966.689959444,5630900.593281583
55,2015-01-01,5718176.627341253,5838208.176815642,5776284.828217375
56,2016-01-01,5858104.727465908,5973047.206197653,5920192.950174772
57,2017-01-01,6017654.66259057,6134367.176905955,6074571.837653104
58,2018-01-01,6163708.529848821,6275440.689753263,6221443.640257916
59,2019-01-01,6310590.868612789,6430763.037726787,6366827.875193615
60,2020-01-01,6452965.9404492965,6570993.730366554,6510735.997151102
61,2021-01-01,6606408.4465039475,6723471.663661705,6665114.88462939
62,2022-01-01,6748718.1481732,6870236.682544648,6811986.687234223
63,2023-01-01,6891500.662913997,7022717.241725499,6957370.922170009
64,2024-01-01,7034008.5329227215,7166906.02709872,7101279.044127324
65,2025-01-01,7184452.471909825,7324028.98072045,7255657.9316057665
66,2026-01-01,7319813.8944507465,7480054.85440926,7402529.734210521
67,2027-01-01,7455525.78901033,7635107.28806,7547913.969146238
68,2028-01-01,7586401.523972343,7792253.561172249,7691822.091103707
69,2029-01-01,7724435.141950408,7961838.967650302,7846200.978582018
70,2030-01-01,7855829.999624779,8113980.414454017,7993072.781186871
