,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-135764.45176046182,128060.38827391402,-16939.547866225214
1,1961-01-01,-105427.72348431595,172553.7363006923,31432.287710483157
2,1962-01-01,-102338.89978935689,164762.69871853277,38736.545368196676
3,1963-01-01,-78351.792787541,178343.74750001173,49331.2651227974
4,1964-01-01,-68712.22115154745,185771.93062627543,63216.77337595311
5,1965-01-01,-24569.367832419273,249788.11380389406,111588.60936785841
6,1966-01-01,-6846.40878567004,259114.06562569874,118892.8674396479
7,1967-01-01,6736.408048604329,256372.44988255863,129487.58686000711
8,1968-01-01,5718.246063172108,277396.9706761608,143373.09477893403
9,1969-01-01,56566.223941172895,321808.04015620926,191782.21222825325
10,1970-01-01,64285.36186617517,343805.92388171674,199175.82603346484
11,1971-01-01,68611.14959343302,361692.00833615544,209859.90146604166
12,1972-01-01,85841.92024091809,339387.7313159989,223843.23951827435
13,1973-01-01,145283.39108200397,408145.26677803806,272313.17339164764
14,1974-01-01,142061.25306756486,417436.9664616294,279788.93614365265
15,1975-01-01,160806.7257802099,428150.01315568975,290555.16052299977
16,1976-01-01,187459.0123557002,440364.3529043267,304720.1008424939
17,1977-01-01,219677.36551727916,490328.1530335633,353372.1345235804
18,1978-01-01,241280.45558839932,505300.76942736807,373261.3563610535
19,1979-01-01,256363.0328207085,535701.382919685,396441.0398258491
20,1980-01-01,303135.6612101162,575723.2359939109,433067.5660113011
21,1981-01-01,361633.6919418733,644901.8910273592,504242.7241497675
22,1982-01-01,400269.201019195,667297.5361005869,534492.6295066236
23,1983-01-01,433173.0760559486,694618.3019252734,568032.996490847
24,1984-01-01,478918.2219315596,735066.9057721465,604952.2154410413
25,1985-01-01,584135.8287044425,857945.4437355673,722879.5609310484
26,1986-01-01,662138.1246489087,936923.8940306181,799549.2861253252
27,1987-01-01,746252.1473294804,1009691.3187509256,879685.0211798364
28,1988-01-01,837171.0243013375,1097388.8128084647,963111.5447328913
29,1989-01-01,961731.605222241,1228371.3448761974,1098985.8941370645
30,1990-01-01,1058311.5711962725,1330521.5089024694,1193553.5877156265
31,1991-01-01,1180694.1257164974,1446670.038069599,1310745.6907602146
32,1992-01-01,1297373.2921183708,1576035.2456336822,1431228.5823034053
33,1993-01-01,1451105.2556445422,1711066.2162651354,1586586.7610138203
34,1994-01-01,1559147.3289624406,1842049.7373199156,1700585.0493923207
35,1995-01-01,1683816.8401398747,1953301.4121872936,1817975.2868021221
36,1996-01-01,1805273.592784427,2079576.0776454294,1938656.312710579
37,1997-01-01,1969471.5977184474,2252359.675677796,2113289.688791895
38,1998-01-01,2110692.5582158077,2382298.0598203763,2246510.5100676827
39,1999-01-01,2253764.7525836504,2507485.1186037753,2384006.908381051
40,2000-01-01,2392521.886612573,2659041.437950767,2524882.2455749577
41,2001-01-01,2569747.2613461763,2846773.738906118,2700591.8279028134
42,2002-01-01,2775516.6722113527,3052402.1489034374,2916689.6600105525
43,2003-01-01,2992928.3372371458,3264189.942150045,3136077.9537456157
44,2004-01-01,3241117.254925619,3495872.1386571038,3358818.826109102
45,2005-01-01,3490039.2429837533,3740235.424245797,3616618.2327438476
46,2006-01-01,3692772.4862499814,3965910.8002434894,3833229.1371829645
47,2007-01-01,3921760.5080022505,4183629.0209398577,4053130.503249497
48,2008-01-01,4131277.1026654486,4400859.550450343,4276387.444194522
49,2009-01-01,4395658.53045216,4663403.2442408055,4534704.333297357
50,2010-01-01,4610395.808162081,4881817.68088376,4751380.0241164435
51,2011-01-01,4835877.818605605,5104085.235323441,4971346.176562844
52,2012-01-01,5067119.942533711,5333620.126543628,5194603.117507919
53,2013-01-01,5311521.997904517,5581846.7992519215,5452920.0066107595
54,2014-01-01,5532153.0902898535,5801639.229101492,5669595.697429852
55,2015-01-01,5762180.563669449,6029427.421851349,5889561.849876306
56,2016-01-01,5968490.052221365,6243949.10705333,6112818.790821312
57,2017-01-01,6237212.424272112,6508582.395034524,6371135.679924216
58,2018-01-01,6449925.914564399,6724103.382111901,6587811.370743304
59,2019-01-01,6660329.235600719,6945604.4478512565,6807777.523189821
60,2020-01-01,6896693.370989906,7157651.548091734,7031034.464134735
61,2021-01-01,7162355.859057441,7424417.156966159,7289351.353237649
62,2022-01-01,7382056.7841163,7642320.822869033,7506027.044056726
63,2023-01-01,7586421.267999642,7861252.862011565,7725993.196503171
64,2024-01-01,7811219.5401200205,8088523.980826323,7949250.137448265
65,2025-01-01,8060599.7433021655,8356914.774233434,8207567.026551041
66,2026-01-01,8271961.696719924,8574349.72830005,8424242.717370162
67,2027-01-01,8476008.816163434,8810585.76675264,8644208.869816678
68,2028-01-01,8700546.121702177,9055223.330312872,8867465.81076163
69,2029-01-01,8932719.730984617,9323977.8013036,9125782.699864507
70,2030-01-01,9129666.93729348,9568428.919268714,9342458.390683636
