,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,3383152.1174705722,5382902.677288877,4408913.547666635
1,1961-01-01,4521512.895190683,6554274.476232207,5522165.317482413
2,1962-01-01,5488025.211760188,7433541.775136374,6440253.531240741
3,1963-01-01,6393507.982017182,8393950.141003067,7365610.076057065
4,1964-01-01,7201572.557989159,9323073.968753925,8298517.621709716
5,1965-01-01,8377087.4460357325,10396242.181359055,9412165.052845102
6,1966-01-01,9254769.842520095,11309999.633234339,10330647.846881125
7,1967-01-01,10332896.491898105,12435184.379460761,11390878.327363312
8,1968-01-01,11354897.635806296,13487688.010000452,12458659.808681719
9,1969-01-01,13267094.460412106,15233074.044748778,14259012.935057105
10,1970-01-01,14810102.434806624,16920338.603232794,15863915.74532599
11,1971-01-01,16410355.77075701,18484845.646597255,17476086.883532595
12,1972-01-01,18076699.900234953,20092518.71370259,19095840.512062848
13,1973-01-01,19856766.778670408,21954551.57620002,20897820.137975205
14,1974-01-01,21459750.216270827,23441228.53496956,22502754.439146228
15,1975-01-01,23108915.047359217,25156133.245430715,24114957.068254843
16,1976-01-01,24456336.36451934,26388550.801801983,25493245.302699108
17,1977-01-01,26032573.1507062,28133876.207249638,27053097.985500563
18,1978-01-01,27346093.09291913,29408972.3597815,28415455.075485658
19,1979-01-01,28733423.545479223,30836803.909520537,29785080.49340827
20,1980-01-01,30107663.148758203,32152729.164075773,31162256.90843288
21,1981-01-01,31747238.14254906,33665000.75627865,32720994.725734137
22,1982-01-01,33011406.23499154,35068713.25754788,34083351.81208561
23,1983-01-01,34417438.40638295,36467511.85527606,35452977.22637436
24,1984-01-01,35771180.023857735,37840605.18279505,36830362.283230685
25,1985-01-01,37451132.02731016,39428337.97347515,38390407.997540794
26,1986-01-01,38731911.77737617,40801729.945471965,39754069.407311395
27,1987-01-01,40291944.931112334,42405237.708889015,41360679.47324968
28,1988-01-01,41991812.70798766,44012965.51554674,42974840.54002469
29,1989-01-01,43830040.54406786,45721168.06191674,44772272.95575618
30,1990-01-01,45398178.86559789,47400866.17750874,46372672.469402604
31,1991-01-01,47818273.68660383,49794208.89640689,48732298.18661992
32,1992-01-01,50061633.971634276,52147950.71162339,51099474.90467345
33,1993-01-01,52628775.332060054,54665416.90744886,53652520.25288603
34,1994-01-01,54953917.85792313,57085392.55700422,56006468.18280563
35,1995-01-01,57345078.15321209,59406036.165078335,58369666.22085183
36,1996-01-01,59709115.86715081,61721033.54439278,60740415.25973283
37,1997-01-01,62601303.09131382,64808884.51086938,63705068.00422465
38,1998-01-01,65437960.959425315,67474408.08990274,66469498.720050134
39,1999-01-01,68352297.3664447,70294455.50903548,69242401.73964994
40,2000-01-01,70963574.3601332,73092049.65355709,72023885.86336565
41,2001-01-01,73982580.47037669,75931412.8210074,74990778.80773996
42,2002-01-01,76797114.09871902,78756097.58959816,77758025.97027352
43,2003-01-01,79516034.4758206,81549344.99195294,80532541.4607458
44,2004-01-01,82254952.06489816,84270384.67948714,83314607.95667376
45,2005-01-01,85225395.3765028,87304072.15841727,86282084.86879784
46,2006-01-01,87976380.56174093,90093594.8724184,89049332.03730476
47,2007-01-01,90794776.53697373,92932979.82784556,91823847.53374678
48,2008-01-01,93309845.00703152,95262072.60500243,94334611.9136475
49,2009-01-01,96101357.74923024,98071733.29529223,97030043.41627719
50,2010-01-01,98582414.7762228,100633284.14264008,99525988.46740349
51,2011-01-01,101088921.19173932,103084924.01891437,102029201.84646823
52,2012-01-01,103524921.64383607,105614640.94526996,104539966.22636819
53,2013-01-01,106223220.84140936,108301128.11145623,107235397.72899798
54,2014-01-01,108729520.05267707,110777421.56098074,109731342.78012308
55,2015-01-01,111237778.89979719,113250429.64346528,112234556.15918782
56,2016-01-01,113647876.1107506,115751603.41078107,114745320.53908893
57,2017-01-01,116452561.43011056,118409453.09146349,117440752.04171757
58,2018-01-01,118942238.12372583,120976781.9499034,119936697.09284385
59,2019-01-01,121493688.03864108,123526838.52886471,122439910.47190627
60,2020-01-01,123991912.13023394,125899814.00605668,124950674.85180938
61,2021-01-01,126619329.57227461,128657193.94336548,127646106.35443681
62,2022-01-01,129054833.45370437,131089715.13863693,130142051.40556383
63,2023-01-01,131615933.87519969,133642901.68898301,132645264.78462833
64,2024-01-01,134048155.92509335,136328365.75696355,135156029.1645277
65,2025-01-01,136624014.4583183,139057392.0383248,137851460.66715902
66,2026-01-01,138992908.3524987,141856990.5297917,140347405.71828362
67,2027-01-01,141246871.56804624,144418640.07736596,142850619.0973465
68,2028-01-01,143427502.3420859,147046152.03804338,145361383.47724923
69,2029-01-01,146087613.04504773,150078004.96844652,148056814.9798772
70,2030-01-01,148239662.5896438,152925644.41940755,150552760.03100488
