,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-67314.54754166064,33916.96734437053,-15743.58580145245
1,1961-01-01,-60315.28420586186,37640.01506088235,-9632.71243049272
2,1962-01-01,-55316.20217572287,44760.48019513207,-5418.3222497004535
3,1963-01-01,-49191.29047810208,46206.005665689714,-21.43319686045288
4,1964-01-01,-45365.511165279386,59994.72941385059,6552.784520565372
5,1965-01-01,-38078.72270693938,60757.92496347884,12663.657931688198
6,1966-01-01,-32934.493295992776,71371.69799928984,16878.048152536823
7,1967-01-01,-29390.095233890326,72412.74702231643,22274.93762603309
8,1968-01-01,-21155.398862377657,73319.04764353063,28849.155764120776
9,1969-01-01,-17774.174051782476,82362.28960030005,34968.044637866726
10,1970-01-01,-10590.155727154259,91053.39291257155,39194.288333998105
11,1971-01-01,-2330.2219898291796,93449.26398646647,44603.03088732553
12,1972-01-01,2512.912488517185,100922.1832478997,51199.078783943216
13,1973-01-01,4929.070384732891,106398.28466323337,57331.84215768415
14,1974-01-01,10560.681529058453,110258.93588333798,62153.55363769895
15,1975-01-01,13457.98258130178,116864.5845622832,68157.76397490846
16,1976-01-01,23449.783106957308,126728.05049721553,75368.05062024524
17,1977-01-01,28363.740822291522,132275.32274934754,82116.73558859192
18,1978-01-01,35577.88192329619,137850.83918614156,86995.93183492718
19,1979-01-01,42627.280517994855,141528.59689236002,93057.6269384556
20,1980-01-01,49822.153210220975,151671.79113553243,100312.94959646802
21,1981-01-01,57364.67155950306,159892.27491690472,107106.79396382444
22,1982-01-01,64560.5895283453,162456.37550709845,112010.34239716294
23,1983-01-01,71734.27449906821,170329.10560717277,118096.38968770643
24,1984-01-01,85002.61866449732,183559.5201798187,133783.8964669365
25,1985-01-01,98664.20467010792,196891.91723910978,149065.04445429327
26,1986-01-01,111819.4871533554,211396.7667216023,162424.65385637037
27,1987-01-01,124125.32065444942,225027.9627403877,176979.95770449785
28,1988-01-01,142953.06123538627,241640.11594863824,192712.59021720794
29,1989-01-01,157735.07676477538,258540.23629892018,208014.957624348
30,1990-01-01,172532.2799537814,270219.4613465324,221395.72846964854
31,1991-01-01,188033.43590292457,287016.96094491595,235971.8890847995
32,1992-01-01,204498.29478811336,302031.24332445604,251725.3783645474
33,1993-01-01,233633.0931047275,329689.1122951779,284101.4051202452
34,1994-01-01,265667.72241892555,365554.6939364476,314509.18597161147
35,1995-01-01,298937.9207428761,396800.1336571018,346125.5782926882
36,1996-01-01,330690.00843710726,426680.89798203344,378919.29927839886
37,1997-01-01,363972.2484119563,463297.65369387635,411335.21293868765
38,1998-01-01,392858.02434361185,488819.8535232773,441782.7717140643
39,1999-01-01,423615.65482081234,524660.5264958148,473449.02720721567
40,2000-01-01,455525.6058055256,558729.4881952199,506322.14084017585
41,2001-01-01,492086.7842398026,589431.570472195,538803.9619111469
42,2002-01-01,549482.952882233,646913.0482374395,597139.1984605233
43,2003-01-01,605180.9288843645,705638.8334445966,656656.9338670757
44,2004-01-01,675936.9831473967,773461.0397988443,724797.4073378256
45,2005-01-01,743864.2018703774,841655.9716283004,792643.2111502936
46,2006-01-01,836656.6961041053,936202.7820951946,883989.1805686641
47,2007-01-01,926798.3460120244,1028423.2885069567,976517.6488442763
48,2008-01-01,1020609.0502852469,1121660.767273861,1070235.3064807255
49,2009-01-01,1114974.2309062325,1213119.6291878314,1163728.3689360253
50,2010-01-01,1204601.3167425208,1308773.3624467298,1255086.1990506898
51,2011-01-01,1300487.7181663483,1398243.444781658,1347626.5280225344
52,2012-01-01,1394128.8894544132,1488879.8365891117,1441344.1856590009
53,2013-01-01,1487903.827644866,1588001.931632895,1534837.2481143035
54,2014-01-01,1580789.6817049016,1675504.7844983544,1626195.0782289878
55,2015-01-01,1668004.0026030801,1769116.2092053832,1718735.40720084
56,2016-01-01,1758661.055886696,1862554.4592166683,1812453.0648372741
57,2017-01-01,1854823.6182487977,1954383.3358070434,1905946.127292606
58,2018-01-01,1949550.3746579334,2046119.0475405578,1997303.957407271
59,2019-01-01,2043138.1310309623,2141981.433899142,2089844.2863791746
60,2020-01-01,2132973.9517451786,2234968.2760144733,2183561.944015556
61,2021-01-01,2230656.204869415,2328012.1240855725,2277055.006470908
62,2022-01-01,2323343.8322301256,2419395.7525235936,2368412.8365855636
63,2023-01-01,2406048.781890142,2512671.9911843934,2460953.1655574166
64,2024-01-01,2497584.436464261,2610718.816332734,2554670.8231939017
65,2025-01-01,2592059.6340489243,2703862.313571572,2648163.8856491665
66,2026-01-01,2676826.394261645,2799888.7250585,2739521.715763862
67,2027-01-01,2767057.582309017,2896682.584530144,2832062.0447357576
68,2028-01-01,2852986.903655366,2999603.9515587497,2925779.70237215
69,2029-01-01,2942922.251844396,3100644.842052989,3019272.764827488
70,2030-01-01,3026669.2723258017,3201349.806260181,3110630.5949421404
