,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-28904449352.438004,5554979993.316491,-12064425504.128107
1,1961-01-01,-25376773865.444874,9005563669.599497,-7877221370.51247
2,1962-01-01,-24666412449.066483,10640046118.363598,-7205253850.567011
3,1963-01-01,-23819691628.664963,10346347551.232925,-6987440123.111855
4,1964-01-01,-24835169723.811016,10033910580.255775,-7222614688.014606
5,1965-01-01,-20385871482.18831,15651398116.318836,-3035410355.415945
6,1966-01-01,-20283160666.058132,13984202602.463291,-2363442637.030611
7,1967-01-01,-20336868668.921726,15097802443.820581,-2145628792.7346783
8,1968-01-01,-19557058263.664642,15026195059.558552,-2380803240.7977333
9,1969-01-01,-15858354646.93259,19913378540.552914,1806401155.0180779
10,1970-01-01,-13995141048.209183,20739258229.516373,2478369091.673153
11,1971-01-01,-14325705767.838867,21156764336.148357,2696183177.2549505
12,1972-01-01,-14611375905.03311,19289019071.177265,2461009083.6905975
13,1973-01-01,-10855843845.98611,24470129127.578274,6648213748.677722
14,1974-01-01,-11318398887.266422,25323628883.806652,7320181746.467069
15,1975-01-01,-9007719516.20546,25900160427.387802,7537995893.181848
16,1976-01-01,-8381072500.703502,23822776675.81106,7302821890.902689
17,1977-01-01,-5281300679.065518,27966658699.979286,11490026647.424755
18,1978-01-01,-4725064300.363818,30596615264.79883,12161994745.535345
19,1979-01-01,-4814306848.89446,31260061321.700348,12379808992.570011
20,1980-01-01,-4792463427.140702,30078421040.41198,12144634878.47025
21,1981-01-01,-219237528.2771219,33548911564.91294,16331839522.86746
22,1982-01-01,-874537174.1930181,34798892405.736534,17003811109.412682
23,1983-01-01,-1421458959.1099975,34878433081.99466,17221628844.88256
24,1984-01-01,356880331.3232218,34159005551.557457,16986644498.691856
25,1985-01-01,3829072703.751155,38045893615.95085,21174041603.681942
26,1986-01-01,3581825328.3126616,38713515284.66522,21846201567.757645
27,1987-01-01,4632873607.098,38124652607.24816,22064349177.14932
28,1988-01-01,5066717048.186819,40498950013.525986,21829508494.179317
29,1989-01-01,8896528181.11163,42917618238.808525,26017101956.126926
30,1990-01-01,8860411797.101126,43700027866.26985,26689457740.664803
31,1991-01-01,9015528350.129204,43688966087.88526,26907674392.307106
32,1992-01-01,11394338315.366163,44348532193.56465,26672902751.591988
33,1993-01-01,13259747561.20556,48347922051.8325,30860584264.839966
34,1994-01-01,13411452393.150465,50286345967.743835,31533027860.097115
35,1995-01-01,14046481626.61803,50622352135.29271,31751377585.970173
36,1996-01-01,13599437041.901037,47509146447.96343,31516739019.480324
37,1997-01-01,17400835547.514664,51858598738.96291,35704613033.08646
38,1998-01-01,19163345009.274,53770685131.01619,36377248602.741806
39,1999-01-01,19314608671.741608,53631758568.25456,36595769315.3286
40,2000-01-01,19530282151.745644,53816431437.39015,36361671558.10699
41,2001-01-01,22029098240.625317,57313957716.096436,40549955508.32428
42,2002-01-01,24679295559.21405,58579386636.659065,41223083711.72731
43,2003-01-01,22641215147.656384,58614579982.54476,41442058064.05561
44,2004-01-01,23962933398.84961,58148136429.638466,41208075085.03278
45,2005-01-01,29352577442.36127,61607800743.040886,45396474127.88112
46,2006-01-01,27844274213.545048,63095254833.77028,46069633319.28419
47,2007-01-01,28950554462.842472,62787422520.11375,46288638659.614456
48,2008-01-01,28322895559.81353,64367159417.11669,46054655729.34165
49,2009-01-01,33188954167.418205,67969667473.63055,50243054821.08997
50,2010-01-01,34273655013.73459,68722022250.94667,50916214034.25043
51,2011-01-01,32585742943.339207,68708943628.77418,51135219396.33488
52,2012-01-01,32873338453.70094,67650861873.90115,50901236466.06493
53,2013-01-01,38219700765.22592,72729450464.54926,55089635557.81082
54,2014-01-01,39211908998.1019,74012428862.4678,55762794770.969986
55,2015-01-01,38332946298.31646,72714152331.75426,55981800133.0571
56,2016-01-01,38062062962.22829,73777462519.85103,55747817202.78757
57,2017-01-01,44110234344.37511,77683005923.85455,59936216294.53414
58,2018-01-01,43034231090.807945,78469352572.18007,60609375507.694626
59,2019-01-01,43847045828.74739,77565510129.12035,60828380869.77785
60,2020-01-01,43883844504.124535,77166840052.90329,60594397939.51299
61,2021-01-01,46438127655.75018,82535420352.27075,64782797031.2572
62,2022-01-01,49096553594.59555,81581053853.92902,65455956244.416046
63,2023-01-01,46198230371.08869,82606022775.25822,65674961606.5034
64,2024-01-01,47218812953.344894,82431253004.02167,65440978676.22871
65,2025-01-01,52328537858.47955,87349918807.48677,69629377767.97672
66,2026-01-01,51949598350.634384,87854459031.0263,70302536981.1378
67,2027-01-01,52277423977.890335,87406319450.93352,70521542343.22101
68,2028-01-01,52251288410.549866,87301900568.77434,70287559412.95804
69,2029-01-01,58060955190.189156,91812329625.03473,74475958504.70154
70,2030-01-01,57423660160.97632,91997294895.84772,75149117717.86491
