,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-17686342527.989315,1078145755.853548,-8817016071.575796
1,1961-01-01,-15575935945.719955,1975358367.6634374,-6669567675.207623
2,1962-01-01,-15636887018.599722,3006324699.1736693,-6345858925.522813
3,1963-01-01,-15399470872.01763,2776325247.476267,-6167401260.697802
4,1964-01-01,-15585029245.194324,3283335820.6204424,-6133607002.227308
5,1965-01-01,-13311136575.329689,5203988716.710586,-3986158605.4971204
6,1966-01-01,-12930920876.915543,5611869574.816538,-3662449855.451064
7,1967-01-01,-12700399161.839785,5179980654.969636,-3483992190.605029
8,1968-01-01,-12606457038.140854,5852110854.877574,-3450197932.1137905
9,1969-01-01,-10799667742.111639,8031268482.930765,-1302749535.3917813
10,1970-01-01,-10304474273.52838,8345776459.530184,-979040785.0700009
11,1971-01-01,-10314844317.629528,8570379010.788772,-800583119.7147106
12,1972-01-01,-9977884400.861204,8671038701.57133,-766788860.3838396
13,1973-01-01,-7934415604.47128,10803898532.081957,1380659536.9529774
14,1974-01-01,-7781370573.500284,10856730272.196035,1704368287.848633
15,1975-01-01,-7308608642.895371,10919572969.942987,1882825953.7770047
16,1976-01-01,-7761776600.346598,11672024589.93241,1916620213.33343
17,1977-01-01,-5016627471.002976,13316649875.087055,4064068610.8961706
18,1978-01-01,-4675274284.879429,13259618993.197401,4387777361.745368
19,1979-01-01,-4390398112.546415,14098129835.81801,4566235027.626463
20,1980-01-01,-4353928494.222308,13523773851.63603,4600029287.832577
21,1981-01-01,-2602583966.7835584,15902948639.337019,6747477686.047615
22,1982-01-01,-1827523920.584824,16460973741.455904,7071186437.764723
23,1983-01-01,-1967472673.1813436,16511620421.751785,7249644104.5142975
24,1984-01-01,-2000342995.4319906,17109860431.006546,7283438794.100527
25,1985-01-01,-595565106.9604664,18358147339.13952,9430933306.671824
26,1986-01-01,940745149.5796978,19111321140.136387,9754688046.55991
27,1987-01-01,317835163.08513784,19520919895.942886,9933193976.192953
28,1988-01-01,709191079.3362333,18608825406.873875,9967036499.470137
29,1989-01-01,2074097158.4885924,21267839665.33966,12114533564.004147
30,1990-01-01,3508749035.5548444,22246308730.76937,12438290848.881212
31,1991-01-01,3986869098.3597918,22174104134.822212,12616797436.978014
32,1992-01-01,3415928633.771292,21248732134.85935,12650640618.720995
33,1993-01-01,5676003342.647066,23899786809.16248,14798162223.418758
34,1994-01-01,5549099665.922782,24788067607.787563,15121943981.40892
35,1995-01-01,6100996985.455081,24264310248.761696,15300474808.104572
36,1996-01-01,6652349610.114775,25043912736.926147,15334342228.443909
37,1997-01-01,8099577044.861023,26570943387.670296,17481927694.86306
38,1998-01-01,8316144998.7132,26815737864.11354,17805773140.08815
39,1999-01-01,8990524085.62904,27111981728.05419,17984367501.501923
40,2000-01-01,8393468282.509966,27189335877.87952,18018298457.50796
41,2001-01-01,11682399512.543736,29098658714.814613,20165883926.041153
42,2002-01-01,11143440236.453625,29865547549.190186,20489729375.094746
43,2003-01-01,11008635626.894333,29328546436.88887,20668323739.18132
44,2004-01-01,11023661538.38192,30200285690.4569,20702254697.15192
45,2005-01-01,13269797807.451088,31931623810.56692,22849840167.641373
46,2006-01-01,13486394695.515291,32247535890.83909,23173685617.01667
47,2007-01-01,14018256426.459558,32992321488.927605,23352279981.42489
48,2008-01-01,14663797547.761738,32895855778.840324,23386210939.81732
49,2009-01-01,16203241782.17086,34955972067.84178,25533796410.73708
50,2010-01-01,16443538421.785273,35209613530.79008,25857641860.451103
51,2011-01-01,16241708661.028059,34886869350.87583,26036236225.19736
52,2012-01-01,16762024827.955696,35236562414.68973,26070167183.59112
53,2013-01-01,18798271578.968334,37639601903.96841,28217752654.50996
54,2014-01-01,19053786698.751766,37140644027.62079,28541598104.222954
55,2015-01-01,20051649174.15883,38677701543.70902,28720192468.97076
56,2016-01-01,19872214217.89309,38149171720.54122,28754123427.364548
57,2017-01-01,21775081268.192905,40197670890.68484,30901708898.28367
58,2018-01-01,22400642807.213253,41283567063.74345,31225554347.99773
59,2019-01-01,22698278049.844185,40499089830.24906,31404148712.74344
60,2020-01-01,22203425447.269215,41035137925.54596,31438079671.13918
61,2021-01-01,24602788391.175972,43046481406.91031,33585665142.056957
62,2022-01-01,24454799242.809967,42555425646.86233,33909510591.770603
63,2023-01-01,25029830039.697655,43732993190.13121,34088104956.51827
64,2024-01-01,24616374515.799255,44109680399.435425,34122035914.90999
65,2025-01-01,27059236347.933544,44971619713.91707,36269621385.829834
66,2026-01-01,27151943475.682724,44953546874.577805,36593466835.54366
67,2027-01-01,26889906033.484406,46511313736.08527,36772061200.289536
68,2028-01-01,27129328893.188137,46116224574.85178,36805992158.68621
69,2029-01-01,28850914924.929222,48286659779.11517,38953577629.60356
70,2030-01-01,30799873812.622406,48658651015.89301,39277423079.31975
