,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1961964260953.1807,59276298576.93763,-932965784035.3844
1,1961-01-01,-2007417820302.7085,121653444695.9423,-882258758054.52
2,1962-01-01,-1851807912720.6797,81071843254.38016,-826090361744.3525
3,1963-01-01,-1777535016749.4639,361662064575.5275,-766836458922.3617
4,1964-01-01,-1724861953350.2434,332087614099.4538,-704499433691.1465
5,1965-01-01,-1712240429421.8245,351168938108.9411,-653792407704.2588
6,1966-01-01,-1691897824537.3857,457967727041.5486,-597624011388.0848
7,1967-01-01,-1570396465359.545,534008630915.0064,-538370108563.177
8,1968-01-01,-1550406989203.9102,537183075687.6353,-476033083329.0374
9,1969-01-01,-1412664064802.6138,598215481874.1157,-425326057361.9568
10,1970-01-01,-1383347101050.265,644596494275.0222,-369157661079.14453
11,1971-01-01,-1359476665215.6846,677066733784.1887,-309903758279.63794
12,1972-01-01,-1194481617353.9917,768163102651.6226,-247566733089.94922
13,1973-01-01,-1116626562112.836,801462872027.083,-196859707155.61548
14,1974-01-01,-1204597223933.7986,864022743835.7976,-140691310891.76392
15,1975-01-01,-1180225421083.8613,959949030386.2533,-81437408111.21655
16,1976-01-01,-1151763941829.7324,1043689786488.1595,-19100382922.704956
17,1977-01-01,-1011042468998.7854,1082171538062.0702,31606643010.450317
18,1978-01-01,-912994546722.4631,1124692749023.0935,87775039342.99365
19,1979-01-01,-928301327754.2769,1200311172079.5522,147028942192.23315
20,1980-01-01,-765589541679.454,1177422914774.463,209366572355.58105
21,1981-01-01,-789454162094.4165,1237259589468.6736,260074204921.0287
22,1982-01-01,-803837448230.2445,1364644940880.1372,316245156625.10266
23,1983-01-01,-620898012160.9954,1397291886733.9827,375501614845.8761
24,1984-01-01,-569281935211.6165,1388365072175.3057,437846666818.4491
25,1985-01-01,-456646099422.12384,1565979984124.7603,488564750537.2374
26,1986-01-01,-473620710020.43414,1542737664862.6636,544744174372.94836
27,1987-01-01,-495200460418.0093,1562444001508.6118,604032842108.5302
28,1988-01-01,-297231034829.9866,1720246163132.232,666404632253.3567
29,1989-01-01,-350542126272.4557,1712110142189.9617,717153279829.9229
30,1990-01-01,-268403496952.60287,1758968711662.3176,773363184015.5883
31,1991-01-01,-181721541975.82797,1850374021568.4075,832669401270.5122
32,1992-01-01,-154078595649.15765,1933331583409.8054,895058740934.665
33,1993-01-01,-73707691579.62926,2034738576679.586,945840017484.3622
34,1994-01-01,-35691061244.01173,1909336547493.4072,1002082461492.984
35,1995-01-01,-4683161559.157607,2096154284871.029,1061435633811.7113
36,1996-01-01,23009625698.11464,2199621928179.2954,1123871928539.69
37,1997-01-01,93924112216.60384,2162966831996.457,1174699059542.5503
38,1998-01-01,180972434336.46436,2232938293701.1914,1230987232718.963
39,1999-01-01,284092475157.6446,2277172686265.6763,1290367956215.2957
40,2000-01-01,362718605230.61163,2366248645518.2764,1352835310327.1777
41,2001-01-01,378733298884.4969,2454033401203.7686,1403673022249.1848
42,2002-01-01,424491758394.4908,2547109068367.052,1459993883761.1338
43,2003-01-01,490397898387.1361,2677687746890.702,1519400251789.7864
44,2004-01-01,514704850586.99286,2568323745744.995,1581889794353.9966
45,2005-01-01,503389370549.61,2666172105345.5117,1632749755518.6963
46,2006-01-01,707584540885.6841,2791614753639.889,1689070669194.5352
47,2007-01-01,719509163128.9653,2825647402691.5264,1748477089387.0508
48,2008-01-01,838677346856.7522,2826760193137.5615,1810966632022.401
49,2009-01-01,819650385385.1611,2873384624116.9873,1861826593258.3765
50,2010-01-01,927667200835.1265,2877792499194.3384,1918147506967.791
51,2011-01-01,869386846184.5206,3006874723995.007,1977553927193.9106
52,2012-01-01,967951610912.6318,3117627435054.094,2040043469829.2517
53,2013-01-01,987989080212.2847,3162285684033.9067,2090903431065.2368
54,2014-01-01,1086321258400.32,3170017606049.0776,2147224344774.6475
55,2015-01-01,1174993263987.8545,3259478746193.926,2206630765000.7666
56,2016-01-01,1210342955927.4065,3317564640862.737,2269120307636.1045
57,2017-01-01,1313127500665.905,3312642995396.6714,2319980268872.0874
58,2018-01-01,1275152482808.9602,3357228043813.469,2376301182581.502
59,2019-01-01,1459638654659.978,3533293456139.967,2435707602807.6274
60,2020-01-01,1510860553170.0447,3566284846793.2646,2498197145442.947
61,2021-01-01,1468796165144.5361,3585756635991.501,2549057106678.9307
62,2022-01-01,1551625735517.704,3628604450595.2383,2605378020388.358
63,2023-01-01,1618681018941.358,3691934653932.594,2664784440614.471
64,2024-01-01,1725860227063.871,3742965920197.6113,2727273983249.831
65,2025-01-01,1811958888977.36,3828269260909.021,2778133944485.8086
66,2026-01-01,1858255822056.7915,3813837249944.0605,2834454858195.2124
67,2027-01-01,1942847045917.4004,4008249435465.74,2893861278421.3423
68,2028-01-01,1922491620781.627,4035936186850.596,2956350821056.6553
69,2029-01-01,1983876534551.7388,4090354021711.647,3007210782292.641
70,2030-01-01,2026623004552.2495,4125598967608.759,3063531696002.066
