,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-152014441205.08423,78387986933.71529,-40626428786.450134
1,1961-01-01,-161588007501.17627,60562457929.37273,-48235768798.64053
2,1962-01-01,-144418585673.2378,72769252713.8627,-42305947712.14078
3,1963-01-01,-148029241285.73087,75877618692.09999,-33267735494.91809
4,1964-01-01,-134153522732.12808,86414676045.20212,-21127981478.263275
5,1965-01-01,-135408366845.37413,79410319616.53125,-28737321506.30484
6,1966-01-01,-135555682735.6931,88765022707.22194,-22807500435.61438
7,1967-01-01,-132040877987.93185,88626246762.95316,-13769288230.306885
8,1968-01-01,-113920628827.18027,103797769718.6936,-1629534225.5603333
9,1969-01-01,-121860507444.14091,99799809695.99905,-9238874259.582275
10,1970-01-01,-112774684653.91505,112090963226.55064,-3309053194.4778748
11,1971-01-01,-93467192414.52516,112577575033.95181,5729159009.481171
12,1972-01-01,-95172717738.41324,120130375093.62373,17869790440.952606
13,1973-01-01,-101204932946.95143,124738436526.18777,10261330239.30429
14,1974-01-01,-86523748970.20456,128472664444.61261,16192028732.820862
15,1975-01-01,-87874392178.42982,130480748732.07231,25231118365.19565
16,1976-01-01,-67220202990.27164,151877530128.15982,37377018843.71982
17,1977-01-01,-76429069522.86655,146506068660.88126,29773842124.869812
18,1978-01-01,-68977038085.3496,146879857846.5338,35709809667.75012
19,1979-01-01,-59638541590.46246,163113064888.1593,44754168349.4928
20,1980-01-01,-52589305286.29966,164742027204.2378,56902103478.670074
21,1981-01-01,-54213747460.962425,158899846059.95438,49300966984.846375
22,1982-01-01,-54530182769.0251,166001873289.55377,55249209653.49338
23,1983-01-01,-51463143008.043655,176979047670.36853,64305843461.006714
24,1984-01-01,-30043361847.029877,178177256961.13544,76464555870.53387
25,1985-01-01,-45495183113.941444,175310966564.43985,68879034485.99731
26,1986-01-01,-37195662706.21111,186779524460.7899,74832609121.9429
27,1987-01-01,-26314391175.64253,191686887035.20642,83903163685.72983
28,1988-01-01,-17724833166.530777,214598556776.67566,96075260048.96616
29,1989-01-01,-20182700647.6852,198407928771.89108,88517229161.63339
30,1990-01-01,-19729997898.503815,205268513605.86356,94498219184.13159
31,1991-01-01,-7579731355.354189,212250420767.2004,103608299742.25467
32,1992-01-01,4590169735.443006,223341222392.44205,115819922099.81372
33,1993-01-01,40684517451.60146,261933603001.637,152161108821.11295
34,1994-01-01,96828018116.15138,307063373356.3046,201921373234.7532
35,1995-01-01,146295820462.71094,360141345517.9289,254799736246.47382
36,1996-01-01,202622888566.14288,420056876834.54535,310779641057.67017
37,1997-01-01,235519173665.70544,455734100175.4071,347151477969.5236
38,1998-01-01,282967887096.29456,503966544719.6042,396942308830.0553
39,1999-01-01,335380116506.9124,557056572008.9481,449854535017.9246
40,2000-01-01,403493440050.52136,609192549955.8788,505878907278.0743
41,2001-01-01,429289162363.0228,644903576259.4506,542274417331.9253
42,2002-01-01,480049483542.6256,703318120128.3413,592090550190.1421
43,2003-01-01,538196213618.08704,754262458553.8041,645015074187.2145
44,2004-01-01,594114028649.7494,811540426365.7546,701041139992.8223
45,2005-01-01,623616878549.7115,848908168401.166,737438348232.1244
46,2006-01-01,683753793602.4955,904984572129.834,787254481101.1299
47,2007-01-01,724705531840.7361,955647742989.2872,840179005108.9982
48,2008-01-01,786937134738.494,1011903526632.3566,896205070915.5455
49,2009-01-01,823442841103.3107,1042447450359.2297,932602279155.7014
50,2010-01-01,873189379505.3784,1089327410602.1079,982418412023.9492
51,2011-01-01,925998741819.4376,1139470884861.7434,1035342936031.0577
52,2012-01-01,976625451333.9844,1196064301540.6465,1091369001837.5984
53,2013-01-01,1020718028407.0428,1235729813049.804,1127766210077.767
54,2014-01-01,1061822984660.2252,1288387741659.746,1177582342946.0247
55,2015-01-01,1124507876626.51,1338915084562.9297,1230506866953.1274
56,2016-01-01,1177234651282.08,1396128858044.982,1286532932759.653
57,2017-01-01,1213894830232.3916,1432560251116.9016,1322930140999.83
58,2018-01-01,1259157915085.2798,1480392541228.2517,1372746273868.0784
59,2019-01-01,1309182794280.025,1530053749209.4595,1425670797875.2156
60,2020-01-01,1381278115228.918,1587305608695.754,1481696863681.6992
61,2021-01-01,1410548968074.8066,1632286700208.4814,1518094071921.8916
62,2022-01-01,1460039382089.0903,1685678842042.1982,1567910204790.1465
63,2023-01-01,1518375085286.1526,1733675556818.8228,1620834728797.2468
64,2024-01-01,1579779186079.2102,1789568226385.0923,1676860794603.8176
65,2025-01-01,1609289156745.249,1821358831907.1963,1713258002843.9624
66,2026-01-01,1649668675581.683,1868805030914.4275,1763074135712.2144
67,2027-01-01,1708019192845.7793,1934894535373.1028,1815998659719.3513
68,2028-01-01,1760919970971.5493,1982090873198.7617,1872024725525.829
69,2029-01-01,1788988142475.7515,2022711613551.5352,1908421933766.0205
70,2030-01-01,1834496481302.2437,2081470109102.9126,1958238066634.2573
