,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-84689854952.89058,-898621940.9842678,-44209613382.3686
1,1961-01-01,-83766991591.88419,509907150.47130156,-43953098248.157974
2,1962-01-01,-81926583420.6513,2147454131.4895365,-40212541761.44638
3,1963-01-01,-79490591882.43329,10052886060.761328,-36180466245.98627
4,1964-01-01,-71642809805.15942,7373005489.459876,-31858028872.231876
5,1965-01-01,-76097150857.794,11651966683.86868,-31601513737.452133
6,1966-01-01,-70861397200.85399,13115358866.484467,-27860957250.17333
7,1967-01-01,-65484318935.82738,18063312034.70345,-23828881734.40263
8,1968-01-01,-59357529962.58175,24278605710.68272,-19506444360.337013
9,1969-01-01,-60135759970.006744,27261708784.203434,-19249929225.758118
10,1970-01-01,-58688751843.201485,25285108321.667694,-15509372737.927887
11,1971-01-01,-56367290706.4319,30146004010.933052,-11477297221.370827
12,1972-01-01,-47768596332.59707,37931507033.785095,-7154859846.73455
13,1973-01-01,-52029886357.629585,34593603263.6483,-6898344711.615608
14,1974-01-01,-45201701253.16855,39368795248.25454,-3157788220.060074
15,1975-01-01,-45550033575.211655,43135697279.781296,874287300.2238922
16,1976-01-01,-35791380029.057106,50261569728.83539,5196724687.287964
17,1977-01-01,-35769415759.44221,52224087720.15502,5453239834.8691025
18,1978-01-01,-33663329177.326744,54792371128.70967,9193800843.610374
19,1979-01-01,-29126632025.235386,56915048113.12687,13225880881.081291
20,1980-01-01,-28306122089.221317,57664599164.01738,17548582471.628532
21,1981-01-01,-26381106382.02615,62129547445.592705,17805362546.53633
22,1982-01-01,-20693880027.777313,63776587652.81938,21546226687.314697
23,1983-01-01,-15787959965.987791,66465121403.78671,25578609856.821877
24,1984-01-01,-13116192933.629055,72768862392.96188,29902100644.529335
25,1985-01-01,-12153319841.00671,74529136925.17715,30160813304.18415
26,1986-01-01,-8008340343.811972,77572222303.07076,33903561312.170685
27,1987-01-01,-7733867026.942745,79067219527.2302,37939658309.163765
28,1988-01-01,128041340.30527826,85040640721.50238,42266117164.45368
29,1989-01-01,1311276272.5051956,84715235104.12585,42529050143.77817
30,1990-01-01,6209153557.682031,88335201534.01593,46276006940.50879
31,1991-01-01,9783415383.015963,90741683015.10268,50317229558.04455
32,1992-01-01,8023298244.260108,95283304489.41232,54648814033.87342
33,1993-01-01,14373875845.15766,99475250935.577,54917430613.12481
34,1994-01-01,14164283448.549477,97845692561.84535,58670055480.82246
35,1995-01-01,23763553217.078026,105032925298.92786,62717112424.3315
36,1996-01-01,24801812729.62843,111613573765.52167,67054531226.13825
37,1997-01-01,23802125356.43499,107865061273.63713,67328733520.963005
38,1998-01-01,27270677345.028732,112313542363.47414,71086928842.71783
39,1999-01-01,33982160713.906754,117997139595.81108,75138797795.366
40,2000-01-01,33552397504.45914,122408586143.1849,79482851668.95483
41,2001-01-01,35839757439.35496,121075788169.31685,79761042526.29199
42,2002-01-01,41685515202.77285,127604022763.57822,83524194658.47287
43,2003-01-01,44574453338.28374,130242554259.98882,87578865819.38132
44,2004-01-01,50521251559.72541,134191481700.42516,91924000341.4085
45,2005-01-01,50038795375.45372,138751960184.1552,92203274807.89157
46,2006-01-01,56911298113.16743,139903139021.59106,95966589373.4224
47,2007-01-01,56051711204.35322,143610196494.65692,100021422967.68147
48,2008-01-01,59389803316.87126,146155150403.97635,104366619449.02634
49,2009-01-01,63119449912.65372,147641350769.1312,104645956044.56407
50,2010-01-01,63463636038.45961,151625497550.17413,108409271638.88696
51,2011-01-01,72339685061.3263,152860462187.85043,112464106261.939
52,2012-01-01,75845714705.23561,160812018649.70416,116809302743.28148
53,2013-01-01,75090976891.1751,159436837179.0203,117088639338.82082
54,2014-01-01,81911819367.17195,165176902860.19348,120851954933.14584
55,2015-01-01,78103477783.52368,166354785117.64105,124906789556.19498
56,2016-01-01,88033529639.74538,172383650167.9854,129251986037.53735
57,2017-01-01,88493752072.99261,169375792733.27036,129531322633.07625
58,2018-01-01,90318861797.62527,177206811016.5933,133294638227.39911
59,2019-01-01,94578530389.17535,181647876120.10226,137349472850.45233
60,2020-01-01,100682449105.90872,183915024246.28772,141694669331.79083
61,2021-01-01,100464553820.19313,181876519125.06378,141974005927.33246
62,2022-01-01,102413045406.8248,191788329705.31253,145737321521.65598
63,2023-01-01,106327066371.89145,191081427175.03592,149792156144.7053
64,2024-01-01,110230985090.01021,198139968039.5709,154137352626.05164
65,2025-01-01,112433257729.61287,195696791793.91144,154416689221.58893
66,2026-01-01,116518927453.23502,200730593927.0882,158180004815.91254
67,2027-01-01,123136462609.93788,210435517164.13342,162234839438.9654
68,2028-01-01,122009644859.29993,211081700641.1898,166580035920.30197
69,2029-01-01,123396540864.85985,207679921743.8831,166859372515.84442
70,2030-01-01,128419715858.23898,211936155163.38562,170622688110.1631
