,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-4063434118.1247263,707086098.1263108,-1651760905.0267844
1,1961-01-01,-3654356599.8250456,1042936563.9210048,-1279330986.666729
2,1962-01-01,-3606489630.7917676,1348678222.3037102,-1116496971.6026442
3,1963-01-01,-3450300277.4419045,1252161125.8290029,-1024561117.9935338
4,1964-01-01,-3286329133.5883603,1454047690.2511835,-1003433040.1354938
5,1965-01-01,-3061763170.332714,1750981279.887899,-631003121.2317274
6,1966-01-01,-2923099859.6334977,1832499250.987127,-468169105.62541366
7,1967-01-01,-2850985437.8548837,1981182261.710565,-376233250.1282251
8,1968-01-01,-2709605752.9899683,1957765183.9577782,-355105170.3822839
9,1969-01-01,-2227913577.703555,2578359668.4775443,17324750.408716917
10,1970-01-01,-2154683347.1470494,2498866416.7225513,180158766.91141653
11,1971-01-01,-2214265342.950302,2633687156.214635,272094623.5151355
12,1972-01-01,-2108030190.5660563,2701257450.02681,293222706.268615
13,1973-01-01,-1665880387.3490138,3063408778.7450137,665652627.9773805
14,1974-01-01,-1304255737.497641,3338581527.8151207,828486647.7974277
15,1975-01-01,-1480703237.972161,3222889200.447101,920422507.7184465
16,1976-01-01,-1445510082.8462973,3336324996.415703,941550763.5191033
17,1977-01-01,-945673191.6936307,3569061309.357457,1313980858.7490914
18,1978-01-01,-858870274.0535173,3882033562.764796,1476850100.9672925
19,1979-01-01,-754093370.6643457,3969393647.7290115,1568821183.2864022
20,1980-01-01,-804886834.3842111,3867714219.5905213,1590080713.4223738
21,1981-01-01,-440290151.30432117,4156669663.6533885,1962642442.6436656
22,1982-01-01,-276658743.1701482,4648034748.649205,2125653396.812071
23,1983-01-01,-82028465.87300314,4533891092.3403,2217766191.0812635
24,1984-01-01,-158416193.17023367,4567740459.99429,2239297605.4344935
25,1985-01-01,320503325.4994835,5105219879.514584,2612388347.9422007
26,1986-01-01,364206629.94447005,5112293658.235079,2775881381.623139
27,1987-01-01,671419118.9087979,5270964893.448289,2868700952.2661133
28,1988-01-01,516808426.4705186,5366382834.461861,2890712747.1575375
29,1989-01-01,1027434399.794701,5667831820.784733,3264197661.8855953
30,1990-01-01,1146826304.979316,5823857752.428494,3428083790.8138328
31,1991-01-01,1027389474.4056748,5841441409.586253,3521380485.406974
32,1992-01-01,1252847967.9311903,5739672058.174274,3543869404.248994
33,1993-01-01,1823527598.4131432,6232071869.24345,3917723639.033367
34,1994-01-01,1777011782.197282,6552144198.26174,4081978078.9461393
35,1995-01-01,2190744443.4924717,6874233882.4124775,4570672920.1073885
36,1996-01-01,2600531032.5282297,7230993658.692469,4988559985.516764
37,1997-01-01,3473921806.2331624,8083105285.04419,5777010841.031629
38,1998-01-01,3946085268.2151794,8761040922.53874,6354729124.022152
39,1999-01-01,4491769322.989727,9118350903.766968,6862190873.284147
40,2000-01-01,5019017880.743524,9692140054.700909,7298977843.534992
41,2001-01-01,5853136751.7956,10536268237.45192,8088205444.215479
42,2002-01-01,6254516357.538046,10939803977.723543,8666995536.058521
43,2003-01-01,6882539200.97607,11510381282.063938,9174887468.002394
44,2004-01-01,7356198311.418386,11890352484.533182,9612042209.042591
45,2005-01-01,7896767793.61452,12688142732.534657,10401638588.101309
46,2006-01-01,8686409692.903418,13331661197.56987,10980502805.90535
47,2007-01-01,9160656481.606712,13770524959.829445,11488468863.81063
48,2008-01-01,9674828965.619425,14280255133.074097,11925627146.276344
49,2009-01-01,10416335872.608145,15154858107.247599,12715227076.464678
50,2010-01-01,11065853008.19228,15740769742.94963,13294091294.580864
51,2011-01-01,11643298162.987253,16271336729.34116,13802057352.797832
52,2012-01-01,11766229158.44105,16525103633.45608,14239215635.26379
53,2013-01-01,12491637726.733347,17429036020.38884,15028815565.451769
54,2014-01-01,13235977738.477104,18072534188.5308,15607679783.568
55,2015-01-01,13640744058.839546,18358575064.303314,16115645841.785036
56,2016-01-01,14200419290.121655,19080497976.667065,16552804124.25113
57,2017-01-01,14908078511.54351,19837590512.85434,17342404054.43916
58,2018-01-01,15508911890.255068,20275153062.398598,17921268272.555347
59,2019-01-01,15983329773.96254,20887251994.924828,18429234330.772003
60,2020-01-01,16659124748.03402,21176145454.539173,18866392613.238766
61,2021-01-01,17682483830.36959,22121255223.041893,19655992543.426636
62,2022-01-01,18032082303.64536,22716307713.004456,20234856761.542553
63,2023-01-01,18447935102.034756,22963556477.803516,20742822819.75967
64,2024-01-01,18999336056.39144,23744683977.46508,21179981102.225086
65,2025-01-01,19594972159.76232,24364985853.563168,21969581032.41336
66,2026-01-01,20196069248.39812,24858035070.62275,22548445250.529797
67,2027-01-01,20702278199.686184,25567691693.734997,23056411308.74638
68,2028-01-01,21041320064.577305,26038856537.730755,23493569591.213238
69,2029-01-01,21935543490.490005,26719465431.65613,24283169521.401104
70,2030-01-01,22318288790.08158,27218801600.31456,24862033739.517212
