,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-25060457362.80165,4749567598.424661,-10566819878.509663
1,1961-01-01,-23409275906.20572,5232280091.571402,-9015809606.017874
2,1962-01-01,-22883073179.385227,6876406534.968264,-8319105948.270901
3,1963-01-01,-21853659175.57027,6403617794.146869,-8047445127.66674
4,1964-01-01,-22819060696.693142,7040846573.9314,-8200483624.150955
5,1965-01-01,-21397762142.530056,7532220271.294828,-6649473350.825405
6,1966-01-01,-20805507231.073788,8471748596.143765,-5952769692.246668
7,1967-01-01,-20138238393.63652,9588580739.486382,-5681108869.365559
8,1968-01-01,-20316687980.69899,8921099838.377148,-5834147363.573742
9,1969-01-01,-18906416509.455563,9530301260.765759,-4283137131.749037
10,1970-01-01,-18920681380.212048,11522562999.249279,-3586433496.210829
11,1971-01-01,-17802838665.00823,11492050040.402458,-3314772677.614828
12,1972-01-01,-17768117900.272053,11463919674.305887,-3467811152.073591
13,1973-01-01,-15632210453.282112,13142621112.05544,-1916800877.751377
14,1974-01-01,-16697530203.928493,13231449853.96682,-1220097203.6454773
15,1975-01-01,-15480748673.61462,13026664169.296211,-948436346.4817924
16,1976-01-01,-16730237470.105377,13398454196.033209,-1101474764.1479893
17,1977-01-01,-14483777780.833359,14906802319.798214,449535567.12236977
18,1978-01-01,-13381412476.004128,15051130874.430145,1146240052.9490871
19,1979-01-01,-12890449031.651964,16005273582.833324,1417901721.833559
20,1980-01-01,-13716330498.044262,15734421975.941061,1264864062.863514
21,1981-01-01,-10927519997.809307,17727214645.229965,2815875154.909939
22,1982-01-01,-12144197672.771782,17354964249.87439,3512596015.3879232
23,1983-01-01,-11362131593.104721,18239588234.981564,3784274058.9229507
24,1984-01-01,-10489447738.366407,19396223416.11917,3631334433.3086195
25,1985-01-01,-9055206554.9135,19895691027.01226,5182802573.173381
26,1986-01-01,-8657863660.97775,21497768879.345284,5879962847.286885
27,1987-01-01,-8024887727.100502,20341180599.728397,6152423655.056374
28,1988-01-01,-7615055104.75972,21759929703.45303,6000185145.734583
29,1989-01-01,-7169379320.900553,22149842389.306824,7552246041.801951
30,1990-01-01,-6003924237.640993,23088589745.13211,8249997452.5679455
31,1991-01-01,-6004099332.415644,22976933882.882847,8523302401.921187
32,1992-01-01,-6690940145.1216345,22415147503.828983,8371908034.185209
33,1993-01-01,-4603563114.888293,24946277187.5209,9925399130.086731
34,1994-01-01,-4186043319.46059,24807658991.553154,10624576833.03289
35,1995-01-01,-5154854905.98952,26333543018.4532,10899651716.562393
36,1996-01-01,-3965729730.288802,24293867340.217693,10750027282.999523
37,1997-01-01,-2451929127.9935107,27269852063.351986,12305369346.701874
38,1998-01-01,-1968797749.7977717,27475412847.089676,13006392960.15727
39,1999-01-01,-697524168.4652295,25931441018.71986,13283111384.34188
40,2000-01-01,-165865497.93733004,27959415195.029873,13135726688.563301
41,2001-01-01,-216637213.2402769,28719905892.241753,14692406231.378904
42,2002-01-01,254178861.7469122,29632770761.553432,15394971447.368702
43,2003-01-01,320122477.5162231,30332337437.631367,15672493846.41475
44,2004-01-01,648290644.9796449,30696317491.922695,15525516853.981041
45,2005-01-01,2896702388.873586,32338890601.26262,17082605217.125797
46,2006-01-01,4610440550.178478,33145824346.785828,17785423738.43126
47,2007-01-01,3466484679.0329905,32303941307.990025,18063199442.797638
48,2008-01-01,3939568644.49666,33237824132.02077,17916350157.298126
49,2009-01-01,4688568936.96232,34330351869.860584,19473566577.266968
50,2010-01-01,6014163734.93184,33965263080.06695,20176459425.800453
51,2011-01-01,5439172288.697783,36001940093.28349,20454309457.39039
52,2012-01-01,5962493134.916533,35069274241.508415,20307460171.892303
53,2013-01-01,7804812690.054274,35979191274.33658,21864676591.859264
54,2014-01-01,8711506627.231472,36854241569.12932,22567569440.393555
55,2015-01-01,8039444382.787517,36558794350.35852,22845419471.98354
56,2016-01-01,7470338632.0961895,37055821426.813484,22698570186.486115
57,2017-01-01,10204954829.096582,39586819502.21414,24255786606.4535
58,2018-01-01,9415009765.566479,40000205992.683464,24958679454.98698
59,2019-01-01,11353582588.86571,39483396983.11722,25236529486.57592
60,2020-01-01,9485953507.20241,40094021362.170425,25089680201.081352
61,2021-01-01,11551756188.890997,41067257728.35584,26646896621.04873
62,2022-01-01,12177728607.38188,41406368369.99535,27349789469.580235
63,2023-01-01,11720518696.74887,41912016321.92844,27627639501.170967
64,2024-01-01,14012805842.529799,42379569351.12381,27480790215.670067
65,2025-01-01,13332815177.966206,44239671905.85196,29038006635.638084
66,2026-01-01,14783001260.290146,43212299904.26189,29740899484.17373
67,2027-01-01,16166538068.463326,45191496716.1502,30018749515.76204
68,2028-01-01,14863291819.60415,43752993258.27496,29871900230.26819
69,2029-01-01,16822162806.551332,47369454910.631516,31429116650.235275
70,2030-01-01,17183563756.001747,46407806135.682724,32132009498.76721
