country,_year,population,pop_lower,pop_higher,pop_pred,gdp_current_usd,gdp_lower,gdp_higher,gdp_pred,land_area_ha,land_area_ha_low,land_area_ha_high,land_area_ha_pred,agri_land_pct,agri_land_pct_low,agri_land_pct_high,agri_land_pct_pred,forest_area_pct,forest_area_pct_low,forest_area_pct_high,forest_area_pct_pred,cereal_yield_kg_ha,cereal_yield_kg_ha_low,cereal_yield_kg_ha_high,cereal_yield_kg_ha_pred,cash_crop_yield_kg_ha,cash_crop_yield_kg_ha_low,cash_crop_yield_kg_ha_high,cash_crop_yield_kg_ha_pred,employment_agri_pct,employment_agri_pct_low,employment_agri_pct_high,employment_agri_pct_pred,livestock_production_100_index,livestock_production_100_index_low,livestock_production_100_index_high,livestock_production_100_index_pred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1960,10276477.00,10199347.34,10320612.95,10261491.88,18577668272.00,-222000000000.00,80330622112.00,-75934856010.00,691407000.00,731407901.30,751822120.00,741360528.30,415426500.00,432728030.00,516323212.00,477049630.60,120300008.40,128870578.40,135717670.00,132153845.60,975.51,419.92,1510.37,953.92,195.10,116.34,274.72,198.26,6.64,6.61,7.31,6.97,50.99,45.46,65.28,55.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1961,10483000.00,10441952.77,10567965.91,10505796.99,19652816665.00,-217000000000.00,86568591745.00,-66259048935.00,768230000.00,739431638.60,758951651.10,749478988.80,461585000.00,447153051.50,526309927.30,487712621.00,133666676.00,129280774.40,135930376.80,132568978.30,1083.90,343.49,1362.14,866.51,216.78,127.25,280.38,199.56,6.71,6.79,7.52,7.16,51.50,48.58,67.59,58.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1962,10742000.00,10674530.81,10798051.56,10738090.70,19892485161.00,-212000000000.00,89413069929.00,-57260243756.00,768230000.00,744598019.50,763789390.00,753721998.60,463688000.00,446352497.70,522837077.10,483635227.30,133680043.90,129246938.40,136090585.20,132572751.80,1217.30,393.59,1456.72,920.87,243.46,127.95,286.90,203.51,7.45,6.68,7.40,7.06,56.51,49.34,69.37,59.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1963,10950000.00,10888428.61,11007950.28,10950476.95,21507447643.00,-199000000000.00,101000000000.00,-44051615036.00,768230000.00,747011165.70,766786181.50,756438838.60,466471000.00,440405310.70,518062425.80,479325369.70,133693413.30,128922425.80,135638531.20,132277305.20,1285.20,455.29,1530.61,985.69,257.04,128.65,278.15,209.01,6.71,6.55,7.28,6.92,59.19,49.30,68.62,59.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1964,11167000.00,11085222.84,11200253.76,11143568.36,23764139321.00,-187000000000.00,129000000000.00,-26633810464.00,768230000.00,747483687.70,767587252.90,757630475.10,469009000.00,431711656.90,515301654.00,474788500.80,133706783.90,128302959.10,135284267.00,131682621.60,1323.70,509.40,1592.02,1060.92,264.74,136.65,296.90,216.06,6.78,6.36,7.10,6.73,61.50,49.60,68.97,59.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1965,11388000.00,11327581.06,11445063.47,11387873.47,25936835032.00,-163000000000.00,131000000000.00,-16958003418.00,768230000.00,756372163.90,775833592.60,765737555.80,472976000.00,444351867.70,525031476.40,485451491.30,133720156.00,128673273.20,135533961.10,132097424.00,983.50,452.17,1492.06,973.52,196.70,139.79,293.08,217.36,7.53,6.55,7.33,6.92,62.53,52.36,71.58,62.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1966,11651000.00,11559775.22,11682460.11,11620167.18,27268451114.00,-160000000000.00,141000000000.00,-7959198267.00,768230000.00,759867008.20,779361256.90,769969216.90,474154000.00,440299384.10,523754467.10,481374097.60,133733529.30,128868871.90,135403894.50,132100868.00,1441.60,502.39,1576.63,1027.88,288.32,142.17,299.39,221.30,6.78,6.46,7.19,6.83,60.89,53.33,72.74,63.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1967,11799000.00,11771754.66,11892808.71,11832553.43,30397580916.00,-148000000000.00,149000000000.00,5249430448.00,768230000.00,758403930.70,778272248.60,768623015.10,476728000.00,435264680.10,514361656.40,477064240.10,133746904.00,128256294.70,135307909.60,131805044.40,830.80,572.95,1626.51,1092.69,166.16,139.97,303.68,226.80,6.84,6.33,7.08,6.69,60.81,53.88,73.44,63.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1968,12009000.00,11962164.78,12082688.86,12025644.84,32665472057.00,-145000000000.00,190000000000.00,22667235014.00,768230000.00,756579784.90,774966027.80,765751609.70,474821000.00,430288000.60,514295396.50,472527371.10,133760280.00,127922845.00,134573256.80,131209983.90,1338.70,620.38,1683.83,1167.92,267.74,155.25,308.07,233.85,6.16,6.14,6.87,6.50,61.88,53.20,72.85,63.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1969,12263000.00,12242474.18,12359706.89,12301653.03,36628961810.00,-122000000000.00,182000000000.00,32343042084.00,768230000.00,759601163.20,779502719.30,769787831.20,478943000.00,444741582.80,524895686.60,483190361.60,133773657.40,128378831.30,135010896.10,131623587.70,1114.90,528.66,1620.54,1080.52,222.98,155.59,310.19,235.15,6.22,6.32,7.06,6.69,64.43,56.31,75.87,66.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1970,12507000.00,12535509.42,12651326.92,12593052.40,41271138985.00,-113000000000.00,205000000000.00,41341847244.00,768230000.00,760769118.60,779370350.00,769958482.80,481787000.00,439136364.50,521848637.50,479112967.80,133787036.10,127965769.10,134882469.60,131625584.60,1217.60,580.60,1708.37,1134.88,243.52,161.42,321.39,239.10,6.91,6.23,6.96,6.60,69.75,57.59,76.61,67.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1971,12937000.00,12801032.74,12923619.25,12864544.31,45149512823.00,-93209115842.00,207000000000.00,54550475954.00,768230000.00,759396205.80,778419896.60,768607642.20,483253000.00,432906404.70,513449566.50,474803110.30,133800416.10,127843750.70,134607487.70,131328361.50,1269.60,691.99,1740.50,1199.69,253.92,164.23,319.52,244.60,6.22,6.10,6.83,6.46,71.18,57.66,76.88,67.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1972,13177000.00,13061684.56,13179183.30,13116737.99,51967289720.00,-78745000807.00,227000000000.00,71968280530.00,768230000.00,755790878.60,775134645.20,765731597.70,484457000.00,433677774.00,512421086.60,470266237.00,133813797.50,127335267.40,134080523.80,130731484.20,933.10,721.39,1812.41,1274.92,186.62,174.40,326.62,251.65,6.29,5.91,6.65,6.27,75.88,57.73,77.14,67.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1973,13380000.00,13359469.60,13480340.18,13420307.29,63737347854.00,-71796507746.00,224000000000.00,81644087599.00,768230000.00,759934366.80,778844000.20,769766542.70,487017000.00,441015388.60,520266501.80,480929223.20,132475659.60,127921371.80,134571114.50,131144417.20,1318.50,660.37,1750.13,1187.52,263.70,169.29,329.61,252.95,6.98,6.08,6.82,6.46,74.52,60.45,80.22,70.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1974,13723000.00,13594903.79,13718260.31,13658178.36,88831245394.00,-56460257932.00,249000000000.00,90642892793.00,768230000.00,759865001.60,779743384.90,769937194.00,487727000.00,437434942.20,520127730.00,476849911.10,131150902.90,127716878.00,134292529.10,131145996.90,1393.60,726.75,1806.79,1241.88,278.72,180.48,337.33,256.89,6.29,5.99,6.73,6.37,66.57,62.13,81.11,71.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1975,13893000.00,13813093.54,13936730.74,13876141.98,97171924075.00,-52528113691.00,255000000000.00,104000000000.00,768230000.00,759255578.50,778291106.70,768586353.10,486837000.00,428799575.40,510323861.40,472538135.20,129839394.00,127276924.00,134029464.00,130848356.60,1414.00,784.76,1836.10,1306.70,282.80,183.53,340.72,262.39,6.35,5.87,6.59,6.23,72.64,61.70,81.62,71.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1976,14033000.00,13953009.13,14077334.04,14014249.67,105000000000.00,-34796989611.00,281000000000.00,121000000000.00,768230000.00,755818893.00,775607318.70,765710308.70,487773000.00,429906952.00,508580666.90,467997081.80,128541000.00,126674953.50,133550837.40,130251479.20,1345.50,865.79,1921.14,1381.92,269.10,188.21,352.85,269.44,5.71,5.71,6.42,6.04,78.74,60.90,80.94,71.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1977,14192000.00,14141836.46,14259868.24,14203420.43,110000000000.00,-12778894850.00,288000000000.00,131000000000.00,768230000.00,759458282.40,780103376.70,769745253.60,478611000.00,437971687.10,515357477.20,478655876.30,127255590.00,127074530.20,134027137.50,130664412.20,987.50,714.73,1812.15,1294.52,197.50,187.56,351.59,270.74,5.77,5.85,6.59,6.23,79.72,64.28,84.00,74.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1978,14358000.00,14325118.22,14443898.05,14380730.43,118000000000.00,-5659072565.00,296000000000.00,140000000000.00,768230000.00,760062540.50,779533180.10,769915904.90,476530000.00,434192310.50,515720408.40,474571751.40,125983034.10,127392592.30,134048413.90,130665991.90,1680.20,774.42,1846.83,1348.88,336.04,193.51,352.61,274.69,6.41,5.76,6.53,6.14,82.69,64.89,84.98,75.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1979,14514000.00,14477390.92,14596146.33,14538132.97,135000000000.00,3855992190.00,305000000000.00,153000000000.00,768230000.00,758691057.30,777807388.90,768565064.10,480477000.00,428233319.50,510071483.30,470255162.60,124723203.70,127059335.30,133816321.90,130368351.60,1510.20,855.34,1933.16,1413.70,302.04,206.02,359.94,280.19,5.77,5.63,6.36,6.00,80.07,65.64,85.22,75.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1980,14692000.00,14649933.24,14771532.45,14711332.13,150000000000.00,19407403578.00,312000000000.00,171000000000.00,768230000.00,756065983.10,774993325.10,765689019.60,482926000.00,425291015.70,505689976.50,465707137.30,125983034.10,126516576.50,133211786.60,129771474.30,1052.30,939.32,2058.10,1488.93,210.46,203.25,362.96,287.24,5.83,5.42,6.15,5.81,73.29,65.64,85.67,75.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1981,14927000.00,14876126.10,14997028.72,14935690.50,177000000000.00,40362548691.00,325000000000.00,180000000000.00,768230000.00,760238421.90,779580089.70,769723964.60,482741000.00,435681643.00,514118165.70,476358940.90,127255590.00,126743442.50,133689698.60,130184407.20,1401.50,883.53,1957.16,1401.52,280.30,207.75,368.84,288.54,6.48,5.66,6.37,6.00,71.66,68.89,87.69,78.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1982,15178000.00,15096203.35,15219349.83,15156390.19,194000000000.00,41812823580.00,352000000000.00,189000000000.00,768230000.00,760142283.20,779854691.60,769894615.90,478081000.00,430657780.10,512695594.70,472266551.00,128541000.00,126777094.50,133351027.80,130185986.90,875.60,923.99,2000.24,1455.88,175.12,219.31,364.07,292.48,5.83,5.54,6.28,5.91,72.71,69.67,89.65,79.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1983,15369000.00,15295393.24,15411901.66,15357182.42,177000000000.00,51836633532.00,360000000000.00,203000000000.00,768230000.00,759082397.20,778802451.60,768543775.00,471125000.00,424271242.90,506847235.40,467941697.20,129839394.00,126681402.30,133276653.40,129888346.60,1646.20,1000.11,2085.52,1520.70,329.24,216.72,377.64,297.98,5.89,5.38,6.14,5.77,73.49,69.66,88.94,79.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1984,15544000.00,15477529.10,15599601.12,15538720.09,193000000000.00,73819112344.00,362000000000.00,220000000000.00,768230000.00,756464529.90,775628491.70,765667730.60,473039000.00,423945089.00,502243966.80,463383990.20,131150902.90,125821598.40,132561535.60,129291469.30,1609.30,1056.66,2137.53,1595.93,321.86,227.72,380.39,305.03,5.30,5.21,5.96,5.58,69.44,69.28,88.23,79.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
