,Country,LOCATION,ISO CODE 2 letter,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,interest_rate_pa_%,Flag Codes
0,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1970,6.646667,
1,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1971,6.713333,
2,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1972,5.831666,
3,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1973,6.933333,
4,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1974,9.036667,
5,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1975,9.741667,
6,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1976,10.03083,
7,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1977,10.22667,
8,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1978,9.06,
9,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1979,9.749166,
10,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1980,11.6475,
11,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1981,13.958329999999998,
12,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1982,15.375,
13,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1983,13.8875,
14,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1984,13.525,
15,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1985,13.954170000000001,
16,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1986,13.416670000000002,
17,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1987,13.191670000000002,
18,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1988,12.10417,
19,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1989,13.40833,
20,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1990,13.18,
21,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1991,10.69083,
22,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1992,9.22,
23,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1993,7.280833,
24,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1994,9.041667,
25,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1995,9.210896,
26,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1996,8.209207000000001,
27,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1997,6.954917999999999,
28,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1998,5.49297,
29,Australia,AUS,AU,LTINT,TOT,PC_PA,A,1999,6.009312,
30,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2000,6.3145690000000005,
31,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2001,5.615264,
32,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2002,5.843958,
33,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2003,5.366776,
34,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2004,5.590775,
35,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2005,5.3399730000000005,
36,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2006,5.587872,
37,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2007,5.994521,
38,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2008,5.817944000000001,
39,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2009,5.039512,
40,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2010,5.366042,
41,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2011,4.879583,
42,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2012,3.379167,
43,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2013,3.697292,
44,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2014,3.6566669999999997,
45,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2015,2.710833,
46,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2016,2.336667,
47,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2017,2.639167,
48,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2018,2.684167,
49,Australia,AUS,AU,LTINT,TOT,PC_PA,A,2019,1.493333,
50,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1990,8.7275,
51,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1991,8.546667,
52,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1992,8.139167,
53,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1993,6.705,
54,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1994,7.025,
55,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1995,7.134167,
56,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1996,6.3225,
57,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1997,5.6825,
58,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1998,4.713333,
59,Austria,AUT,AT,LTINT,TOT,PC_PA,A,1999,4.679167,
60,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2000,5.556667,
61,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2001,5.079167,
62,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2002,4.964167,
63,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2003,4.140833,
64,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2004,4.130833,
65,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2005,3.394167,
66,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2006,3.8,
67,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2007,4.2975,
68,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2008,4.358333,
69,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2009,3.936667,
70,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2010,3.225833,
71,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2011,3.3191669999999998,
72,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2012,2.3725,
73,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2013,2.01,
74,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2014,1.4875,
75,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2015,0.7463517,
76,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2016,0.3753925,
77,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2017,0.5832649999999999,
78,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2018,0.6861517,
79,Austria,AUT,AT,LTINT,TOT,PC_PA,A,2019,0.0629325,
80,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1955,4.614167,
81,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1956,4.759167,
82,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1957,6.065,
83,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1958,5.410833,
84,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1959,5.0208330000000005,
85,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1960,5.548333,
86,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1961,5.871666,
87,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1962,5.1775,
88,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1963,5.2825,
89,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1964,6.451667,
90,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1965,6.438333999999999,
91,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1966,6.651667,
92,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1967,6.684166,
93,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1968,6.545,
94,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1969,7.293334,
95,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1970,7.804167,
96,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1971,7.321667,
97,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1972,7.044167,
98,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1973,7.494167,
99,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1974,8.768333,
100,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1975,8.515833,
101,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1976,9.088333,
102,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1977,8.7625,
103,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1978,8.9275,
104,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1979,9.693334,
105,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1980,11.9,
106,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1981,13.436670000000001,
107,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1982,13.428329999999999,
108,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1983,11.94083,
109,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1984,12.2425,
110,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1985,10.96833,
111,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1986,8.625834,
112,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1987,8.184167,
113,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1988,8.0075,
114,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1989,8.539166,
115,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1990,10.00667,
116,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1991,9.285833,
117,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1992,8.653334,
118,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1993,7.228333,
119,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1994,7.750833999999999,
120,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1995,7.480834,
121,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1996,6.4925,
122,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1997,5.753334,
123,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1998,4.751666999999999,
124,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,1999,4.749166000000001,
125,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2000,5.5925,
126,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2001,5.130833,
127,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2002,4.986667,
128,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2003,4.180833,
129,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2004,4.1525,
130,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2005,3.4283330000000003,
131,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2006,3.815,
132,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2007,4.328333,
133,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2008,4.4175,
134,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2009,3.9016669999999998,
135,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2010,3.4625,
136,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2011,4.233333,
137,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2012,3.0,
138,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2013,2.41,
139,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2014,1.7133330000000002,
140,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2015,0.84,
141,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2016,0.47583329999999996,
142,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2017,0.7225,
143,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2018,0.795,
144,Belgium,BEL,BE,LTINT,TOT,PC_PA,A,2019,0.19333329999999999,
145,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1955,3.189167,
146,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1956,3.605833,
147,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1957,4.125,
148,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1958,4.115833,
149,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1959,5.048333,
150,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1960,5.188333999999999,
151,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1961,5.058333,
152,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1962,5.099167,
153,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1963,5.090833,
154,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1964,5.184166,
155,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1965,5.199167,
156,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1966,5.685,
157,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1967,5.898333999999999,
158,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1968,6.725,
159,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1969,7.558333,
160,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1970,7.965833,
161,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1971,6.945,
162,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1972,7.225,
163,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1973,7.528333,
164,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1974,8.87,
165,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1975,8.993333,
166,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1976,9.229167,
167,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1977,8.693334,
168,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1978,9.235833,
169,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1979,10.17917,
170,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1980,12.338330000000001,
171,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1981,14.989170000000001,
172,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1982,14.435329999999999,B
173,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1983,11.39858,
174,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1984,12.71004,
175,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1985,10.91183,
176,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1986,9.145541,
177,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1987,9.470708,
178,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1988,9.830916,
179,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1989,9.783184,
180,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1990,10.71762,
181,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1991,9.449769,
182,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1992,8.076547,
183,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1993,7.244352,
184,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1994,8.361641,
185,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1995,8.161792,
186,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1996,7.229914999999999,
187,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1997,6.143073,
188,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1998,5.279053,
189,Canada,CAN,CA,LTINT,TOT,PC_PA,A,1999,5.5411019999999995,
190,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2000,5.925412000000001,
191,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2001,5.480272,
192,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2002,5.290907,
193,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2003,4.810544,
194,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2004,4.579607,
195,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2005,4.066929,
196,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2006,4.2077599999999995,
197,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2007,4.269767,
198,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2008,3.6053019999999996,
199,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2009,3.230619,
200,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2010,3.2351400000000003,
201,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2011,2.783036,
202,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2012,1.8734099999999998,
203,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2013,2.261959,
204,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2014,2.23083,
205,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2015,1.521695,
206,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2016,1.251758,
207,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2017,1.783652,
208,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2018,2.2779119999999997,
209,Canada,CAN,CA,LTINT,TOT,PC_PA,A,2019,1.588883,
210,Chile,CHL,CL,LTINT,TOT,PC_PA,A,2005,6.049167,
211,Chile,CHL,CL,LTINT,TOT,PC_PA,A,2006,6.16,
212,Chile,CHL,CL,LTINT,TOT,PC_PA,A,2007,6.0875,
213,Chile,CHL,CL,LTINT,TOT,PC_PA,A,2008,7.101189999999999,
214,Chile,CHL,CL,LTINT,TOT,PC_PA,A,2009,5.6652949999999995,
215,Chile,CHL,CL,LTINT,TOT,PC_PA,A,2010,6.252873999999999,
216,Chile,CHL,CL,LTINT,TOT,PC_PA,A,2011,5.969645,
217,Chile,CHL,CL,LTINT,TOT,PC_PA,A,2012,5.42557,
