,Country,LOCATION,ISO CODE 2 letter,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,value_to_usdollar,Flag Codes
0,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2000,0.663416,
1,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2001,0.6420640000000001,
2,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2002,0.8251950000000001,
3,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2003,0.895181,
4,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2004,1.031788,
5,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2005,1.103858,
6,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2006,1.218661,
7,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2007,1.364085,
8,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2008,1.6481009999999998,
9,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2009,1.887154,
10,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2010,2.2555709999999998,
11,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2011,2.733128,
12,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2012,3.218154,
13,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2013,3.9409669999999997,
14,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2014,5.451964,
15,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2015,6.866548,
16,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2016,9.294966,
17,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2017,10.256822,
18,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2018,14.019288000000001,
19,Argentina,ARG,AR,PPP,TOT,NATUSD,A,2019,20.713957999999998,
20,Australia,AUS,AU,PPP,TOT,NATUSD,A,2000,1.3114729999999999,
21,Australia,AUS,AU,PPP,TOT,NATUSD,A,2001,1.326806,
22,Australia,AUS,AU,PPP,TOT,NATUSD,A,2002,1.33649,
23,Australia,AUS,AU,PPP,TOT,NATUSD,A,2003,1.353924,
24,Australia,AUS,AU,PPP,TOT,NATUSD,A,2004,1.3663969999999999,
25,Australia,AUS,AU,PPP,TOT,NATUSD,A,2005,1.388356,
26,Australia,AUS,AU,PPP,TOT,NATUSD,A,2006,1.404001,
27,Australia,AUS,AU,PPP,TOT,NATUSD,A,2007,1.427582,
28,Australia,AUS,AU,PPP,TOT,NATUSD,A,2008,1.4790729999999999,
29,Australia,AUS,AU,PPP,TOT,NATUSD,A,2009,1.441497,
