,Country,LOCATION,ISO CODE 2 letter,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Nominal_house_price,Flag Codes
0,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1970,2.552379708,
1,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1971,2.851352119,
2,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1972,3.183667177,
3,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1973,3.837183079,
4,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1974,4.690199158,
5,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1975,5.202008806,
6,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1976,5.793840808,
7,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1977,6.267862121,
8,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1978,6.590174386,
9,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1979,7.4604175,
10,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1980,8.434578533,
11,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1981,9.707711977999999,
12,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1982,10.05503123,
13,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1983,10.6296362,
14,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1984,11.85386709,
15,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1985,13.06198237,
16,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1986,13.97025288,
17,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1987,14.77893221,
18,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1988,18.1088388,
19,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1989,22.58760271,
20,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1990,22.93364407,
21,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1991,23.52883521,
22,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1992,23.88871823,
23,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1993,24.51159268,
24,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1994,25.38954905,
25,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1995,25.69604283,
26,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1996,25.90366764,
27,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1997,26.94179173,
28,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1998,28.92114832,
29,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,1999,31.01914766,
30,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2000,33.59567277,
31,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2001,37.3685123,
32,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2002,44.37238946,
33,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2003,52.37565666,
34,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2004,55.647,
35,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2005,56.66475,
36,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2006,60.5795,
37,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2007,66.96025,
38,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2008,69.60275,
39,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2009,72.42125,
40,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2010,80.877,
41,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2011,79.13475,
42,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2012,78.88025,
43,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2013,84.1065,
44,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2014,91.72025,
45,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2015,100.0,
46,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2016,105.5,
47,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2017,114.30825,
48,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2018,112.66375,
49,Australia,AUS,AU,HOUSECOST,NOMINAL,IDX2015,A,2019,108.08375,
50,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2000,58.58386076,
51,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2001,59.08182358,
52,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2002,59.41868078,
53,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2003,59.57978639,
54,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2004,58.43740111,
55,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2005,61.35194818,
56,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2006,63.87105419,
57,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2007,66.85883109,
58,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2008,67.57648339,
59,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2009,70.21275712,
60,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2010,76.7975,
61,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2011,81.5975,
62,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2012,87.57,
63,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2013,92.1,
64,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2014,95.33,
65,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2015,100.0,
66,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2016,108.5325,
67,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2017,114.26,
68,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2018,119.64,
69,Austria,AUT,AT,HOUSECOST,NOMINAL,IDX2015,A,2019,126.6,
70,Belgium,BEL,BE,HOUSECOST,NOMINAL,IDX2015,A,1970,7.735564275,
71,Belgium,BEL,BE,HOUSECOST,NOMINAL,IDX2015,A,1971,7.676965801000001,
72,Belgium,BEL,BE,HOUSECOST,NOMINAL,IDX2015,A,1972,8.350879682,
73,Belgium,BEL,BE,HOUSECOST,NOMINAL,IDX2015,A,1973,9.523478733,
74,Belgium,BEL,BE,HOUSECOST,NOMINAL,IDX2015,A,1974,10.95511279,
75,Belgium,BEL,BE,HOUSECOST,NOMINAL,IDX2015,A,1975,12.64854182,
76,Belgium,BEL,BE,HOUSECOST,NOMINAL,IDX2015,A,1976,15.326905800000002,
