,Country,LOCATION,ISO CODE 2 letter,VARIABLE,Variable,SOURCE,Source,YEAR,Year,visitors,Flag Codes,Flags
0,Argentina,ARG,AR,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2008,2008,4700000,,
1,Argentina,ARG,AR,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2008,2008,4700000,,
2,Argentina,ARG,AR,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2009,2009,4308000,,
3,Argentina,ARG,AR,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2010,2010,5325000,,
4,Argentina,ARG,AR,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2011,2011,5704648,,
5,Argentina,ARG,AR,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),DEMAND,Tourism demand surveys,2012,2012,5585061,,
6,Argentina,ARG,AR,BRA,Brazil,DEMAND,Tourism demand surveys,2008,2008,873794,,
7,Argentina,ARG,AR,BRA,Brazil,DEMAND,Tourism demand surveys,2009,2009,718203,,
8,Argentina,ARG,AR,BRA,Brazil,DEMAND,Tourism demand surveys,2010,2010,1196832,,
9,Argentina,ARG,AR,BRA,Brazil,DEMAND,Tourism demand surveys,2011,2011,1282374,,
10,Argentina,ARG,AR,BRA,Brazil,DEMAND,Tourism demand surveys,2012,2012,1217353,,
11,Argentina,ARG,AR,CHL,Chile,DEMAND,Tourism demand surveys,2008,2008,940496,,
12,Argentina,ARG,AR,CHL,Chile,DEMAND,Tourism demand surveys,2009,2009,820128,,
13,Argentina,ARG,AR,CHL,Chile,DEMAND,Tourism demand surveys,2010,2010,1076372,,
14,Argentina,ARG,AR,CHL,Chile,DEMAND,Tourism demand surveys,2011,2011,1101337,,
15,Argentina,ARG,AR,CHL,Chile,DEMAND,Tourism demand surveys,2012,2012,1135197,,
16,Argentina,ARG,AR,EUROP,Europe,DEMAND,Tourism demand surveys,2008,2008,765962,,
17,Argentina,ARG,AR,EUROP,Europe,DEMAND,Tourism demand surveys,2009,2009,721622,,
18,Argentina,ARG,AR,EUROP,Europe,DEMAND,Tourism demand surveys,2010,2010,751331,,
19,Argentina,ARG,AR,EUROP,Europe,DEMAND,Tourism demand surveys,2011,2011,738778,,
20,Argentina,ARG,AR,EUROP,Europe,DEMAND,Tourism demand surveys,2012,2012,706335,,
21,Argentina,ARG,AR,PRY,Paraguay,DEMAND,Tourism demand surveys,2008,2008,391217,,
22,Argentina,ARG,AR,PRY,Paraguay,DEMAND,Tourism demand surveys,2009,2009,389619,,
23,Argentina,ARG,AR,PRY,Paraguay,DEMAND,Tourism demand surveys,2010,2010,432200,,
24,Argentina,ARG,AR,PRY,Paraguay,DEMAND,Tourism demand surveys,2011,2011,627620,,
25,Argentina,ARG,AR,PRY,Paraguay,DEMAND,Tourism demand surveys,2012,2012,602475,,
26,Argentina,ARG,AR,URY,Uruguay,DEMAND,Tourism demand surveys,2008,2008,446760,,
27,Argentina,ARG,AR,URY,Uruguay,DEMAND,Tourism demand surveys,2009,2009,487820,,
28,Argentina,ARG,AR,URY,Uruguay,DEMAND,Tourism demand surveys,2010,2010,653936,,
29,Argentina,ARG,AR,URY,Uruguay,DEMAND,Tourism demand surveys,2011,2011,655635,,
30,Argentina,ARG,AR,URY,Uruguay,DEMAND,Tourism demand surveys,2012,2012,607880,,
31,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2008,2008,5621800,,
32,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2009,2009,5515000,,
33,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2010,2010,5671000,,
34,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2011,2011,5899800,,
35,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2012,2012,5990800,,
36,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2013,2013,6292800,,
37,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2014,2014,6724500,,
38,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2015,2015,7138200,,
39,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2016,2016,7852900,,
40,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2017,2017,8557554,,
41,Australia,AUS,AU,INB_ARRIVALS_TOTAL,Total international arrivals,DEMAND,Tourism demand surveys,2018,2018,9071700,,
42,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2008,2008,373200,,
43,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2009,2009,355100,,
44,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2010,2010,390400,,
45,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2011,2011,498400,,
46,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2012,2012,583800,,
47,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2013,2013,689600,,
48,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2014,2014,773700,,
49,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2015,2015,936000,,
50,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2016,2016,1145700,,
51,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2017,2017,1259100,,
52,Australia,AUS,AU,CHN,China,DEMAND,Tourism demand surveys,2018,2018,1421600,,
53,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2008,2008,709800,,
54,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2009,2009,679700,,
55,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2010,2010,678200,,
56,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2011,2011,661200,,
57,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2012,2012,626700,,
58,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2013,2013,637900,,
59,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2014,2014,671200,,
60,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2015,2015,667100,,
61,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2016,2016,703700,,
62,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2017,2017,726400,,
63,Australia,AUS,AU,GBR,United Kingdom,DEMAND,Tourism demand surveys,2018,2018,742100,,
64,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2008,2008,519800,,
65,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2009,2009,402300,,
66,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2010,2010,361800,,
67,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2011,2011,363000,,
68,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2012,2012,344000,,
69,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2013,2013,339100,,
70,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2014,2014,330700,,
71,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2015,2015,332700,,
72,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2016,2016,380400,,
73,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2017,2017,428500,,
74,Australia,AUS,AU,JPN,Japan,DEMAND,Tourism demand surveys,2018,2018,442300,,
75,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2008,2008,1113600,,
76,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2009,2009,1096500,,
77,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2010,2010,1111100,,
78,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2011,2011,1175500,,
79,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2012,2012,1184100,,
80,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2013,2013,1182500,,
81,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2014,2014,1226500,,
