LOCATION,TIME,"Automated teller machines (ATMs) (per 100,000 adults)"
AFG,1960,0
AFG,1961,0
AFG,1962,0
AFG,1963,0
AFG,1964,0
AFG,1965,0
AFG,1966,0
AFG,1967,0
AFG,1968,0
AFG,1969,0
AFG,1970,0
AFG,1971,0
AFG,1972,0
AFG,1973,0
AFG,1974,0
AFG,1975,0
AFG,1976,0
AFG,1977,0
AFG,1978,0
AFG,1979,0
AFG,1980,0
AFG,1981,0
AFG,1982,0
AFG,1983,0
AFG,1984,0
AFG,1985,0
AFG,1986,0
AFG,1987,0
AFG,1988,0
AFG,1989,0
AFG,1990,0
AFG,1991,0
AFG,1992,0
AFG,1993,0
AFG,1994,0
AFG,1995,0
AFG,1996,0
AFG,1997,0
AFG,1998,0
AFG,1999,0
AFG,2000,0
AFG,2001,0
AFG,2002,0
AFG,2003,0
AFG,2004,0.015600914
AFG,2005,0.059807575
AFG,2006,0.116381436
AFG,2007,0.206287222
AFG,2008,0.299597035
AFG,2009,0.449156841
AFG,2010,0.52894412
AFG,2011,0.61583673
AFG,2012,0.636843817
AFG,2013,0.705169662
AFG,2014,0.749717464
AFG,2015,0.917247559
AFG,2016,1.059930768
AFG,2017,1.213235064
AFG,2018,1.611931889
AFG,2019,0
AFG,2020,0
ALB,1960,0
ALB,1961,0
ALB,1962,0
ALB,1963,0
ALB,1964,0
ALB,1965,0
ALB,1966,0
ALB,1967,0
ALB,1968,0
ALB,1969,0
ALB,1970,0
ALB,1971,0
ALB,1972,0
ALB,1973,0
ALB,1974,0
ALB,1975,0
ALB,1976,0
ALB,1977,0
ALB,1978,0
ALB,1979,0
ALB,1980,0
ALB,1981,0
ALB,1982,0
ALB,1983,0
ALB,1984,0
ALB,1985,0
ALB,1986,0
ALB,1987,0
ALB,1988,0
ALB,1989,0
ALB,1990,0
ALB,1991,0
ALB,1992,0
ALB,1993,0
ALB,1994,0
ALB,1995,0
ALB,1996,0
ALB,1997,0
ALB,1998,0
ALB,1999,0
ALB,2000,0
ALB,2001,0
ALB,2002,0
ALB,2003,0
ALB,2004,4.227499475
ALB,2005,9.261702274
ALB,2006,13.87334934
ALB,2007,19.36569088
ALB,2008,28.62945195
ALB,2009,32.94081456
ALB,2010,34.131657
ALB,2011,35.2851655
ALB,2012,35.73753279
ALB,2013,35.42744593
ALB,2014,34.75004392
ALB,2015,35.25527207
ALB,2016,34.08073812
ALB,2017,31.71407574
ALB,2018,30.63812476
ALB,2019,29.98845423
ALB,2020,0
DZA,1960,0
DZA,1961,0
DZA,1962,0
DZA,1963,0
DZA,1964,0
DZA,1965,0
DZA,1966,0
DZA,1967,0
DZA,1968,0
DZA,1969,0
DZA,1970,0
DZA,1971,0
DZA,1972,0
DZA,1973,0
DZA,1974,0
DZA,1975,0
DZA,1976,0
DZA,1977,0
DZA,1978,0
DZA,1979,0
DZA,1980,0
DZA,1981,0
DZA,1982,0
DZA,1983,0
DZA,1984,0
DZA,1985,0
DZA,1986,0
DZA,1987,0
DZA,1988,0
DZA,1989,0
DZA,1990,0
DZA,1991,0
DZA,1992,0
DZA,1993,0
DZA,1994,0
DZA,1995,0
DZA,1996,0
DZA,1997,0
DZA,1998,0
DZA,1999,0
DZA,2000,0
DZA,2001,0
DZA,2002,0
DZA,2003,0
DZA,2004,1.268208855
DZA,2005,1.503893358
DZA,2006,2.386938837
DZA,2007,3.719253964
DZA,2008,4.201015405
DZA,2009,5.328128112
DZA,2010,5.92466766
DZA,2011,6.100177323
DZA,2012,6.209252704
DZA,2013,6.51084126
DZA,2014,7.499412833
DZA,2015,8.272401021
DZA,2016,8.696113631
DZA,2017,9.130676811
DZA,2018,9.204289667
DZA,2019,0
DZA,2020,0
ASM,1960,0
ASM,1961,0
ASM,1962,0
ASM,1963,0
ASM,1964,0
ASM,1965,0
ASM,1966,0
ASM,1967,0
ASM,1968,0
ASM,1969,0
ASM,1970,0
ASM,1971,0
ASM,1972,0
ASM,1973,0
ASM,1974,0
ASM,1975,0
ASM,1976,0
ASM,1977,0
ASM,1978,0
ASM,1979,0
ASM,1980,0
ASM,1981,0
ASM,1982,0
ASM,1983,0
ASM,1984,0
ASM,1985,0
ASM,1986,0
ASM,1987,0
ASM,1988,0
ASM,1989,0
ASM,1990,0
ASM,1991,0
ASM,1992,0
ASM,1993,0
ASM,1994,0
ASM,1995,0
ASM,1996,0
ASM,1997,0
ASM,1998,0
ASM,1999,0
ASM,2000,0
ASM,2001,0
ASM,2002,0
ASM,2003,0
ASM,2004,0.854312656
ASM,2005,1.453157751
ASM,2006,3.040178721
ASM,2007,4.40359568
ASM,2008,6.238114304
ASM,2009,8.344974363
ASM,2010,10.42113766
ASM,2011,12.72463094
ASM,2012,15.19084307
ASM,2013,16.99318234
ASM,2014,18.19215
ASM,2015,18.82246241
ASM,2016,19.06211512
ASM,2017,19.13145351
ASM,2018,18.92233143
ASM,2019,18.39566491
ASM,2020,0
AND,1960,0
AND,1961,0
AND,1962,0
AND,1963,0
AND,1964,0
AND,1965,0
AND,1966,0
AND,1967,0
AND,1968,0
AND,1969,0
AND,1970,0
AND,1971,0
AND,1972,0
AND,1973,0
AND,1974,0
AND,1975,0
AND,1976,0
AND,1977,0
AND,1978,0
AND,1979,0
AND,1980,0
AND,1981,0
AND,1982,0
AND,1983,0
AND,1984,0
AND,1985,0
AND,1986,0
AND,1987,0
AND,1988,0
AND,1989,0
AND,1990,0
AND,1991,0
AND,1992,0
AND,1993,0
AND,1994,0
AND,1995,0
AND,1996,0
AND,1997,0
AND,1998,0
AND,1999,0
AND,2000,0
AND,2001,0
AND,2002,0
AND,2003,0
AND,2004,0
AND,2005,0
AND,2006,0
AND,2007,0
AND,2008,0
AND,2009,0
AND,2010,0
AND,2011,0
AND,2012,0
AND,2013,0
AND,2014,0
AND,2015,0
AND,2016,0
AND,2017,0
AND,2018,0
AND,2019,0
AND,2020,0
AGO,1960,0
AGO,1961,0
AGO,1962,0
AGO,1963,0
AGO,1964,0
AGO,1965,0
AGO,1966,0
AGO,1967,0
AGO,1968,0
AGO,1969,0
AGO,1970,0
AGO,1971,0
AGO,1972,0
AGO,1973,0
AGO,1974,0
AGO,1975,0
AGO,1976,0
AGO,1977,0
AGO,1978,0
AGO,1979,0
AGO,1980,0
AGO,1981,0
AGO,1982,0
AGO,1983,0
AGO,1984,0
AGO,1985,0
AGO,1986,0
AGO,1987,0
AGO,1988,0
AGO,1989,0
AGO,1990,0
AGO,1991,0
AGO,1992,0
AGO,1993,0
AGO,1994,0
AGO,1995,0
AGO,1996,0
AGO,1997,0
AGO,1998,0
AGO,1999,0
AGO,2000,0
AGO,2001,0
AGO,2002,0
AGO,2003,0
AGO,2004,0.8596105
AGO,2005,1.462133
AGO,2006,3.060388
AGO,2007,4.432812
AGO,2008,6.277098
AGO,2009,8.392299
AGO,2010,10.47348
AGO,2011,12.77733
AGO,2012,15.23725
AGO,2013,17.02475
AGO,2014,18.2038
AGO,2015,18.81227
AGO,2016,19.02845
AGO,2017,19.07925
AGO,2018,18.85441
AGO,2019,0
AGO,2020,0
ATG,1960,0
ATG,1961,0
ATG,1962,0
ATG,1963,0
ATG,1964,0
ATG,1965,0
ATG,1966,0
ATG,1967,0
ATG,1968,0
ATG,1969,0
ATG,1970,0
ATG,1971,0
ATG,1972,0
ATG,1973,0
ATG,1974,0
ATG,1975,0
ATG,1976,0
ATG,1977,0
ATG,1978,0
ATG,1979,0
ATG,1980,0
ATG,1981,0
ATG,1982,0
ATG,1983,0
ATG,1984,0
ATG,1985,0
ATG,1986,0
ATG,1987,0
ATG,1988,0
ATG,1989,0
ATG,1990,0
ATG,1991,0
ATG,1992,0
ATG,1993,0
ATG,1994,0
ATG,1995,0
ATG,1996,0
ATG,1997,0
ATG,1998,0
ATG,1999,0
ATG,2000,0
ATG,2001,0
ATG,2002,0
ATG,2003,0
ATG,2004,52.83610581
ATG,2005,65.14005111
ATG,2006,63.85800599
ATG,2007,60.91696056
ATG,2008,67.4245394
ATG,2009,69.02369814
ATG,2010,72.06990781
ATG,2011,73.7474004
ATG,2012,75.34266423
ATG,2013,79.7380037
ATG,2014,77.06103234
ATG,2015,74.5403346
ATG,2016,68.17004336
ATG,2017,66.02794734
ATG,2018,66.64445185
ATG,2019,65.96654177
ATG,2020,0
ARG,1960,0
ARG,1961,0
ARG,1962,0
ARG,1963,0
ARG,1964,0
ARG,1965,0
ARG,1966,0
ARG,1967,0
ARG,1968,0
ARG,1969,0
ARG,1970,0
ARG,1971,0
ARG,1972,0
ARG,1973,0
ARG,1974,0
ARG,1975,0
ARG,1976,0
ARG,1977,0
ARG,1978,0
ARG,1979,0
ARG,1980,0
ARG,1981,0
ARG,1982,0
ARG,1983,0
ARG,1984,0
ARG,1985,0
ARG,1986,0
ARG,1987,0
ARG,1988,0
ARG,1989,0
ARG,1990,0
ARG,1991,0
ARG,1992,0
ARG,1993,0
ARG,1994,0
ARG,1995,0
ARG,1996,0
ARG,1997,0
ARG,1998,0
ARG,1999,0
ARG,2000,0
ARG,2001,0
ARG,2002,0
ARG,2003,0
ARG,2004,1.871377835
ARG,2005,2.09667066
ARG,2006,2.878998619
ARG,2007,4.957488845
ARG,2008,9.989824437
ARG,2009,13.85817065
ARG,2010,19.28814641
ARG,2011,27.04951185
ARG,2012,34.52697687
ARG,2013,43.33749478
ARG,2014,45.66801379
ARG,2015,47.51394969
ARG,2016,50.3457928
ARG,2017,53.11520383
ARG,2018,58.21267029
ARG,2019,60.88981405
ARG,2020,0
ARM,1960,0
ARM,1961,0
ARM,1962,0
ARM,1963,0
ARM,1964,0
ARM,1965,0
ARM,1966,0
ARM,1967,0
ARM,1968,0
ARM,1969,0
ARM,1970,0
ARM,1971,0
