LOCATION,TIME,broad_money_growth_%
AFG,1960,0
AFG,1961,10.29185868
AFG,1962,17.82729805
AFG,1963,15.57919622
AFG,1964,22.88811618
AFG,1965,17.42676431
AFG,1966,0.085046067
AFG,1967,-0.368219799
AFG,1968,16.75195451
AFG,1969,18.00085226
AFG,1970,7.212133719
AFG,1971,11.30786257
AFG,1972,13.93740273
AFG,1973,7.630141144
AFG,1974,13.47340219
AFG,1975,12.45580788
AFG,1976,24.19609707
AFG,1977,27.99608515
AFG,1978,16.26291204
AFG,1979,18.56403603
AFG,1980,16.85329232
AFG,1981,17.44982155
AFG,1982,17.95870601
AFG,1983,0
AFG,1984,0
AFG,1985,10.40950708
AFG,1986,12.32956145
AFG,1987,50.69047792
AFG,1988,34.53083266
AFG,1989,37.15664752
AFG,1990,40.59457548
AFG,1991,0
AFG,1992,0
AFG,1993,0
AFG,1994,0
AFG,1995,0
AFG,1996,0
AFG,1997,0
AFG,1998,0
AFG,1999,0
AFG,2000,0
AFG,2001,0
AFG,2002,0
AFG,2003,0
AFG,2004,0
AFG,2005,0
AFG,2006,0
AFG,2007,42.39516401
AFG,2008,31.38381712
AFG,2009,33.04506797
AFG,2010,26.9471277
AFG,2011,21.30916836
AFG,2012,8.727729452
AFG,2013,9.914483311
AFG,2014,8.135571545
AFG,2015,3.079021968
AFG,2016,9.72542826
AFG,2017,4.093274968
AFG,2018,2.574153785
AFG,2019,5.704360373
AFG,2020,0
ALB,1960,0
ALB,1961,0
ALB,1962,0
ALB,1963,0
ALB,1964,0
ALB,1965,0
ALB,1966,0
ALB,1967,0
ALB,1968,0
ALB,1969,0
ALB,1970,0
ALB,1971,0
ALB,1972,0
ALB,1973,0
ALB,1974,0
ALB,1975,0
ALB,1976,0
ALB,1977,0
ALB,1978,0
ALB,1979,0
ALB,1980,0
ALB,1981,0
ALB,1982,0
ALB,1983,0
ALB,1984,0
ALB,1985,0
ALB,1986,0
ALB,1987,0
ALB,1988,0
ALB,1989,0
ALB,1990,0
ALB,1991,0
ALB,1992,0
ALB,1993,0
ALB,1994,0
ALB,1995,51.81986707
ALB,1996,43.83673834
ALB,1997,28.46601791
ALB,1998,20.63935656
ALB,1999,22.27110839
ALB,2000,12.02926239
ALB,2001,19.90645586
ALB,2002,3.740377041
ALB,2003,8.673302852
ALB,2004,13.46121864
ALB,2005,14.12521463
ALB,2006,16.04623885
ALB,2007,13.67503414
ALB,2008,7.667533427
ALB,2009,6.837072453
ALB,2010,12.48579986
ALB,2011,9.167788795
ALB,2012,4.976872401
ALB,2013,2.276105785
ALB,2014,4.013124685
ALB,2015,1.764720649
ALB,2016,3.88758243
ALB,2017,0.274642648
ALB,2018,-0.221006685
ALB,2019,4.313638629
ALB,2020,0
DZA,1960,0
DZA,1961,0
DZA,1962,0
DZA,1963,0
DZA,1964,0
DZA,1965,10.88506711
DZA,1966,9.305844524
DZA,1967,29.88406299
DZA,1968,35.35837996
DZA,1969,14.37992126
DZA,1970,12.51183203
DZA,1971,6.500956023
DZA,1972,30.26211849
DZA,1973,12.25536138
DZA,1974,26.55927708
DZA,1975,30.95847885
DZA,1976,29.20469361
DZA,1977,19.1427392
DZA,1978,29.85120594
DZA,1979,18.12953053
DZA,1980,17.380065
DZA,1981,16.69357167
DZA,1982,26.32610807
DZA,1983,20.33214881
DZA,1984,17.351711
DZA,1985,14.96684932
DZA,1986,1.409809702
DZA,1987,13.60256546
DZA,1988,13.59811707
DZA,1989,5.182188999
DZA,1990,11.41565552
DZA,1991,20.80279852
DZA,1992,31.27487975
DZA,1993,7.296641051
DZA,1994,15.70483907
DZA,1995,9.46358192
DZA,1996,14.64464552
DZA,1997,18.25947539
DZA,1998,19.57262026
DZA,1999,13.9471736
DZA,2000,14.13150284
DZA,2001,54.05140869
DZA,2002,18.05211536
DZA,2003,16.30615568
DZA,2004,10.4512235
DZA,2005,11.69360354
DZA,2006,19.64477663
DZA,2007,23.09073922
DZA,2008,16.03708229
DZA,2009,4.840835097
DZA,2010,13.54843173
DZA,2011,19.90700326
DZA,2012,10.93691709
DZA,2013,8.409999837
DZA,2014,14.42367387
DZA,2015,0.297131028
DZA,2016,0.815774502
DZA,2017,8.380854997
DZA,2018,11.1022592
DZA,2019,-0.757531113
DZA,2020,0
ASM,1960,0
ASM,1961,0
ASM,1962,0
ASM,1963,0
ASM,1964,0
ASM,1965,0
ASM,1966,0
ASM,1967,0
ASM,1968,0
ASM,1969,0
ASM,1970,0
ASM,1971,0
ASM,1972,0
ASM,1973,0
ASM,1974,0
ASM,1975,0
ASM,1976,0
ASM,1977,0
ASM,1978,0
ASM,1979,0
ASM,1980,0
ASM,1981,0
ASM,1982,0
ASM,1983,0
ASM,1984,0
ASM,1985,0
ASM,1986,0
ASM,1987,0
ASM,1988,0
ASM,1989,0
ASM,1990,0
ASM,1991,0
ASM,1992,0
ASM,1993,0
ASM,1994,0
ASM,1995,0
ASM,1996,0
ASM,1997,0
ASM,1998,0
ASM,1999,0
ASM,2000,0
ASM,2001,0
ASM,2002,0
ASM,2003,0
ASM,2004,0
ASM,2005,0
ASM,2006,0
ASM,2007,0
ASM,2008,0
ASM,2009,0
ASM,2010,0
ASM,2011,0
ASM,2012,0
ASM,2013,0
ASM,2014,0
ASM,2015,0
ASM,2016,0
ASM,2017,0
ASM,2018,0
ASM,2019,0
ASM,2020,0
AND,1960,0
AND,1961,0
AND,1962,0
AND,1963,0
AND,1964,0
AND,1965,0
AND,1966,0
AND,1967,0
AND,1968,0
AND,1969,0
AND,1970,0
AND,1971,0
AND,1972,0
AND,1973,0
AND,1974,0
AND,1975,0
AND,1976,0
AND,1977,0
AND,1978,0
AND,1979,0
AND,1980,0
AND,1981,0
AND,1982,0
AND,1983,0
AND,1984,0
AND,1985,0
AND,1986,0
AND,1987,0
AND,1988,0
AND,1989,0
AND,1990,0
AND,1991,0
AND,1992,0
AND,1993,0
AND,1994,0
AND,1995,0
AND,1996,0
AND,1997,0
AND,1998,0
AND,1999,0
AND,2000,0
AND,2001,0
AND,2002,0
AND,2003,0
AND,2004,0
AND,2005,0
AND,2006,0
AND,2007,0
AND,2008,0
AND,2009,0
AND,2010,0
AND,2011,0
AND,2012,0
AND,2013,0
AND,2014,0
AND,2015,0
AND,2016,0
AND,2017,0
AND,2018,0
AND,2019,0
AND,2020,0
AGO,1960,0
AGO,1961,0
AGO,1962,0
AGO,1963,0
AGO,1964,0
AGO,1965,0
AGO,1966,0
AGO,1967,0
AGO,1968,0
AGO,1969,0
AGO,1970,0
AGO,1971,0
AGO,1972,0
AGO,1973,0
AGO,1974,0
AGO,1975,0
AGO,1976,0
AGO,1977,0
AGO,1978,0
AGO,1979,0
AGO,1980,0
AGO,1981,0
AGO,1982,0
AGO,1983,0
AGO,1984,0
AGO,1985,0
AGO,1986,0
AGO,1987,0
AGO,1988,0
AGO,1989,0
AGO,1990,0
AGO,1991,0
AGO,1992,0
AGO,1993,0
AGO,1994,0
AGO,1995,0
AGO,1996,4105.572818
AGO,1997,71.94430896
AGO,1998,57.64813439
AGO,1999,528.1943258
AGO,2000,303.7354986
AGO,2001,163.0031039
AGO,2002,156.3406805
AGO,2003,68.09831436
AGO,2004,48.55196533
AGO,2005,60.70599438
AGO,2006,59.85092525
AGO,2007,49.42143639
AGO,2008,104.5661242
AGO,2009,21.47568088
AGO,2010,5.287800928
AGO,2011,37.14695603
AGO,2012,4.898187445
AGO,2013,14.14659565
AGO,2014,16.18919725
AGO,2015,11.77631343
AGO,2016,13.46824221
AGO,2017,0.625449002
AGO,2018,20.42805983
AGO,2019,30.11411805
AGO,2020,0
ATG,1960,0
ATG,1961,0
ATG,1962,0
ATG,1963,0
ATG,1964,0
ATG,1965,0
ATG,1966,0
ATG,1967,0
ATG,1968,0
ATG,1969,0
ATG,1970,0
ATG,1971,0
ATG,1972,0
ATG,1973,0
ATG,1974,0
ATG,1975,0
ATG,1976,8.643398594
ATG,1977,-3.722450206
ATG,1978,10.42574982
ATG,1979,15.47776777
ATG,1980,11.18964027
ATG,1981,15.93976583
ATG,1982,13.47775266
ATG,1983,23.81779014
ATG,1984,5.675157514
ATG,1985,11.38213656
ATG,1986,18.133938
ATG,1987,36.49709961
ATG,1988,17.9007841
ATG,1989,13.34030323
ATG,1990,3.632939719
ATG,1991,15.36149176
ATG,1992,10.09389737
ATG,1993,7.228011851
ATG,1994,8.894436376
ATG,1995,19.7103044
ATG,1996,-2.107902277
ATG,1997,7.146348634
ATG,1998,14.81049323
ATG,1999,24.83543714
ATG,2000,6.049031374
ATG,2001,4.931932397
ATG,2002,5.353972418
ATG,2003,15.57808159
ATG,2004,6.134431692
ATG,2005,8.846540768
ATG,2006,11.59083782
ATG,2007,11.36603101
ATG,2008,3.302877622
ATG,2009,-9.792956453
ATG,2010,0.245680656
ATG,2011,1.465431231
ATG,2012,2.586486295
ATG,2013,1.34360401
ATG,2014,1.391239865
ATG,2015,5.816729361
ATG,2016,-1.245109148
ATG,2017,7.247042643
ATG,2018,7.208472631
ATG,2019,-0.25341317
ATG,2020,0
ARG,1960,0
ARG,1961,-0.35971223
ARG,1962,10.10830325
ARG,1963,33.1147541
ARG,1964,41.37931034
ARG,1965,27.00348432
ARG,1966,31.55006859
ARG,1967,53.80604797
ARG,1968,28.06779661
ARG,1969,20.91053467
ARG,1970,20.84063047
ARG,1971,8.695652174
ARG,1972,110
ARG,1973,74.6031746
ARG,1974,54.54545455
ARG,1975,152.9411765
ARG,1976,353.4883721
ARG,1977,227.1794872
ARG,1978,172.5705329
ARG,1979,187.4065555
ARG,1980,91.75670268
ARG,1981,82.58034224
ARG,1982,165.2855959
ARG,1983,395.9242584
ARG,1984,654.9656188
ARG,1985,428.1519468
ARG,1986,113.0153232
ARG,1987,163.1424872
ARG,1988,442.8057059
ARG,1989,2235.181906
ARG,1990,1113.272406
ARG,1991,141.3370403
ARG,1992,62.48625439
ARG,1993,46.48082501
ARG,1994,17.64027017
ARG,1995,-2.805550864
ARG,1996,18.82056055
ARG,1997,25.53473781
ARG,1998,10.48809294
ARG,1999,4.085589659
ARG,2000,1.531033633
ARG,2001,-19.43621848
ARG,2002,19.70885389
ARG,2003,29.63485278
ARG,2004,21.42731049
ARG,2005,21.51391856
ARG,2006,20.2627351
ARG,2007,24.46562561
ARG,2008,8.064699994
ARG,2009,16.99991627
ARG,2010,33.10758922
ARG,2011,26.03166313
ARG,2012,34.82211435
ARG,2013,27.08106016
ARG,2014,29.82964762
ARG,2015,39.57186047
ARG,2016,41.54851926
ARG,2017,30.08433707
ARG,2018,0
ARG,2019,0
ARG,2020,0
ARM,1960,0
ARM,1961,0
ARM,1962,0
ARM,1963,0
ARM,1964,0
ARM,1965,0
ARM,1966,0
ARM,1967,0
ARM,1968,0
ARM,1969,0
ARM,1970,0
ARM,1971,0
ARM,1972,0
ARM,1973,0
ARM,1974,0
ARM,1975,0
ARM,1976,0
ARM,1977,0
ARM,1978,0
ARM,1979,0
ARM,1980,0
ARM,1981,0
ARM,1982,0
ARM,1983,0
ARM,1984,0
ARM,1985,0
ARM,1986,0
ARM,1987,0
ARM,1988,0
ARM,1989,0
ARM,1990,0
ARM,1991,0
ARM,1992,0
ARM,1993,1076.767909
ARM,1994,740.3584619
ARM,1995,64.28557405
ARM,1996,35.07873171
ARM,1997,29.20044387
ARM,1998,36.71365626
ARM,1999,13.9705114
ARM,2000,38.55394702
ARM,2001,4.284803023
ARM,2002,33.97685291
ARM,2003,10.35074294
ARM,2004,22.29319885
ARM,2005,27.84120857
ARM,2006,32.87709665
ARM,2007,42.32875386
ARM,2008,2.378635022
ARM,2009,15.14612389
ARM,2010,11.82784961
ARM,2011,23.65541669
ARM,2012,19.46681076
ARM,2013,14.7811031
ARM,2014,8.3360558
ARM,2015,10.83988508
ARM,2016,17.48265024
ARM,2017,18.47097088
ARM,2018,7.445920803
ARM,2019,11.18408795
ARM,2020,0
ABW,1960,0
ABW,1961,0
ABW,1962,0
ABW,1963,0
ABW,1964,0
ABW,1965,0
ABW,1966,0
ABW,1967,0
ABW,1968,0
ABW,1969,0
ABW,1970,0
ABW,1971,0
ABW,1972,0
ABW,1973,0
ABW,1974,0
ABW,1975,0
ABW,1976,0
ABW,1977,0
ABW,1978,0
ABW,1979,0
ABW,1980,0
ABW,1981,0
ABW,1982,0
ABW,1983,0
ABW,1984,0
ABW,1985,0
ABW,1986,12.30878691
ABW,1987,41.87519797
ABW,1988,17.4592543
ABW,1989,23.37958563
ABW,1990,17.27006625
ABW,1991,16.84077772
ABW,1992,12.50854516
ABW,1993,6.393895119
ABW,1994,12.59047812
ABW,1995,5.226239569
ABW,1996,3.151331792
ABW,1997,4.590348148
ABW,1998,13.08177154
ABW,1999,10.41699566
ABW,2000,2.305470755
ABW,2001,5.887435776
ABW,2002,10.48571118
ABW,2003,8.87588513
ABW,2004,3.215753579
ABW,2005,6.191747254
ABW,2006,2.373495962
ABW,2007,3.300595717
ABW,2008,16.5640586
ABW,2009,5.749623934
ABW,2010,-0.281333966
ABW,2011,0.12679896
ABW,2012,8.250490724
ABW,2013,-3.72016846
ABW,2014,5.598420413
ABW,2015,9.452578891
ABW,2016,9.500906726
ABW,2017,1.764112903
ABW,2018,3.231208283
ABW,2019,4.398089972
ABW,2020,0
AUS,1960,0
AUS,1961,4.760296184
AUS,1962,7.91941288
AUS,1963,10.45882086
AUS,1964,11.58598602
AUS,1965,5.160477068
AUS,1966,7.756426806
AUS,1967,9.006195235
AUS,1968,7.034359325
AUS,1969,9.526952695
AUS,1970,5.115843043
AUS,1971,8.711300803
AUS,1972,19.68122821
AUS,1973,21.30658728
AUS,1974,9.158093147
AUS,1975,20.55914424
AUS,1976,12.22876176
AUS,1977,5.920917789
AUS,1978,10.49023579
AUS,1979,11.60939456
AUS,1980,14.01483372
AUS,1981,9.884558428
AUS,1982,10.59522358
AUS,1983,13.23552728
AUS,1984,11.73516536
AUS,1985,17.91469602
AUS,1986,9.563253012
AUS,1987,16.02834128
AUS,1988,17.91438103
AUS,1989,31.01604278
AUS,1990,12.75767883
AUS,1991,1.182172353
AUS,1992,7.379035959
AUS,1993,5.726582262
AUS,1994,9.959255751
AUS,1995,8.518371715
AUS,1996,10.64895222
AUS,1997,7.310580377
AUS,1998,8.43035779
AUS,1999,11.7042581
AUS,2000,3.739909575
AUS,2001,10.93057636
AUS,2002,7.035917117
AUS,2003,12.76343495
AUS,2004,11.4182954
AUS,2005,8.50085421
AUS,2006,15.0631947
AUS,2007,18.2329858
AUS,2008,17.00474383
AUS,2009,3.207521582
AUS,2010,10.1307768
AUS,2011,7.967777688
AUS,2012,7.347916752
AUS,2013,6.747131992
AUS,2014,7.0328977
AUS,2015,5.984082435
AUS,2016,6.666188127
AUS,2017,4.521987656
AUS,2018,2.373822341
AUS,2019,14.05953319
AUS,2020,0
AUT,1960,0
AUT,1961,0
AUT,1962,0
AUT,1963,0
AUT,1964,0
AUT,1965,0
AUT,1966,0
AUT,1967,0
AUT,1968,0
AUT,1969,0
AUT,1970,0
AUT,1971,0
AUT,1972,0
AUT,1973,0
AUT,1974,0
AUT,1975,0
AUT,1976,0
AUT,1977,0
AUT,1978,0
AUT,1979,0
AUT,1980,0
AUT,1981,0
AUT,1982,0
AUT,1983,0
AUT,1984,0
AUT,1985,0
AUT,1986,0
AUT,1987,0
AUT,1988,0
AUT,1989,0
AUT,1990,0
AUT,1991,0
AUT,1992,0
AUT,1993,0
AUT,1994,0
AUT,1995,0
AUT,1996,0
AUT,1997,0
AUT,1998,0
AUT,1999,0
AUT,2000,0
AUT,2001,0
AUT,2002,0
AUT,2003,0
AUT,2004,0
AUT,2005,0
AUT,2006,0
AUT,2007,0
AUT,2008,0
AUT,2009,0
AUT,2010,0
AUT,2011,0
AUT,2012,0
AUT,2013,0
AUT,2014,0
AUT,2015,0
AUT,2016,0
AUT,2017,0
AUT,2018,0
AUT,2019,0
AUT,2020,0
AZE,1960,0
AZE,1961,0
AZE,1962,0
AZE,1963,0
AZE,1964,0
AZE,1965,0
AZE,1966,0
AZE,1967,0
AZE,1968,0
AZE,1969,0
AZE,1970,0
AZE,1971,0
AZE,1972,0
AZE,1973,0
AZE,1974,0
AZE,1975,0
AZE,1976,0
AZE,1977,0
AZE,1978,0
AZE,1979,0
AZE,1980,0
AZE,1981,0
AZE,1982,0
AZE,1983,0
AZE,1984,0
AZE,1985,0
AZE,1986,0
AZE,1987,0
AZE,1988,0
AZE,1989,0
AZE,1990,0
AZE,1991,0
AZE,1992,0
AZE,1993,825.8160492
AZE,1994,1116.547485
AZE,1995,25.4196533
AZE,1996,17.09267985
AZE,1997,41.42524199
AZE,1998,-15.17130433
AZE,1999,20.06951192
AZE,2000,73.41245492
AZE,2001,-10.56753134
AZE,2002,14.47730708
AZE,2003,29.73033981
AZE,2004,47.51124183
AZE,2005,22.10256605
AZE,2006,86.8126452
AZE,2007,71.68319233
AZE,2008,44.03683181
AZE,2009,-0.294840726
AZE,2010,24.3034834
AZE,2011,32.06544663
AZE,2012,20.65805693
AZE,2013,14.98948462
AZE,2014,11.80307306
AZE,2015,-1.148701829
AZE,2016,-2.010855125
AZE,2017,9.008399502
AZE,2018,5.65746855
AZE,2019,19.97437433
AZE,2020,0
BHS,1960,0
BHS,1961,0
BHS,1962,0
BHS,1963,0
BHS,1964,0
BHS,1965,0
BHS,1966,0
BHS,1967,0
BHS,1968,0
BHS,1969,0
BHS,1970,-8.565737052
BHS,1971,3.050108932
BHS,1972,8.086680761
BHS,1973,1.41809291
BHS,1974,0.530376085
BHS,1975,9.64028777
BHS,1976,19.55380577
BHS,1977,2.671057446
BHS,1978,13.43549537
BHS,1979,15.39428212
BHS,1980,14.67465287
BHS,1981,10.96866097
BHS,1982,15.55412923
BHS,1983,13.0716534
BHS,1984,9.349926314
BHS,1985,5.825097335
BHS,1986,9.891042875
BHS,1987,15.65799639
BHS,1988,8.383433534
BHS,1989,7.899332306
BHS,1990,16.82216299
BHS,1991,6.6335262
BHS,1992,5.487199083
BHS,1993,16.12692893
BHS,1994,8.727930626
BHS,1995,8.549460638
BHS,1996,5.624273179
BHS,1997,23.4773296
BHS,1998,16.24334704
BHS,1999,10.5644852
BHS,2000,9.312226041
BHS,2001,4.909993076
BHS,2002,2.980806248
BHS,2003,3.676902537
BHS,2004,9.220387874
BHS,2005,10.83547528
BHS,2006,7.761371857
BHS,2007,10.52912142
BHS,2008,5.255166747
BHS,2009,1.664828171
BHS,2010,2.660835309
BHS,2011,1.887804878
BHS,2012,-0.346307911
BHS,2013,0.864774838
BHS,2014,0.481074559
BHS,2015,-0.229114984
BHS,2016,8.689936967
BHS,2017,1.325424163
BHS,2018,0
BHS,2019,0
BHS,2020,0
BHR,1960,0
BHR,1961,0
BHR,1962,0
BHR,1963,0
BHR,1964,0
BHR,1965,0
BHR,1966,23.04173814
BHR,1967,14.86679058
BHR,1968,18.50912916
BHR,1969,10.20663602
BHR,1970,16.53829475
BHR,1971,29.57863775
BHR,1972,20.17530665
BHR,1973,13.37346244
