LOCATION,TIME,Life satisfaction in Cantril Ladder (World Happiness Report 2019),,,,,,,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2019),,,,,,,,
AFG,1960,,,,,,,,AFG,2008,3.723589897,,,,,,,,1960
AFG,1961,,,,,,,,AFG,2009,4.401778221,,,,,,,,1961
AFG,1962,,,,,,,,AFG,2010,4.75838089,,,,,,,,1962
AFG,1963,,,,,,,,AFG,2011,3.83171916,,,,,,,,1963
AFG,1964,,,,,,,,AFG,2012,3.782937527,,,,,,,,1964
AFG,1965,,,,,,,,AFG,2013,3.572100401,,,,,,,,1965
AFG,1966,,,,,,,,AFG,2014,3.130895615,,,,,,,,1966
AFG,1967,,,,,,,,AFG,2015,3.982854605,,,,,,,,1967
AFG,1968,,,,,,,,AFG,2016,4.220168591,,,,,,,,1968
AFG,1969,,,,,,,,AFG,2017,2.66171813,,,,,,,,1969
AFG,1970,,,,,,,,AFG,2018,2.694303274,,,,,,,,1970
AFG,1971,,,,,,,,ALB,2007,4.634251595,,,,,,,,1971
AFG,1972,,,,,,,,ALB,2009,5.485469818,,,,,,,,1972
AFG,1973,,,,,,,,ALB,2010,5.268936634,,,,,,,,1973
AFG,1974,,,,,,,,ALB,2011,5.867421627,,,,,,,,1974
AFG,1975,,,,,,,,ALB,2012,5.510124207,,,,,,,,1975
AFG,1976,,,,,,,,ALB,2013,4.550647736,,,,,,,,1976
AFG,1977,,,,,,,,ALB,2014,4.813763142,,,,,,,,1977
AFG,1978,,,,,,,,ALB,2015,4.606650829,,,,,,,,1978
AFG,1979,,,,,,,,ALB,2016,4.511100769,,,,,,,,1979
AFG,1980,,,,,,,,ALB,2017,4.639548302,,,,,,,,1980
AFG,1981,,,,,,,,ALB,2018,5.004402637,,,,,,,,1981
AFG,1982,,,,,,,,DZA,2010,5.46356678,,,,,,,,1982
AFG,1983,,,,,,,,DZA,2011,5.317194462,,,,,,,,1983
AFG,1984,,,,,,,,DZA,2012,5.604595661,,,,,,,,1984
AFG,1985,,,,,,,,DZA,2014,6.354898453,,,,,,,,1985
AFG,1986,,,,,,,,DZA,2016,5.340853691,,,,,,,,1986
AFG,1987,,,,,,,,DZA,2017,5.248912334,,,,,,,,1987
AFG,1988,,,,,,,,DZA,2018,5.043086052,,,,,,,,1988
AFG,1989,,,,,,,,AGO,2011,5.589000702,,,,,,,,1989
AFG,1990,,,,,,,,AGO,2012,4.360249996,,,,,,,,1990
AFG,1991,,,,,,,,AGO,2013,3.937106848,,,,,,,,1991
AFG,1992,,,,,,,,AGO,2014,3.794837952,,,,,,,,1992
AFG,1993,,,,,,,,ARG,2006,6.312925339,,,,,,,,1993
AFG,1994,,,,,,,,ARG,2007,6.073158264,,,,,,,,1994
AFG,1995,,,,,,,,ARG,2008,5.961034298,,,,,,,,1995
AFG,1996,,,,,,,,ARG,2009,6.424133301,,,,,,,,1996
AFG,1997,,,,,,,,ARG,2010,6.441067219,,,,,,,,1997
AFG,1998,,,,,,,,ARG,2011,6.775805473,,,,,,,,1998
AFG,1999,,,,,,,,ARG,2012,6.468387127,,,,,,,,1999
AFG,2000,,,,,,,,ARG,2013,6.582260132,,,,,,,,2000
AFG,2001,,,,,,,,ARG,2014,6.671114445,,,,,,,,2001
