LOCATION,TIME,"Birth rate, crude (per 1,000 people)"
AFG,1960,51.279
AFG,1961,51.373
AFG,1962,51.457
AFG,1963,51.53
AFG,1964,51.589
AFG,1965,51.631
AFG,1966,51.652
AFG,1967,51.65
AFG,1968,51.623
AFG,1969,51.574
AFG,1970,51.502
AFG,1971,51.411
AFG,1972,51.303
AFG,1973,51.184
AFG,1974,51.058
AFG,1975,50.93
AFG,1976,50.803
AFG,1977,50.678
AFG,1978,50.555
AFG,1979,50.436
AFG,1980,50.321
AFG,1981,50.21
AFG,1982,50.098
AFG,1983,49.984
AFG,1984,49.865
AFG,1985,49.735
AFG,1986,49.586
AFG,1987,49.418
AFG,1988,49.236
AFG,1989,49.048
AFG,1990,48.88
AFG,1991,48.763
AFG,1992,48.709
AFG,1993,48.717
AFG,1994,48.77
AFG,1995,48.835
AFG,1996,48.87
AFG,1997,48.833
AFG,1998,48.688
AFG,1999,48.419
AFG,2000,48.021
AFG,2001,47.505
AFG,2002,46.901
AFG,2003,46.231
AFG,2004,45.507
AFG,2005,44.723
AFG,2006,43.87
AFG,2007,42.944
AFG,2008,41.949
AFG,2009,40.903
AFG,2010,39.829
AFG,2011,38.75
AFG,2012,37.69
AFG,2013,36.67
AFG,2014,35.706
AFG,2015,34.809
AFG,2016,33.981
AFG,2017,33.211
AFG,2018,32.487
AFG,2019,0
AFG,2020,0
ALB,1960,40.924
ALB,1961,40.368
ALB,1962,39.627
ALB,1963,38.723
ALB,1964,37.695
ALB,1965,36.599
ALB,1966,35.496
ALB,1967,34.435
ALB,1968,33.458
ALB,1969,32.59
ALB,1970,31.837
ALB,1971,31.183
ALB,1972,30.587
ALB,1973,30.019
ALB,1974,29.473
ALB,1975,28.949
ALB,1976,28.455
ALB,1977,28.004
ALB,1978,27.606
ALB,1979,27.262
ALB,1980,26.981
ALB,1981,26.772
ALB,1982,26.627
ALB,1983,26.528
ALB,1984,26.452
ALB,1985,26.367
ALB,1986,26.241
ALB,1987,26.047
ALB,1988,25.762
ALB,1989,25.372
ALB,1990,24.867
ALB,1991,24.245
ALB,1992,23.529
ALB,1993,22.742
ALB,1994,21.902
ALB,1995,21.02
ALB,1996,20.106
ALB,1997,19.173
ALB,1998,18.238
ALB,1999,17.321
ALB,2000,16.436
ALB,2001,15.59
ALB,2002,14.79
ALB,2003,14.048
ALB,2004,13.381
ALB,2005,12.821
ALB,2006,12.398
ALB,2007,12.118
ALB,2008,11.973
ALB,2009,11.945
ALB,2010,12.001
ALB,2011,12.1
ALB,2012,12.197
ALB,2013,12.257
ALB,2014,12.259
ALB,2015,12.197
ALB,2016,12.08
ALB,2017,11.934
ALB,2018,11.78
ALB,2019,0
ALB,2020,0
DZA,1960,49.656
DZA,1961,49.576
DZA,1962,49.43
DZA,1963,49.21
DZA,1964,48.918
DZA,1965,48.575
DZA,1966,48.215
DZA,1967,47.869
DZA,1968,47.563
DZA,1969,47.303
DZA,1970,47.092
DZA,1971,46.922
DZA,1972,46.766
DZA,1973,46.593
DZA,1974,46.381
DZA,1975,46.102
DZA,1976,45.734
DZA,1977,45.266
DZA,1978,44.694
DZA,1979,44.014
DZA,1980,43.226
DZA,1981,42.34
DZA,1982,41.377
DZA,1983,40.354
DZA,1984,39.284
DZA,1985,38.175
DZA,1986,37.034
DZA,1987,35.86
DZA,1988,34.653
DZA,1989,33.415
DZA,1990,32.13
DZA,1991,30.774
DZA,1992,29.345
DZA,1993,27.863
DZA,1994,26.361
DZA,1995,24.884
DZA,1996,23.475
DZA,1997,22.187
DZA,1998,21.073
DZA,1999,20.175
DZA,2000,19.554
DZA,2001,19.257
DZA,2002,19.27
DZA,2003,19.557
DZA,2004,20.077
DZA,2005,20.774
DZA,2006,21.582
DZA,2007,22.424
DZA,2008,23.226
DZA,2009,23.932
DZA,2010,24.504
DZA,2011,24.934
DZA,2012,25.246
DZA,2013,25.451
DZA,2014,25.538
DZA,2015,25.481
DZA,2016,25.25
DZA,2017,24.846
DZA,2018,24.282
DZA,2019,0
DZA,2020,0
ASM,1960,0
ASM,1961,0
ASM,1962,0
ASM,1963,0
ASM,1964,0
ASM,1965,0
ASM,1966,0
ASM,1967,0
ASM,1968,0
ASM,1969,0
ASM,1970,0
ASM,1971,0
ASM,1972,0
ASM,1973,0
ASM,1974,0
ASM,1975,0
ASM,1976,0
ASM,1977,0
ASM,1978,0
ASM,1979,0
ASM,1980,0
ASM,1981,0
ASM,1982,0
ASM,1983,0
ASM,1984,0
ASM,1985,0
ASM,1986,0
ASM,1987,0
ASM,1988,0
ASM,1989,0
ASM,1990,0
ASM,1991,0
ASM,1992,0
ASM,1993,0
ASM,1994,0
ASM,1995,0
ASM,1996,0
ASM,1997,0
ASM,1998,0
ASM,1999,0
ASM,2000,0
ASM,2001,0
ASM,2002,0
ASM,2003,0
ASM,2004,0
ASM,2005,0
ASM,2006,21.6
ASM,2007,0
ASM,2008,0
ASM,2009,0
ASM,2010,18.7
ASM,2011,0
ASM,2012,0
ASM,2013,0
ASM,2014,17.5
ASM,2015,0
ASM,2016,0
ASM,2017,16.6
ASM,2018,0
ASM,2019,0
ASM,2020,0
AND,1960,0
AND,1961,0
AND,1962,0
AND,1963,0
AND,1964,0
AND,1965,0
AND,1966,0
AND,1967,0
AND,1968,0
AND,1969,0
AND,1970,0
AND,1971,0
AND,1972,0
AND,1973,0
AND,1974,0
AND,1975,0
AND,1976,0
AND,1977,0
AND,1978,0
AND,1979,0
AND,1980,0
AND,1981,0
AND,1982,0
AND,1983,0
AND,1984,0
AND,1985,0
AND,1986,11.9
AND,1987,11
AND,1988,11.6
AND,1989,12.5
AND,1990,11.9
AND,1991,11.9
AND,1992,12.1
AND,1993,11.4
AND,1994,10.9
AND,1995,11
