LOCATION,TIME,"Death rate, crude (per 1,000 people)"
AFG,1960,32.219
AFG,1961,31.649
AFG,1962,31.093
AFG,1963,30.551
AFG,1964,30.022
AFG,1965,29.501
AFG,1966,28.985
AFG,1967,28.468
AFG,1968,27.946
AFG,1969,27.418
AFG,1970,26.88
AFG,1971,26.334
AFG,1972,25.781
AFG,1973,25.222
AFG,1974,24.658
AFG,1975,24.087
AFG,1976,23.508
AFG,1977,22.92
AFG,1978,22.324
AFG,1979,21.72
AFG,1980,21.109
AFG,1981,20.49
AFG,1982,19.865
AFG,1983,19.24
AFG,1984,18.618
AFG,1985,18.005
AFG,1986,17.406
AFG,1987,16.826
AFG,1988,16.268
AFG,1989,15.738
AFG,1990,15.241
AFG,1991,14.783
AFG,1992,14.362
AFG,1993,13.974
AFG,1994,13.616
AFG,1995,13.282
AFG,1996,12.964
AFG,1997,12.655
AFG,1998,12.348
AFG,1999,12.037
AFG,2000,11.718
AFG,2001,11.387
AFG,2002,11.048
AFG,2003,10.704
AFG,2004,10.356
AFG,2005,10.003
AFG,2006,9.645
AFG,2007,9.287
AFG,2008,8.932
AFG,2009,8.584
AFG,2010,8.25
AFG,2011,7.936
AFG,2012,7.645
AFG,2013,7.38
AFG,2014,7.141
AFG,2015,6.929
AFG,2016,6.742
AFG,2017,6.575
AFG,2018,6.423
AFG,2019,0
AFG,2020,0
ALB,1960,11.326
ALB,1961,10.719
ALB,1962,10.175
ALB,1963,9.707
ALB,1964,9.32
ALB,1965,9.009
ALB,1966,8.762
ALB,1967,8.555
ALB,1968,8.366
ALB,1969,8.184
ALB,1970,7.996
ALB,1971,7.798
ALB,1972,7.591
ALB,1973,7.382
ALB,1974,7.173
ALB,1975,6.971
ALB,1976,6.784
ALB,1977,6.621
ALB,1978,6.485
ALB,1979,6.378
ALB,1980,6.291
ALB,1981,6.215
ALB,1982,6.14
ALB,1983,6.061
ALB,1984,5.98
ALB,1985,5.907
ALB,1986,5.855
ALB,1987,5.836
ALB,1988,5.855
ALB,1989,5.908
ALB,1990,5.985
ALB,1991,6.073
ALB,1992,6.155
ALB,1993,6.216
ALB,1994,6.25
ALB,1995,6.25
ALB,1996,6.213
ALB,1997,6.147
ALB,1998,6.067
ALB,1999,5.983
ALB,2000,5.914
ALB,2001,5.879
