LOCATION,TIME,"Population, total","Immunization, DPT (% of children ages 12-23 months)"
AFG,1960,8996973,0
AFG,1961,9169410,0
AFG,1962,9351441,0
AFG,1963,9543205,0
AFG,1964,9744781,0
AFG,1965,9956320,0
AFG,1966,10174836,0
AFG,1967,10399926,0
AFG,1968,10637063,0
AFG,1969,10893776,0
AFG,1970,11173642,0
AFG,1971,11475445,0
AFG,1972,11791215,0
AFG,1973,12108963,0
AFG,1974,12412950,0
AFG,1975,12689160,0
AFG,1976,12943093,0
AFG,1977,13171306,0
AFG,1978,13341198,0
AFG,1979,13411056,0
AFG,1980,13356511,4
AFG,1981,13171673,3
AFG,1982,12882528,5
AFG,1983,12537730,5
AFG,1984,12204292,16
AFG,1985,11938208,15
AFG,1986,11736179,11
AFG,1987,11604534,25
AFG,1988,11618005,35
AFG,1989,11868877,33
AFG,1990,12412308,25
AFG,1991,13299017,23
AFG,1992,14485546,21
AFG,1993,15816603,18
AFG,1994,17075727,12
AFG,1995,18110657,20
AFG,1996,18853437,31
AFG,1997,19357126,28
AFG,1998,19737765,27
AFG,1999,20170844,27
AFG,2000,20779953,24
AFG,2001,21606988,33
AFG,2002,22600770,36
AFG,2003,23680871,41
AFG,2004,24726684,50
AFG,2005,25654277,58
AFG,2006,26433049,58
AFG,2007,27100536,63
AFG,2008,27722276,64
AFG,2009,28394813,63
AFG,2010,29185507,66
AFG,2011,30117413,68
AFG,2012,31161376,67
AFG,2013,32269589,64
AFG,2014,33370794,62
AFG,2015,34413603,65
AFG,2016,35383128,66
AFG,2017,36296400,66
AFG,2018,37172386,66
AFG,2019,38041754,66
AFG,2020,0,0
ALB,1960,1608800,0
ALB,1961,1659800,0
ALB,1962,1711319,0
ALB,1963,1762621,0
ALB,1964,1814135,0
ALB,1965,1864791,0
ALB,1966,1914573,0
ALB,1967,1965598,0
ALB,1968,2022272,0
ALB,1969,2081695,0
ALB,1970,2135479,0
ALB,1971,2187853,0
ALB,1972,2243126,0
ALB,1973,2296752,0
ALB,1974,2350124,0
ALB,1975,2404831,0
ALB,1976,2458526,0
ALB,1977,2513546,0
