LOCATION,TIME,"Life expectancy at birth, total (years)"
AFG,1960,32.446
AFG,1961,32.962
AFG,1962,33.471
AFG,1963,33.971
AFG,1964,34.463
AFG,1965,34.948
AFG,1966,35.43
AFG,1967,35.914
AFG,1968,36.403
AFG,1969,36.9
AFG,1970,37.409
AFG,1971,37.93
AFG,1972,38.461
AFG,1973,39.003
AFG,1974,39.558
AFG,1975,40.128
AFG,1976,40.715
AFG,1977,41.32
AFG,1978,41.944
AFG,1979,42.585
AFG,1980,43.244
AFG,1981,43.923
AFG,1982,44.617
AFG,1983,45.324
AFG,1984,46.04
AFG,1985,46.761
AFG,1986,47.486
AFG,1987,48.211
AFG,1988,48.93
AFG,1989,49.64
AFG,1990,50.331
AFG,1991,50.999
AFG,1992,51.641
AFG,1993,52.256
AFG,1994,52.842
AFG,1995,53.398
AFG,1996,53.924
AFG,1997,54.424
AFG,1998,54.906
AFG,1999,55.376
AFG,2000,55.841
AFG,2001,56.308
AFG,2002,56.784
AFG,2003,57.271
AFG,2004,57.772
AFG,2005,58.29
AFG,2006,58.826
AFG,2007,59.375
AFG,2008,59.93
AFG,2009,60.484
AFG,2010,61.028
AFG,2011,61.553
AFG,2012,62.054
AFG,2013,62.525
AFG,2014,62.966
AFG,2015,63.377
AFG,2016,63.763
AFG,2017,64.13
AFG,2018,64.486
AFG,2019,0
AFG,2020,0
ALB,1960,62.283
ALB,1961,63.301
ALB,1962,64.19
ALB,1963,64.914
ALB,1964,65.463
ALB,1965,65.85
ALB,1966,66.11
ALB,1967,66.304
ALB,1968,66.487
ALB,1969,66.689
ALB,1970,66.935
ALB,1971,67.237
ALB,1972,67.582
ALB,1973,67.953
ALB,1974,68.343
ALB,1975,68.736
ALB,1976,69.11
ALB,1977,69.448
ALB,1978,69.742
ALB,1979,69.991
ALB,1980,70.208
ALB,1981,70.416
ALB,1982,70.635
ALB,1983,70.876
ALB,1984,71.134
ALB,1985,71.388
ALB,1986,71.605
ALB,1987,71.76
ALB,1988,71.843
ALB,1989,71.86
ALB,1990,71.836
ALB,1991,71.803
ALB,1992,71.802
ALB,1993,71.86
ALB,1994,71.992
ALB,1995,72.205
ALB,1996,72.495
ALB,1997,72.838
ALB,1998,73.208
ALB,1999,73.587
ALB,2000,73.955
ALB,2001,74.288
ALB,2002,74.579
ALB,2003,74.828
ALB,2004,75.039
ALB,2005,75.228
ALB,2006,75.423
ALB,2007,75.646
ALB,2008,75.912
ALB,2009,76.221
ALB,2010,76.562
ALB,2011,76.914
ALB,2012,77.252
ALB,2013,77.554
ALB,2014,77.813
ALB,2015,78.025
ALB,2016,78.194
ALB,2017,78.333
ALB,2018,78.458
ALB,2019,0
ALB,2020,0
DZA,1960,46.141
DZA,1961,46.599
DZA,1962,47.056
DZA,1963,47.509
DZA,1964,47.958
DZA,1965,48.394
DZA,1966,48.811
DZA,1967,49.21
DZA,1968,49.597
DZA,1969,49.982
DZA,1970,50.372
DZA,1971,50.773
DZA,1972,51.201
DZA,1973,51.676
DZA,1974,52.218
DZA,1975,52.866
DZA,1976,53.661
DZA,1977,54.609
DZA,1978,55.7
DZA,1979,56.909
DZA,1980,58.198
DZA,1981,59.519
DZA,1982,60.813
DZA,1983,62.029
DZA,1984,63.13
DZA,1985,64.087
DZA,1986,64.884
DZA,1987,65.545
DZA,1988,66.097
DZA,1989,66.554
DZA,1990,66.938
DZA,1991,67.27
DZA,1992,67.575
DZA,1993,67.877
DZA,1994,68.194
DZA,1995,68.54
DZA,1996,68.919
DZA,1997,69.323
DZA,1998,69.745
DZA,1999,70.183
DZA,2000,70.64
DZA,2001,71.116
DZA,2002,71.605
DZA,2003,72.101
DZA,2004,72.594
DZA,2005,73.072
DZA,2006,73.521
DZA,2007,73.936
DZA,2008,74.311
DZA,2009,74.644
DZA,2010,74.938
DZA,2011,75.199
DZA,2012,75.436
DZA,2013,75.661
DZA,2014,75.878
DZA,2015,76.09
DZA,2016,76.298
DZA,2017,76.499
DZA,2018,76.693
DZA,2019,0
DZA,2020,0
ASM,1960,0
ASM,1961,0
ASM,1962,0
ASM,1963,0
ASM,1964,0
ASM,1965,0
ASM,1966,0
ASM,1967,0
ASM,1968,0
ASM,1969,0
ASM,1970,0
ASM,1971,0
ASM,1972,0
ASM,1973,0
ASM,1974,0
ASM,1975,0
ASM,1976,0
ASM,1977,0
ASM,1978,0
ASM,1979,0
ASM,1980,0
ASM,1981,0
ASM,1982,0
ASM,1983,0
ASM,1984,0
ASM,1985,0
ASM,1986,0
ASM,1987,0
ASM,1988,0
ASM,1989,0
ASM,1990,0
ASM,1991,0
ASM,1992,0
ASM,1993,0
ASM,1994,0
ASM,1995,0
ASM,1996,0
ASM,1997,0
ASM,1998,0
ASM,1999,0
ASM,2000,0
ASM,2001,0
ASM,2002,0
ASM,2003,0
ASM,2004,0
ASM,2005,0
ASM,2006,0
ASM,2007,0
ASM,2008,0
ASM,2009,0
ASM,2010,0
ASM,2011,0
ASM,2012,0
ASM,2013,0
ASM,2014,0
ASM,2015,0
ASM,2016,0
ASM,2017,0
ASM,2018,0
ASM,2019,0
ASM,2020,0
AND,1960,0
AND,1961,0
AND,1962,0
AND,1963,0
AND,1964,0
AND,1965,0
AND,1966,0
AND,1967,0
AND,1968,0
AND,1969,0
AND,1970,0
AND,1971,0
AND,1972,0
AND,1973,0
AND,1974,0
AND,1975,0
AND,1976,0
AND,1977,0
AND,1978,0
AND,1979,0
AND,1980,0
AND,1981,0
AND,1982,0
AND,1983,0
AND,1984,0
AND,1985,0
AND,1986,0
AND,1987,0
AND,1988,0
AND,1989,0
AND,1990,0
AND,1991,0
AND,1992,0
AND,1993,0
AND,1994,0
AND,1995,0
AND,1996,0
AND,1997,0
AND,1998,0
AND,1999,0
AND,2000,0
AND,2001,0
AND,2002,0
AND,2003,0
AND,2004,0
AND,2005,0
AND,2006,0
AND,2007,0
AND,2008,0
AND,2009,0
AND,2010,0
AND,2011,0
AND,2012,0
AND,2013,0
AND,2014,0
AND,2015,0
AND,2016,0
AND,2017,0
AND,2018,0
AND,2019,0
AND,2020,0
AGO,1960,37.524
AGO,1961,37.811
AGO,1962,38.113
AGO,1963,38.43
AGO,1964,38.76
AGO,1965,39.102
AGO,1966,39.454
AGO,1967,39.813
AGO,1968,40.178
AGO,1969,40.546
AGO,1970,40.914
AGO,1971,41.282
AGO,1972,41.65
AGO,1973,42.016
AGO,1974,42.374
AGO,1975,42.721
AGO,1976,43.053
AGO,1977,43.367
AGO,1978,43.66
AGO,1979,43.931
AGO,1980,44.178
AGO,1981,44.404
AGO,1982,44.611
AGO,1983,44.799
AGO,1984,44.966
AGO,1985,45.107
AGO,1986,45.213
AGO,1987,45.283
AGO,1988,45.317
AGO,1989,45.324
AGO,1990,45.306
AGO,1991,45.271
AGO,1992,45.23
AGO,1993,45.201
AGO,1994,45.201
AGO,1995,45.246
AGO,1996,45.35
AGO,1997,45.519
AGO,1998,45.763
AGO,1999,46.093
AGO,2000,46.522
AGO,2001,47.059
AGO,2002,47.702
AGO,2003,48.44
AGO,2004,49.263
AGO,2005,50.165
AGO,2006,51.143
AGO,2007,52.177
AGO,2008,53.243
AGO,2009,54.311
AGO,2010,55.35
AGO,2011,56.33
AGO,2012,57.236
AGO,2013,58.054
AGO,2014,58.776
AGO,2015,59.398
AGO,2016,59.925
AGO,2017,60.379
AGO,2018,60.782
AGO,2019,0
AGO,2020,0
ATG,1960,61.968
ATG,1961,62.523
ATG,1962,63.049
ATG,1963,63.54
ATG,1964,63.992
ATG,1965,64.401
ATG,1966,64.762
ATG,1967,65.081
ATG,1968,65.363
ATG,1969,65.616
ATG,1970,65.847
ATG,1971,66.066
ATG,1972,66.28
ATG,1973,66.498
ATG,1974,66.727
ATG,1975,66.975
ATG,1976,67.244
ATG,1977,67.533
ATG,1978,67.837
ATG,1979,68.154
ATG,1980,68.482
ATG,1981,68.818
ATG,1982,69.156
ATG,1983,69.491
ATG,1984,69.82
ATG,1985,70.137
ATG,1986,70.44
ATG,1987,70.728
ATG,1988,71.004
ATG,1989,71.267
ATG,1990,71.52
ATG,1991,71.765
ATG,1992,72.006
ATG,1993,72.247
ATG,1994,72.489
ATG,1995,72.732
ATG,1996,72.977
ATG,1997,73.222
ATG,1998,73.465
ATG,1999,73.705
ATG,2000,73.94
ATG,2001,74.171
ATG,2002,74.395
ATG,2003,74.613
ATG,2004,74.821
ATG,2005,75.019
ATG,2006,75.204
ATG,2007,75.376
ATG,2008,75.535
ATG,2009,75.683
ATG,2010,75.823
ATG,2011,75.956
ATG,2012,76.087
ATG,2013,76.218
ATG,2014,76.349
ATG,2015,76.483
ATG,2016,76.617
ATG,2017,76.752
ATG,2018,76.885
ATG,2019,0
ATG,2020,0
ARG,1960,65.055
ARG,1961,65.176
ARG,1962,65.269
ARG,1963,65.348
ARG,1964,65.426
ARG,1965,65.518
ARG,1966,65.64
ARG,1967,65.796
ARG,1968,65.989
ARG,1969,66.219
ARG,1970,66.483
ARG,1971,66.774
ARG,1972,67.078
ARG,1973,67.383
ARG,1974,67.686
ARG,1975,67.985
ARG,1976,68.283
ARG,1977,68.585
ARG,1978,68.891
ARG,1979,69.197
ARG,1980,69.496
ARG,1981,69.777
ARG,1982,70.033
ARG,1983,70.262
ARG,1984,70.466
ARG,1985,70.65
ARG,1986,70.825
ARG,1987,71.001
ARG,1988,71.186
ARG,1989,71.384
ARG,1990,71.594
ARG,1991,71.813
ARG,1992,72.032
ARG,1993,72.246
ARG,1994,72.453
ARG,1995,72.651
ARG,1996,72.843
ARG,1997,73.029
ARG,1998,73.213
ARG,1999,73.396
ARG,2000,73.576
ARG,2001,73.755
ARG,2002,73.932
ARG,2003,74.107
ARG,2004,74.28
ARG,2005,74.451
ARG,2006,74.62
ARG,2007,74.787
ARG,2008,74.952
ARG,2009,75.116
ARG,2010,75.278
ARG,2011,75.439
ARG,2012,75.598
ARG,2013,75.756
ARG,2014,75.913
ARG,2015,76.068
ARG,2016,76.221
ARG,2017,76.372
ARG,2018,76.52
ARG,2019,0
ARG,2020,0
ARM,1960,65.972
ARM,1961,66.403
ARM,1962,66.838
ARM,1963,67.277
ARM,1964,67.716
ARM,1965,68.153
ARM,1966,68.588
ARM,1967,69.016
ARM,1968,69.427
ARM,1969,69.809
ARM,1970,70.144
ARM,1971,70.412
ARM,1972,70.605
ARM,1973,70.723
ARM,1974,70.775
ARM,1975,70.783
ARM,1976,70.783
ARM,1977,70.798
ARM,1978,70.838
ARM,1979,70.897
ARM,1980,70.937
ARM,1981,70.91
ARM,1982,70.776
ARM,1983,70.519
ARM,1984,70.15
ARM,1985,69.698
ARM,1986,69.205
ARM,1987,68.732
ARM,1988,68.332
ARM,1989,68.038
ARM,1990,67.879
ARM,1991,67.87
ARM,1992,67.99
ARM,1993,68.218
ARM,1994,68.538
ARM,1995,68.938
ARM,1996,69.404
ARM,1997,69.912
ARM,1998,70.434
ARM,1999,70.944
ARM,2000,71.409
ARM,2001,71.8
ARM,2002,72.112
ARM,2003,72.348
ARM,2004,72.513
ARM,2005,72.626
ARM,2006,72.716
ARM,2007,72.815
ARM,2008,72.946
ARM,2009,73.118
ARM,2010,73.331
ARM,2011,73.572
ARM,2012,73.82
ARM,2013,74.056
ARM,2014,74.273
ARM,2015,74.467
ARM,2016,74.64
ARM,2017,74.797
ARM,2018,74.945
ARM,2019,0
ARM,2020,0
ABW,1960,65.662
ABW,1961,66.074
ABW,1962,66.444
ABW,1963,66.787
ABW,1964,67.113
ABW,1965,67.435
ABW,1966,67.762
ABW,1967,68.095
ABW,1968,68.436
ABW,1969,68.784
ABW,1970,69.14
ABW,1971,69.498
ABW,1972,69.851
ABW,1973,70.191
ABW,1974,70.519
ABW,1975,70.833
ABW,1976,71.14
ABW,1977,71.441
ABW,1978,71.736
ABW,1979,72.023
ABW,1980,72.293
ABW,1981,72.538
ABW,1982,72.751
ABW,1983,72.929
ABW,1984,73.071
ABW,1985,73.181
ABW,1986,73.262
ABW,1987,73.325
ABW,1988,73.378
ABW,1989,73.425
ABW,1990,73.468
ABW,1991,73.509
ABW,1992,73.544
ABW,1993,73.573
ABW,1994,73.598
ABW,1995,73.622
ABW,1996,73.646
ABW,1997,73.671
ABW,1998,73.7
ABW,1999,73.738
ABW,2000,73.787
ABW,2001,73.853
ABW,2002,73.937
ABW,2003,74.038
ABW,2004,74.156
ABW,2005,74.287
ABW,2006,74.429
ABW,2007,74.576
ABW,2008,74.725
ABW,2009,74.872
ABW,2010,75.017
ABW,2011,75.158
ABW,2012,75.299
ABW,2013,75.441
ABW,2014,75.583
ABW,2015,75.725
ABW,2016,75.868
ABW,2017,76.01
ABW,2018,76.152
ABW,2019,0
ABW,2020,0
AUS,1960,70.81707317
AUS,1961,70.97317073
AUS,1962,70.94243902
AUS,1963,70.91170732
AUS,1964,70.88097561
AUS,1965,70.8502439
AUS,1966,70.8195122
AUS,1967,70.86926829
AUS,1968,70.91902439
AUS,1969,70.96878049
AUS,1970,71.01853659
AUS,1971,71.06829268
AUS,1972,71.45756098
AUS,1973,71.84682927
AUS,1974,72.23609756
AUS,1975,72.62536585
AUS,1976,73.01463415
AUS,1977,73.34439024
AUS,1978,73.67414634
AUS,1979,74.00390244
AUS,1980,74.33365854
AUS,1981,74.66341463
AUS,1982,74.90487805
AUS,1983,75.14634146
AUS,1984,75.38780488
AUS,1985,75.62926829
AUS,1986,75.87073171
AUS,1987,76.15170732
AUS,1988,76.43268293
AUS,1989,76.71365854
AUS,1990,76.99463415
AUS,1991,77.27560976
AUS,1992,77.37804878
AUS,1993,77.87804878
AUS,1994,77.87804878
AUS,1995,77.82926829
AUS,1996,78.07804878
AUS,1997,78.4804878
AUS,1998,78.63170732
AUS,1999,78.93170732
AUS,2000,79.23414634
AUS,2001,79.63414634
AUS,2002,79.93658537
AUS,2003,80.23902439
AUS,2004,80.4902439
AUS,2005,80.84146341
AUS,2006,81.04146341
AUS,2007,81.29268293
AUS,2008,81.39512195
AUS,2009,81.54390244
AUS,2010,81.69512195
AUS,2011,81.89512195
AUS,2012,82.04634146
AUS,2013,82.14878049
AUS,2014,82.3
AUS,2015,82.4
AUS,2016,82.44878049
AUS,2017,82.5
AUS,2018,82.74878049
AUS,2019,0
AUS,2020,0
AUT,1960,68.58560976
AUT,1961,69.57731707
AUT,1962,69.3095122
AUT,1963,69.44365854
AUT,1964,69.92195122
AUT,1965,69.72219512
AUT,1966,70.04585366
AUT,1967,69.91780488
AUT,1968,70.05756098
AUT,1969,69.83317073
AUT,1970,69.91463415
AUT,1971,70.11463415
AUT,1972,70.46341463
AUT,1973,71.01463415
AUT,1974,71.01219512
AUT,1975,71.11463415
AUT,1976,71.56585366
AUT,1977,71.91463415
AUT,1978,72.01219512
AUT,1979,72.31219512
AUT,1980,72.46341463
AUT,1981,72.81219512
AUT,1982,72.96097561
AUT,1983,73.01219512
AUT,1984,73.61219512
AUT,1985,73.81463415
AUT,1986,74.31707317
AUT,1987,74.76829268
AUT,1988,75.21707317
AUT,1989,75.26585366
AUT,1990,75.56829268
AUT,1991,75.61707317
AUT,1992,75.81707317
AUT,1993,76.06829268
AUT,1994,76.4195122
AUT,1995,76.66829268
AUT,1996,76.87073171
AUT,1997,77.3195122
AUT,1998,77.67073171
AUT,1999,77.87560976
AUT,2000,78.12682927
AUT,2001,78.57560976
AUT,2002,78.67804878
AUT,2003,78.63170732
AUT,2004,79.1804878
AUT,2005,79.33170732
AUT,2006,79.8804878
AUT,2007,80.1804878
AUT,2008,80.43170732
AUT,2009,80.33170732
AUT,2010,80.5804878
AUT,2011,80.98292683
AUT,2012,80.93658537
AUT,2013,81.13658537
AUT,2014,81.4902439
AUT,2015,81.1902439
AUT,2016,81.64146341
AUT,2017,81.64390244
AUT,2018,81.69268293
AUT,2019,0
AUT,2020,0
AZE,1960,61.034
AZE,1961,61.256
AZE,1962,61.469
AZE,1963,61.679
AZE,1964,61.889
AZE,1965,62.104
AZE,1966,62.322
AZE,1967,62.539
AZE,1968,62.75
AZE,1969,62.953
AZE,1970,63.141
AZE,1971,63.31
AZE,1972,63.457
AZE,1973,63.582
AZE,1974,63.687
AZE,1975,63.776
AZE,1976,63.852
AZE,1977,63.921
AZE,1978,63.992
AZE,1979,64.069
AZE,1980,64.161
AZE,1981,64.28
AZE,1982,64.425
AZE,1983,64.587
AZE,1984,64.759
AZE,1985,64.913
AZE,1986,65.016
AZE,1987,65.053
AZE,1988,65.021
AZE,1989,64.935
AZE,1990,64.827
AZE,1991,64.745
AZE,1992,64.731
AZE,1993,64.81
AZE,1994,64.991
AZE,1995,65.256
AZE,1996,65.573
AZE,1997,65.899
AZE,1998,66.207
AZE,1999,66.491
AZE,2000,66.763
AZE,2001,67.054
AZE,2002,67.391
AZE,2003,67.791
AZE,2004,68.249
AZE,2005,68.747
AZE,2006,69.259
AZE,2007,69.752
AZE,2008,70.201
AZE,2009,70.597
AZE,2010,70.938
AZE,2011,71.234
AZE,2012,71.506
AZE,2013,71.768
AZE,2014,72.022
AZE,2015,72.266
AZE,2016,72.493
AZE,2017,72.693
AZE,2018,72.864
AZE,2019,0
AZE,2020,0
BHS,1960,64.74
BHS,1961,64.885
