Code,Year,Prevalence of obesity (both sexes) - WHO (2019)
AFG,1975,0.5
AFG,1976,0.5
AFG,1977,0.6
AFG,1978,0.6
AFG,1979,0.6
AFG,1980,0.7
AFG,1981,0.7
AFG,1982,0.8
AFG,1983,0.8
AFG,1984,0.9
AFG,1985,1
AFG,1986,1
AFG,1987,1.1
AFG,1988,1.2
AFG,1989,1.2
AFG,1990,1.3
AFG,1991,1.4
AFG,1992,1.5
AFG,1993,1.5
AFG,1994,1.6
AFG,1995,1.7
AFG,1996,1.8
AFG,1997,1.9
AFG,1998,2.1
AFG,1999,2.2
AFG,2000,2.3
AFG,2001,2.4
AFG,2002,2.6
AFG,2003,2.7
AFG,2004,2.9
AFG,2005,3
AFG,2006,3.2
AFG,2007,3.4
AFG,2008,3.6
AFG,2009,3.8
AFG,2010,4
AFG,2011,4.2
AFG,2012,4.4
AFG,2013,4.7
AFG,2014,4.9
AFG,2015,5.2
AFG,2016,5.5
,1975,2
,1976,2.1
,1977,2.2
,1978,2.3
,1979,2.3
,1980,2.5
,1981,2.6
,1982,2.7
,1983,2.8
,1984,2.9
,1985,3.1
,1986,3.2
,1987,3.4
,1988,3.5
,1989,3.7
,1990,3.9
,1991,4
,1992,4.2
,1993,4.4
,1994,4.6
,1995,4.8
,1996,5.1
,1997,5.3
,1998,5.5
,1999,5.8
,2000,6
,2001,6.2
,2002,6.5
,2003,6.7
,2004,7
,2005,7.3
,2006,7.6
,2007,7.8
,2008,8.1
,2009,8.4
,2010,8.7
,2011,9
,2012,9.3
,2013,9.6
,2014,9.9
,2015,10.3
,2016,10.6
ALB,1975,6.5
ALB,1976,6.7
ALB,1977,6.8
ALB,1978,7
ALB,1979,7.2
ALB,1980,7.4
ALB,1981,7.6
ALB,1982,7.8
ALB,1983,8
ALB,1984,8.3
ALB,1985,8.5
ALB,1986,8.7
ALB,1987,9
ALB,1988,9.3
ALB,1989,9.5
ALB,1990,9.8
ALB,1991,10.1
ALB,1992,10.4
ALB,1993,10.7
ALB,1994,11
ALB,1995,11.3
ALB,1996,11.7
ALB,1997,12
ALB,1998,12.4
ALB,1999,12.8
ALB,2000,13.2
ALB,2001,13.6
ALB,2002,14
ALB,2003,14.5
ALB,2004,14.9
ALB,2005,15.4
ALB,2006,16
ALB,2007,16.5
ALB,2008,17
ALB,2009,17.6
ALB,2010,18.2
ALB,2011,18.8
ALB,2012,19.3
ALB,2013,19.9
ALB,2014,20.5
