Code,Year,total_all_cancers
AFG,1990,9361.15672
AFG,1991,9462.417022
AFG,1992,9843.319829
AFG,1993,10321.10865
AFG,1994,10639.99152
AFG,1995,10849.18254
AFG,1996,11021.744
AFG,1997,11214.23859
AFG,1998,11373.99126
AFG,1999,11517.59939
AFG,2000,11680.14423
AFG,2001,11890.48518
AFG,2002,12102.68925
AFG,2003,12537.96157
AFG,2004,12770.78286
AFG,2005,12918.02309
AFG,2006,13018.81012
AFG,2007,13100.29607
AFG,2008,13218.546
AFG,2009,13280.76646
AFG,2010,13435.34718
AFG,2011,13629.4659
AFG,2012,13803.91585
AFG,2013,14116.4776
AFG,2014,14369.73294
AFG,2015,14542.25657
AFG,2016,14849.64524
AFG,2017,15235.57766
ALB,1990,2156.723302
ALB,1991,2268.298945
ALB,1992,2256.866467
ALB,1993,2231.71087
ALB,1994,2184.918505
ALB,1995,2259.561629
ALB,1996,2400.369791
ALB,1997,2531.226035
ALB,1998,2681.990048
ALB,1999,2795.269822
ALB,2000,2795.026939
ALB,2001,2825.243668
ALB,2002,2903.686805
ALB,2003,2982.753026
ALB,2004,3038.727385
ALB,2005,3062.291028
ALB,2006,3108.709673
ALB,2007,3128.991985
ALB,2008,3222.395623
ALB,2009,3251.954963
ALB,2010,3304.721549
ALB,2011,3409.993
ALB,2012,3497.076363
ALB,2013,3596.949834
ALB,2014,3715.688534
ALB,2015,3802.585844
ALB,2016,3890.94537
ALB,2017,3967.342603
DZA,1990,8317.375766
DZA,1991,8590.681258
DZA,1992,8837.365785
DZA,1993,9100.95142
DZA,1994,9343.374855
DZA,1995,9639.655689
DZA,1996,9880.17326
DZA,1997,10154.8671
DZA,1998,10396.88183
DZA,1999,10765.48945
DZA,2000,11124.36438
DZA,2001,11509.99705
DZA,2002,11946.07577
DZA,2003,12423.62243
DZA,2004,12910.95326
DZA,2005,13394.76524
DZA,2006,13868.04268
DZA,2007,14364.74106
DZA,2008,14874.8412
DZA,2009,15436.5653
DZA,2010,15880.83089
DZA,2011,16204.56593
DZA,2012,16553.99083
DZA,2013,16958.29851
DZA,2014,17424.34616
DZA,2015,17920.34189
DZA,2016,18400.57992
DZA,2017,18956.84293
ASM,1990,28.89137545
ASM,1991,29.85638067
ASM,1992,30.63872087
ASM,1993,31.19096455
ASM,1994,31.90131448
ASM,1995,32.6451272
ASM,1996,33.2696319
ASM,1997,33.80720455
ASM,1998,34.74074477
ASM,1999,34.91713643
ASM,2000,35.63908172
ASM,2001,36.39016491
ASM,2002,37.1150341
ASM,2003,38.43755887
ASM,2004,39.88731096
ASM,2005,41.21884027
ASM,2006,42.56806623
ASM,2007,43.52269784
ASM,2008,44.32576125
ASM,2009,45.50081123
ASM,2010,46.32664949
ASM,2011,47.77429351
ASM,2012,48.95437441
ASM,2013,50.33058158
ASM,2014,51.29295154
ASM,2015,52.68845179
ASM,2016,53.68409447
ASM,2017,54.79151672
,1990,23087.60858
,1991,23695.70197
,1992,25234.78308
,1993,26254.65409
,1994,27078.83552
,1995,28137.6128
,1996,29027.0761
,1997,29904.85261
,1998,31193.1037
,1999,31818.4641
,2000,32855.83668
,2001,33120.19034
,2002,34851.80816
,2003,36610.00668
,2004,37649.46833
,2005,38862.62959
,2006,39649.54487
,2007,40620.10898
,2008,42305.71551
,2009,44571.33382
,2010,45910.19216
,2011,46739.75183
,2012,47305.96639
,2013,47665.15291
,2014,48084.50233
,2015,48837.87846
,2016,50485.62314
,2017,52012.58071
AND,1990,77.64075466
AND,1991,82.40224752
AND,1992,87.7524253
AND,1993,94.22872859
AND,1994,97.56301457
AND,1995,99.48706215
AND,1996,101.5933025
AND,1997,103.9813382
AND,1998,106.3464722
AND,1999,108.633941
AND,2000,112.0133281
AND,2001,115.3778404
AND,2002,119.5180172
AND,2003,124.6916435
AND,2004,129.4362052
AND,2005,131.6548843
AND,2006,135.4879589
AND,2007,140.6221074
AND,2008,145.774487
AND,2009,150.6535434
AND,2010,153.8231166
AND,2011,141.7496212
AND,2012,138.4930511
AND,2013,141.3132496
AND,2014,144.9057939
AND,2015,148.805899
AND,2016,152.7060384
AND,2017,158.6947817
AGO,1990,5222.719756
AGO,1991,5378.44752
AGO,1992,5553.774708
AGO,1993,5783.07099
AGO,1994,5996.254049
AGO,1995,6114.304552
AGO,1996,6040.138007
AGO,1997,6106.237014
AGO,1998,6573.290242
AGO,1999,6590.286602
AGO,2000,6699.59754
AGO,2001,6777.057397
AGO,2002,6921.007528
AGO,2003,7147.137695
AGO,2004,7452.44031
AGO,2005,7551.296363
AGO,2006,7748.627692
AGO,2007,7893.6798
AGO,2008,8145.433473
AGO,2009,8377.02775
AGO,2010,8652.841433
AGO,2011,8951.030027
AGO,2012,9282.262682
AGO,2013,9591.630307
AGO,2014,9753.433416
AGO,2015,10155.90158
AGO,2016,10530.76652
AGO,2017,10933.14961
ATG,1990,59.8725128
ATG,1991,60.49203483
ATG,1992,62.01366553
ATG,1993,63.71619437
ATG,1994,65.97706186
ATG,1995,67.71902497
ATG,1996,69.64403342
ATG,1997,71.93598518
ATG,1998,73.82219342
ATG,1999,76.64369437
ATG,2000,79.816201
ATG,2001,80.77395923
ATG,2002,82.51161982
ATG,2003,83.19062521
ATG,2004,84.19876019
ATG,2005,84.65840027
ATG,2006,86.51954772
ATG,2007,87.98694146
ATG,2008,89.5292112
ATG,2009,91.34241398
ATG,2010,93.67477132
ATG,2011,96.12100071
ATG,2012,99.1953163
ATG,2013,101.2355982
ATG,2014,104.368807
ATG,2015,106.5147175
ATG,2016,109.2744643
ATG,2017,112.0362921
ARG,1990,49486.04542
ARG,1991,50081.22921
ARG,1992,51714.56842
ARG,1993,52011.05841
ARG,1994,52335.08219
ARG,1995,53144.99799
ARG,1996,54735.61863
