LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PPP,TOT,NATUSD,A,2000,1.311473,
AUS,PPP,TOT,NATUSD,A,2001,1.326806,
AUS,PPP,TOT,NATUSD,A,2002,1.33649,
AUS,PPP,TOT,NATUSD,A,2003,1.353924,
AUS,PPP,TOT,NATUSD,A,2004,1.366397,
AUS,PPP,TOT,NATUSD,A,2005,1.388356,
AUS,PPP,TOT,NATUSD,A,2006,1.404001,
AUS,PPP,TOT,NATUSD,A,2007,1.427582,
AUS,PPP,TOT,NATUSD,A,2008,1.479073,
AUS,PPP,TOT,NATUSD,A,2009,1.441497,
AUS,PPP,TOT,NATUSD,A,2010,1.502766,
AUS,PPP,TOT,NATUSD,A,2011,1.511052,
AUS,PPP,TOT,NATUSD,A,2012,1.540115,
AUS,PPP,TOT,NATUSD,A,2013,1.447123,
AUS,PPP,TOT,NATUSD,A,2014,1.452489,
AUS,PPP,TOT,NATUSD,A,2015,1.473691,
AUS,PPP,TOT,NATUSD,A,2016,1.450156,
AUS,PPP,TOT,NATUSD,A,2017,1.472981,
AUS,PPP,TOT,NATUSD,A,2018,1.439831,
AUS,PPP,TOT,NATUSD,A,2019,1.442175,
AUT,PPP,TOT,NATUSD,A,2000,0.907226,
AUT,PPP,TOT,NATUSD,A,2001,0.922769,
AUT,PPP,TOT,NATUSD,A,2002,0.899797,
AUT,PPP,TOT,NATUSD,A,2003,0.889084,
AUT,PPP,TOT,NATUSD,A,2004,0.878806,
AUT,PPP,TOT,NATUSD,A,2005,0.881939,
AUT,PPP,TOT,NATUSD,A,2006,0.861176,
AUT,PPP,TOT,NATUSD,A,2007,0.869233,
AUT,PPP,TOT,NATUSD,A,2008,0.854424,
AUT,PPP,TOT,NATUSD,A,2009,0.843111,
AUT,PPP,TOT,NATUSD,A,2010,0.841548,
AUT,PPP,TOT,NATUSD,A,2011,0.831374,
AUT,PPP,TOT,NATUSD,A,2012,0.813648,
AUT,PPP,TOT,NATUSD,A,2013,0.797081,
AUT,PPP,TOT,NATUSD,A,2014,0.798797,
AUT,PPP,TOT,NATUSD,A,2015,0.798813,
AUT,PPP,TOT,NATUSD,A,2016,0.776931,
AUT,PPP,TOT,NATUSD,A,2017,0.772542,
AUT,PPP,TOT,NATUSD,A,2018,0.740694,
AUT,PPP,TOT,NATUSD,A,2019,0.741282,
BEL,PPP,TOT,NATUSD,A,2000,0.899723,
BEL,PPP,TOT,NATUSD,A,2001,0.892244,
BEL,PPP,TOT,NATUSD,A,2002,0.8733,
BEL,PPP,TOT,NATUSD,A,2003,0.877016,
BEL,PPP,TOT,NATUSD,A,2004,0.889063,
BEL,PPP,TOT,NATUSD,A,2005,0.891788,
BEL,PPP,TOT,NATUSD,A,2006,0.87544,
BEL,PPP,TOT,NATUSD,A,2007,0.880041,
BEL,PPP,TOT,NATUSD,A,2008,0.86694,
BEL,PPP,TOT,NATUSD,A,2009,0.849484,
BEL,PPP,TOT,NATUSD,A,2010,0.835934,
BEL,PPP,TOT,NATUSD,A,2011,0.831911,
BEL,PPP,TOT,NATUSD,A,2012,0.822137,
BEL,PPP,TOT,NATUSD,A,2013,0.806166,
BEL,PPP,TOT,NATUSD,A,2014,0.800214,
BEL,PPP,TOT,NATUSD,A,2015,0.799998,
BEL,PPP,TOT,NATUSD,A,2016,0.781011,
BEL,PPP,TOT,NATUSD,A,2017,0.773165,
BEL,PPP,TOT,NATUSD,A,2018,0.741613,
BEL,PPP,TOT,NATUSD,A,2019,0.735893,
CAN,PPP,TOT,NATUSD,A,2000,1.227563,
CAN,PPP,TOT,NATUSD,A,2001,1.221139,
CAN,PPP,TOT,NATUSD,A,2002,1.229333,
CAN,PPP,TOT,NATUSD,A,2003,1.226338,
CAN,PPP,TOT,NATUSD,A,2004,1.233195,
CAN,PPP,TOT,NATUSD,A,2005,1.213644,
CAN,PPP,TOT,NATUSD,A,2006,1.205778,
CAN,PPP,TOT,NATUSD,A,2007,1.212706,
CAN,PPP,TOT,NATUSD,A,2008,1.23439,
CAN,PPP,TOT,NATUSD,A,2009,1.201369,
CAN,PPP,TOT,NATUSD,A,2010,1.221371,
CAN,PPP,TOT,NATUSD,A,2011,1.239904,
CAN,PPP,TOT,NATUSD,A,2012,1.244607,
CAN,PPP,TOT,NATUSD,A,2013,1.224,
CAN,PPP,TOT,NATUSD,A,2014,1.230358,
CAN,PPP,TOT,NATUSD,A,2015,1.248042,
CAN,PPP,TOT,NATUSD,A,2016,1.207045,
CAN,PPP,TOT,NATUSD,A,2017,1.2083,
CAN,PPP,TOT,NATUSD,A,2018,1.178077,
CAN,PPP,TOT,NATUSD,A,2019,1.186223,
CZE,PPP,TOT,NATUSD,A,2000,14.326189,
CZE,PPP,TOT,NATUSD,A,2001,14.320106,
CZE,PPP,TOT,NATUSD,A,2002,14.458321,
CZE,PPP,TOT,NATUSD,A,2003,14.19064,
CZE,PPP,TOT,NATUSD,A,2004,14.438093,
CZE,PPP,TOT,NATUSD,A,2005,14.562493,
CZE,PPP,TOT,NATUSD,A,2006,14.433858,
CZE,PPP,TOT,NATUSD,A,2007,14.276106,
CZE,PPP,TOT,NATUSD,A,2008,13.916713,
