LOCATION,TIME,"Population, total",High-technology exports (current US$),"Patent applications, residents",Scientific and technical journal articles,"Technical cooperation grants (BoP, current US$)"
AFG,1960,8996973,0,0,0,1510000
AFG,1961,9169410,0,0,0,1620000
AFG,1962,9351441,0,0,0,1870000
AFG,1963,9543205,0,0,0,1990000
AFG,1964,9744781,0,0,0,2150000
AFG,1965,9956320,0,0,0,2760000
AFG,1966,10174836,0,0,0,20270000
AFG,1967,10399926,0,0,0,18150000
AFG,1968,10637063,0,0,0,13750000
AFG,1969,10893776,0,0,0,19220000
AFG,1970,11173642,0,0,0,20140000
AFG,1971,11475445,0,0,0,23290000
AFG,1972,11791215,0,0,0,23500000
AFG,1973,12108963,0,0,0,22970000
AFG,1974,12412950,0,0,0,20630000
AFG,1975,12689160,0,0,0,22460000
AFG,1976,12943093,0,0,0,17420000
AFG,1977,13171306,0,0,0,25990000
AFG,1978,13341198,0,0,0,28740000
AFG,1979,13411056,0,0,0,35440000
AFG,1980,13356511,0,0,0,21300000
AFG,1981,13171673,0,0,0,14600000
AFG,1982,12882528,0,0,0,13870000
AFG,1983,12537730,0,0,0,14940000
AFG,1984,12204292,0,0,0,12230000
AFG,1985,11938208,0,0,0,14960000
AFG,1986,11736179,0,0,0,12640000
AFG,1987,11604534,0,0,0,29260000
AFG,1988,11618005,0,0,0,46200000
AFG,1989,11868877,0,0,0,64430000
AFG,1990,12412308,0,0,0,52490000
AFG,1991,13299017,0,0,0,90370000
AFG,1992,14485546,0,0,0,102250000
AFG,1993,15816603,0,0,0,93540000
AFG,1994,17075727,0,0,0,52820000
AFG,1995,18110657,0,0,0,46150000
AFG,1996,18853437,0,0,0,43450000
AFG,1997,19357126,0,0,0,30410000
AFG,1998,19737765,0,0,0,26970000
AFG,1999,20170844,0,0,0,24820000
AFG,2000,20779953,0,0,4,15590000
AFG,2001,21606988,0,0,1,15510000
AFG,2002,22600770,0,0,4.5,221390000
AFG,2003,23680871,0,0,8.34,401810000
AFG,2004,24726684,0,0,5.75,452790000
AFG,2005,25654277,0,0,9.15,1062410000
AFG,2006,26433049,0,0,13.69,843810000
AFG,2007,27100536,0,0,14.23,526320000
AFG,2008,27722276,0,0,12.5,710960000
AFG,2009,28394813,0,0,26.3,957300000
AFG,2010,29185507,0,0,27.93,893130000
AFG,2011,30117413,0,0,39.62,849840000
AFG,2012,31161376,0,0,34.15,896900000
AFG,2013,32269589,0,0,27.81,823980000
AFG,2014,33370794,0,0,34.69,655640000
AFG,2015,34413603,0,0,22.2,467490000
AFG,2016,35383128,0,0,81.64,490400000
AFG,2017,36296400,0,0,91.89,311920000
AFG,2018,37172386,0,0,111.72,300150000
AFG,2019,38041754,0,0,0,0
AFG,2020,0,0,0,0,0
ALB,1960,1608800,0,0,0,0
ALB,1961,1659800,0,0,0,0
ALB,1962,1711319,0,0,0,0
ALB,1963,1762621,0,0,0,0
ALB,1964,1814135,0,0,0,0
ALB,1965,1864791,0,0,0,0
ALB,1966,1914573,0,0,0,0
ALB,1967,1965598,0,0,0,0
ALB,1968,2022272,0,0,0,0
ALB,1969,2081695,0,0,0,0
ALB,1970,2135479,0,0,0,0
ALB,1971,2187853,0,0,0,0
ALB,1972,2243126,0,0,0,0
ALB,1973,2296752,0,0,0,0
ALB,1974,2350124,0,0,0,0
ALB,1975,2404831,0,0,0,0
ALB,1976,2458526,0,0,0,0
ALB,1977,2513546,0,0,0,0
ALB,1978,2566266,0,0,0,0
ALB,1979,2617832,0,0,0,0
ALB,1980,2671997,0,0,0,0
ALB,1981,2726056,0,0,0,0
ALB,1982,2784278,0,0,0,0
ALB,1983,2843960,0,0,0,0
ALB,1984,2904429,0,0,0,0
ALB,1985,2964762,0,0,0,0
ALB,1986,3022635,0,0,0,0
ALB,1987,3083605,0,0,0,0
ALB,1988,3142336,0,0,0,5560000
ALB,1989,3227943,0,0,0,8710000
ALB,1990,3286542,0,0,0,9170000
ALB,1991,3266790,0,0,0,3800000
ALB,1992,3247039,0,0,0,11440000
ALB,1993,3227287,0,0,0,23280000
ALB,1994,3207536,0,0,0,25630000
ALB,1995,3187784,0,0,0,31240000
ALB,1996,3168033,0,0,0,53050000
ALB,1997,3148281,0,0,0,34250000
ALB,1998,3128530,0,0,0,33620000
ALB,1999,3108778,0,0,0,68920000
ALB,2000,3089027,0,0,22.34,54420000
ALB,2001,3060173,0,0,18.71,61480000
ALB,2002,3051010,0,0,24.53,81380000
ALB,2003,3039616,0,0,23.82,145240000
ALB,2004,3026939,0,0,17.91,92110000
ALB,2005,3011487,0,0,24.48,90450000
ALB,2006,2992547,0,0,27.22,99710000
ALB,2007,2970017,0,0,40.88,86250000
ALB,2008,2947314,0,0,51.85,109250000
ALB,2009,2927519,10128935,0,70.35,95930000
ALB,2010,2913021,14074208,0,137.23,102880000
ALB,2011,2905195,11890517,3,146.82,98220000
ALB,2012,2900401,10059840,0,165.75,95710000
ALB,2013,2895092,10843586,0,162.65,57100000
ALB,2014,2889104,1960836,10,180.39,75080000
ALB,2015,2880703,16607486,14,177.8,182200000
ALB,2016,2876101,10199913,20,185.87,75600000
ALB,2017,2873457,1119016,16,149.54,86490000
ALB,2018,2866376,591717,15,180.36,93510000
ALB,2019,2854191,0,0,0,0
ALB,2020,0,0,0,0,0
DZA,1960,11057863,0,0,0,-50000
DZA,1961,11336339,0,0,0,10000
DZA,1962,11619828,0,0,0,1320000
DZA,1963,11912803,0,0,0,5050000
DZA,1964,12221675,0,0,0,3020000
DZA,1965,12550885,0,0,0,2220000
DZA,1966,12902627,0,0,0,45930000
DZA,1967,13275026,0,0,0,45620000
DZA,1968,13663583,0,0,0,43190000
DZA,1969,14061722,0,0,0,48440000
DZA,1970,14464985,0,0,0,43730000
DZA,1971,14872250,0,0,0,39890000
DZA,1972,15285990,0,0,0,46830000
DZA,1973,15709825,0,0,0,58120000
DZA,1974,16149025,0,0,0,55260000
DZA,1975,16607707,0,0,0,70290000
DZA,1976,17085801,0,0,0,77000000
DZA,1977,17582904,0,0,0,74690000
DZA,1978,18102266,0,0,0,80690000
DZA,1979,18647815,0,0,0,87830000
DZA,1980,19221665,0,5,0,95900000
DZA,1981,19824301,0,14,0,80550000
