LOCATION,TIME,"Stocks traded, total value (% of GDP)"
AFG,1960,0
AFG,1961,0
AFG,1962,0
AFG,1963,0
AFG,1964,0
AFG,1965,0
AFG,1966,0
AFG,1967,0
AFG,1968,0
AFG,1969,0
AFG,1970,0
AFG,1971,0
AFG,1972,0
AFG,1973,0
AFG,1974,0
AFG,1975,0
AFG,1976,0
AFG,1977,0
AFG,1978,0
AFG,1979,0
AFG,1980,0
AFG,1981,0
AFG,1982,0
AFG,1983,0
AFG,1984,0
AFG,1985,0
AFG,1986,0
AFG,1987,0
AFG,1988,0
AFG,1989,0
AFG,1990,0
AFG,1991,0
AFG,1992,0
AFG,1993,0
AFG,1994,0
AFG,1995,0
AFG,1996,0
AFG,1997,0
AFG,1998,0
AFG,1999,0
AFG,2000,0
AFG,2001,0
AFG,2002,0
AFG,2003,0
AFG,2004,0
AFG,2005,0
AFG,2006,0
AFG,2007,0
AFG,2008,0
AFG,2009,0
AFG,2010,0
AFG,2011,0
AFG,2012,0
AFG,2013,0
AFG,2014,0
AFG,2015,0
AFG,2016,0
AFG,2017,0
AFG,2018,0
AFG,2019,0
AFG,2020,0
ALB,1960,0
ALB,1961,0
ALB,1962,0
ALB,1963,0
ALB,1964,0
ALB,1965,0
ALB,1966,0
ALB,1967,0
ALB,1968,0
ALB,1969,0
ALB,1970,0
ALB,1971,0
ALB,1972,0
ALB,1973,0
ALB,1974,0
ALB,1975,0
ALB,1976,0
ALB,1977,0
ALB,1978,0
ALB,1979,0
ALB,1980,0
ALB,1981,0
ALB,1982,0
ALB,1983,0
ALB,1984,0
ALB,1985,0
ALB,1986,0
ALB,1987,0
ALB,1988,0
ALB,1989,0
ALB,1990,0
ALB,1991,0
ALB,1992,0
ALB,1993,0
ALB,1994,0
ALB,1995,0
ALB,1996,0
ALB,1997,0
ALB,1998,0
ALB,1999,0
ALB,2000,0
ALB,2001,0
ALB,2002,0
ALB,2003,0
ALB,2004,0
ALB,2005,0
ALB,2006,0
ALB,2007,0
ALB,2008,0
ALB,2009,0
ALB,2010,0
ALB,2011,0
ALB,2012,0
ALB,2013,0
ALB,2014,0
ALB,2015,0
ALB,2016,0
ALB,2017,0
ALB,2018,0
ALB,2019,0
ALB,2020,0
DZA,1960,0
DZA,1961,0
DZA,1962,0
DZA,1963,0
DZA,1964,0
DZA,1965,0
DZA,1966,0
DZA,1967,0
DZA,1968,0
DZA,1969,0
DZA,1970,0
DZA,1971,0
DZA,1972,0
DZA,1973,0
DZA,1974,0
DZA,1975,0
DZA,1976,0
DZA,1977,0
DZA,1978,0
DZA,1979,0
DZA,1980,0
DZA,1981,0
DZA,1982,0
DZA,1983,0
DZA,1984,0
DZA,1985,0
DZA,1986,0
DZA,1987,0
DZA,1988,0
DZA,1989,0
DZA,1990,0
DZA,1991,0
DZA,1992,0
DZA,1993,0
DZA,1994,0
DZA,1995,0
DZA,1996,0
DZA,1997,0
DZA,1998,0
DZA,1999,0
DZA,2000,0
DZA,2001,0
DZA,2002,0
DZA,2003,0
DZA,2004,0
DZA,2005,0
DZA,2006,0
DZA,2007,0
DZA,2008,0
DZA,2009,0
DZA,2010,0
DZA,2011,0
DZA,2012,0
DZA,2013,0
DZA,2014,0
DZA,2015,0
DZA,2016,0
DZA,2017,0
DZA,2018,0
DZA,2019,0
DZA,2020,0
ASM,1960,0
ASM,1961,0
ASM,1962,0
ASM,1963,0
ASM,1964,0
ASM,1965,0
ASM,1966,0
ASM,1967,0
ASM,1968,0
ASM,1969,0
ASM,1970,0
ASM,1971,0
ASM,1972,0
ASM,1973,0
ASM,1974,0
ASM,1975,0
ASM,1976,0
ASM,1977,0
ASM,1978,0
ASM,1979,0
ASM,1980,0
ASM,1981,0
ASM,1982,0
ASM,1983,0
ASM,1984,0
ASM,1985,0
ASM,1986,0
ASM,1987,0
ASM,1988,0
ASM,1989,0
ASM,1990,0
ASM,1991,0
ASM,1992,0
ASM,1993,0
ASM,1994,0
ASM,1995,0
ASM,1996,0
ASM,1997,0
ASM,1998,0
ASM,1999,0
ASM,2000,0
ASM,2001,0
ASM,2002,0
ASM,2003,0
ASM,2004,0
ASM,2005,0
ASM,2006,0
ASM,2007,0
ASM,2008,0
ASM,2009,0
ASM,2010,0
ASM,2011,0
ASM,2012,0
ASM,2013,0
ASM,2014,0
ASM,2015,0
ASM,2016,0
ASM,2017,0
ASM,2018,0
ASM,2019,0
ASM,2020,0
AND,1960,0
AND,1961,0
AND,1962,0
AND,1963,0
AND,1964,0
AND,1965,0
AND,1966,0
AND,1967,0
AND,1968,0
AND,1969,0
AND,1970,0
AND,1971,0
AND,1972,0
AND,1973,0
AND,1974,0
AND,1975,0
AND,1976,0
AND,1977,0
AND,1978,0
AND,1979,0
AND,1980,0
AND,1981,0
AND,1982,0
AND,1983,0
AND,1984,0
AND,1985,0
AND,1986,0
AND,1987,0
AND,1988,0
AND,1989,0
AND,1990,0
AND,1991,0
AND,1992,0
AND,1993,0
AND,1994,0
AND,1995,0
AND,1996,0
AND,1997,0
AND,1998,0
AND,1999,0
AND,2000,0
AND,2001,0
AND,2002,0
AND,2003,0
AND,2004,0
AND,2005,0
AND,2006,0
AND,2007,0
AND,2008,0
AND,2009,0
AND,2010,0
AND,2011,0
AND,2012,0
AND,2013,0
AND,2014,0
AND,2015,0
AND,2016,0
AND,2017,0
AND,2018,0
AND,2019,0
AND,2020,0
AGO,1960,0
AGO,1961,0
AGO,1962,0
AGO,1963,0
AGO,1964,0
AGO,1965,0
AGO,1966,0
AGO,1967,0
AGO,1968,0
AGO,1969,0
AGO,1970,0
AGO,1971,0
AGO,1972,0
AGO,1973,0
AGO,1974,0
AGO,1975,0
AGO,1976,0
AGO,1977,0
AGO,1978,0
AGO,1979,0
AGO,1980,0
AGO,1981,0
AGO,1982,0
AGO,1983,0
AGO,1984,0
AGO,1985,0
AGO,1986,0
AGO,1987,0
AGO,1988,0
AGO,1989,0
AGO,1990,0
AGO,1991,0
AGO,1992,0
AGO,1993,0
AGO,1994,0
AGO,1995,0
AGO,1996,0
AGO,1997,0
AGO,1998,0
AGO,1999,0
AGO,2000,0
AGO,2001,0
AGO,2002,0
AGO,2003,0
AGO,2004,0
AGO,2005,0
AGO,2006,0
AGO,2007,0
AGO,2008,0
AGO,2009,0
AGO,2010,0
AGO,2011,0
AGO,2012,0
AGO,2013,0
AGO,2014,0
AGO,2015,0
AGO,2016,0
AGO,2017,0
AGO,2018,0
AGO,2019,0
AGO,2020,0
ATG,1960,0
ATG,1961,0
ATG,1962,0
ATG,1963,0
ATG,1964,0
ATG,1965,0
ATG,1966,0
ATG,1967,0
ATG,1968,0
ATG,1969,0
ATG,1970,0
ATG,1971,0
ATG,1972,0
ATG,1973,0
ATG,1974,0
ATG,1975,0
ATG,1976,0
ATG,1977,0
ATG,1978,0
ATG,1979,0
ATG,1980,0
ATG,1981,0
ATG,1982,0
ATG,1983,0
ATG,1984,0
ATG,1985,0
ATG,1986,0
ATG,1987,0
ATG,1988,0
ATG,1989,0
ATG,1990,0
ATG,1991,0
ATG,1992,0
ATG,1993,0
ATG,1994,0
ATG,1995,0
ATG,1996,0
ATG,1997,0
ATG,1998,0
ATG,1999,0
ATG,2000,0
ATG,2001,0
ATG,2002,0
ATG,2003,0
ATG,2004,0
ATG,2005,0
ATG,2006,0
ATG,2007,0
ATG,2008,0
ATG,2009,0
ATG,2010,0
ATG,2011,0
ATG,2012,0
ATG,2013,0
ATG,2014,0
ATG,2015,0
ATG,2016,0
ATG,2017,0
ATG,2018,0
ATG,2019,0
ATG,2020,0
ARG,1960,0
ARG,1961,0
ARG,1962,0
ARG,1963,0
ARG,1964,0
ARG,1965,0
ARG,1966,0
ARG,1967,0
ARG,1968,0
ARG,1969,0
ARG,1970,0
ARG,1971,0
ARG,1972,0
ARG,1973,0
ARG,1974,0
ARG,1975,0.858145696
ARG,1976,1.575157079
ARG,1977,0.420915446
ARG,1978,0.606030658
ARG,1979,2.124838287
ARG,1980,1.448768359
ARG,1981,0.233931605
ARG,1982,0.288112016
ARG,1983,0.168976254
ARG,1984,0.320259942
ARG,1985,0.536561721
ARG,1986,0.215640872
ARG,1987,0.129587738
ARG,1988,3.385498577
ARG,1989,0.516813715
ARG,1990,0.566506248
ARG,1991,2.397580844
ARG,1992,6.879105347
ARG,1993,21.02060045
ARG,1994,43.82691112
ARG,1995,12.36421487
ARG,1996,11.50230709
ARG,1997,13.04608702
ARG,1998,8.718719712
ARG,1999,4.183854573
ARG,2000,3.217983577
ARG,2001,2.479374983
ARG,2002,1.195826971
ARG,2003,2.296088636
ARG,2004,2.764185112
ARG,2005,2.645590648
ARG,2006,1.456841205
ARG,2007,1.685038581
ARG,2008,0.923115975
ARG,2009,0.453659664
ARG,2010,0.600714181
ARG,2011,0.462934738
ARG,2012,0.267799853
ARG,2013,0.405291324
ARG,2014,0.669273861
ARG,2015,0.453942538
ARG,2016,0.782152499
ARG,2017,1.024313871
ARG,2018,0.883102331
ARG,2019,0.669741228
ARG,2020,0
ARM,1960,0
ARM,1961,0
ARM,1962,0
ARM,1963,0
ARM,1964,0
ARM,1965,0
ARM,1966,0
ARM,1967,0
ARM,1968,0
ARM,1969,0
ARM,1970,0
ARM,1971,0
ARM,1972,0
ARM,1973,0
ARM,1974,0
ARM,1975,0
ARM,1976,0
ARM,1977,0
ARM,1978,0
ARM,1979,0
ARM,1980,0
ARM,1981,0
ARM,1982,0
ARM,1983,0
ARM,1984,0
ARM,1985,0
ARM,1986,0
ARM,1987,0
ARM,1988,0
ARM,1989,0
ARM,1990,0
ARM,1991,0
ARM,1992,0
ARM,1993,0
ARM,1994,0
ARM,1995,0
ARM,1996,0
ARM,1997,0
ARM,1998,0
ARM,1999,0
